"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,698 
  
1,382 
  
10,080","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","2,911","723","","3,634","36.05"
"Black","5,691","650","","6,341","62.91"
"Hispanic","70","2","","72",".71"
"Other","26","7","","33",".33"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","0","0","","0",".00"
"16","5","0","","5",".05"
"17","12","0","","12",".12"
"18 - 19","246","6","","252","2.50"
"20 - 29","3,384","396","","3,780","37.50"
"30 - 39","2,511","461","","2,972","29.48"
"40 - 49","1,723","388","","2,111","20.94"
"50 - 59","687","117","","804","7.98"
"60 - 69","115","12","","127","1.26"
"70 - 79","12","1","","13",".13"
"80+","3","1","","4",".04"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,418","86","","1,504","14.92"
"Homicide/Manslaughter","226","28","","254","2.52"
"Property","2,079","590","","2,669","26.48"
"Possession of Drugs","2,229","342","","2,571","25.51"
"Robbery","466","33","","499","4.95"
"Sale of Drugs","1,545","257","","1,802","17.88"
"Sex Offense","259","4","","263","2.61"
"Violent","476","42","","518","5.14"
