"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"17 
  
0 
  
17","","","","",""
"","","","","",""
"RACE 
MALE 
FEMALE 
  
TOTAL 
%","","","","",""
"White 
3 
0 
  
3 
17.65","","","","",""
"Black 
14 
0 
  
14 
82.35","","","","",""
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"15","0","0","","0",".00"
"16","5","0","","5","29.41"
"17","12","0","","12","70.59"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","4","0","","4","23.53"
"Property","4","0","","4","23.53"
"Possession of Drugs","0","0","","0",".00"
"Robbery","6","0","","6","35.29"
"Violent","3","0","","3","17.65"
