"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","1,358","508","432"
"","Special Needs (Disability Unit 31)","12","9","20"
"","Special Needs (Unit 29-A)","73","29","48"
"CMCF","A & D Program for Females","388","254","232"
"","A & D Program for Males (Disability Unit)","37","24","16"
"SMCI","Regimented Inmate Discipline Area","339","298","OPEN"
"","General Population Program Area","1,376","848","200"
"3 Community Pre-Release Centers","","519","325","132"
"Flowood CWC (General Population)","","49","26","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","113","N/A","N/A"
