"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","81","91","61","202","27","3"
"Reporting Instruction","226","182","245","149","142","188"
"Investigation","106","85","71","38","46","0"
"Acceptance","57","64","45","44","22","0"
"Rejection","11","7","10","16","5","0"
"Cancellation","0","0","0","3","0","0"
"Pending","106","85","71","38","46","0"
"Progress Report","93","77","84","52","48","30"
"Violation","32","34","17","44","14","17"
"Probation Warrant","10","8","1","0","6","5"
"Parole Warrant","0","0","0","0","0","1"
"Closure","27","17","31","36","28","27"
"Discharge","13","4","6","5","9","11"
"New File","0","0","0","0","0","1"
"Updates","363","357","281","226","102","24"
"Revocation","0","0","0","0","0","0"
"File Deletion","4","1","0","0","2","0"
"Inquiries","464","709","742","410","348","309"
"TOTAL","1,593","1,721","1,665","1,263","845","616"
