"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","0","0","0","2","2","2","0"
"Appeal","0","0","0","0","1","0","0"
"Closed","0","0","1","0","1","0","0"
"Death","4","0","3","1","1","0","1"
"Death by Inmate","0","0","0","0","0","0","0"
"Death/Execution","1","0","0","0","0","0","0"
"Death/Natural Causes","3","5","1","4","3","2","2"
"Death/Suicide","0","0","0","0","0","0","0"
"Deported","0","0","0","0","0","0","0"
"Discharge to Probation","8","9","7","6","11","8","5"
"Discharged","4","6","8","6","6","7","11"
"Discharged-Held In","0","0","0","0","0","0","0"
"ERS","174","141","152","164","143","133","146"
"Escape","0","0","0","0","0","0","0"
"Expiration","174","164","155","143","139","149","124"
"Governor's Suspension","1","0","0","0","0","0","0"
"House Arrest/ISP","31","30","7","37","2","29","2"
"Inmate","9","10","9","8","7","8","10"
"Medical Release","3","1","0","3","0","1","1"
"Non-Report","0","0","0","1","1","1","0"
"Out of State","17","13","6","10","13","15","11"
"Pardon","0","0","0","0","0","0","0"
"Parole","81","148","87","146","55","242","201"
"Pending","0","0","0","0","0","0","0"
"Pending Arrival","0","0","3","1","0","0","1"
"Probation","142","135","140","145","133","129","150"
"Rejected","1","0","0","0","0","1","0"
"Remanded","0","0","0","0","0","1","0"
"Rendered","0","1","0","0","0","0","0"
"RID","1","7","3","1","3","0","1"
"RID on Street","0","0","1","0","0","1","0"
"Shock Probation","3","0","3","0","3","0","5"
"Unsupervised Probation","5","4","1","2","2","0","1"
"Release Type Unknown","133","152","131","121","124","166","130"
"TOTAL","795","826","718","801","650","895","802"
