"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","0","4","0","1","1","0","1"
"ISP-Prison","1","0","0","0","1","1","1"
"New Prisoner","449","467","546","467","401","482","301"
"Non-Adjudicated Probation","0","0","0","0","0","2","1"
"Non-Adjudicated RID","5","6","6","10","4","1","3"
"Parole Violation","0","0","0","0","0","0","0"
"Post Release Probation","0","0","0","0","1","0","0"
"Probation-Awaiting","1","0","0","0","0","0","1"
"Probation Revoked","258","251","258","248","208","252","228"
"Return-Abscond","12","12","9","11","8","10","18"
"Return - ERS","35","31","40","41","31","30","32"
"Return - House Arrest","31","26","29","23","32","33","23"
"Returned - Medical","0","0","1","0","0","0","0"
"Returned Parole","17","48","27","36","23","33","16"
"Sentenced to Probation","0","0","0","1","0","0","1"
"TOTAL","809","845","916","838","710","844","626"
