"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","0","1","1","0","0","0"
"Reporting Instruction","73","64","79","62","59","66"
"Investigation","78","129","178","123","138","125"
"Acceptance","69","88","126","90","129","99"
"Rejection","20","24","21","22","26","29"
"Cancellation","2","0","2","1","0","0"
"Pending","78","129","178","123","138","125"
"Progress Report","24","40","47","10","11","24"
"Violation","58","31","35","38","21","70"
"Probation Warrant","2","3","4","1","1","5"
"Parole Warrant","4","2","2","2","0","1"
"Closure","64","39","79","52","77","89"
"Discharge","5","9","0","1","16","0"
"New File","39","40","43","32","33","40"
"Updates","228","184","268","196","167","213"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","0","0","0","0","0"
"Inquiries","724","546","886","582","724","686"
"TOTAL","1,468","1,329","1,949","1,335","1,540","1,572"
