"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Capital Rape","1","0","0","0","1"
"Child Molestation","2","10","0","0","12"
"Child Pornography","0","1","0","0","1"
"Computer Luring of Child/Sex","0","1","0","0","1"
"Entice Child Indecent Purposes","0","3","0","0","3"
"Exploitation of Child","1","6","0","0","7"
"Failure Register as Sex Offender","22","20","0","0","42"
"Fondling","6","4","0","0","10"
"Fondling a Child","2","9","0","0","11"
"Gratification of Lust","1","7","1","0","9"
"Peeping Tom","1","1","0","0","2"
"Rape","16","9","0","0","25"
"Rape with a Weapon","1","0","0","0","1"
"Sex Assault","2","3","0","0","5"
"Sex Offense","0","1","0","0","1"
"Sexual Battery","38","37","0","1","76"
"Statutory Rape","18","12","0","0","30"
"Unlawful Touching a Child","7","13","1","0","21"
"Violation Sex Offender Registry","1","0","0","0","1"
"TOTAL","119","137","2","1","259"
