"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","69","47","70","42","37","46"
"Reporting Instruction","215","125","219","161","227","180"
"Investigation","113","55","123","54","71","95"
"Acceptance","37","61","53","58","51","59"
"Rejection","8","8","10","8","6","60"
"Cancellation","0","0","0","0","0","0"
"Pending","113","55","123","54","71","95"
"Progress Report","1","5","28","3","1","11"
"Violation","16","17","49","52","23","31"
"Probation Warrant","3","4","5","8","6","5"
"Parole Warrant","0","0","1","0","0","0"
"Closure","26","15","49","22","35","21"
"Discharge","6","9","15","21","0","8"
"New File","0","0","0","0","0","0"
"Updates","287","234","378","163","209","190"
"Revocation","0","0","0","0","0","0"
"File Deletion","2","0","4","0","0","0"
"Inquiries","487","374","575","377","238","468"
"TOTAL","1,383","1,009","1,702","1,023","975","1,269"
