"Location","Capacity","1-May-12","2-May-12","3-May-12","4-May-12","5-May-12","6-May-12","7-May-12","8-May-12","9-May-12"
"Mississippi State Penitentiary","4,648","3,284","3,287","3,299","3,298","3,297","3,297","3,294","3,295","3,305"
"Central Mississippi Correctional Facility","3,665","3,137","3,158","3,156","3,164","3,162","3,159","3,113","3,096","3,084"
"South Mississippi Correctional Institution","3,282","3,188","3,183","3,181","3,183","3,185","3,181","3,188","3,139","3,171"
"County Jails","1,753","2,242","2,247","2,253","2,215","2,215","2,215","2,259","2,254","2,226"
"COMMUNITY WORK CENTERS","1,848","1,542","1,545","1,552","1,551","1,550","1,550","1,547","1,545","1,569"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","89","87","87"
"Bolivar Satellite Facility","102","78","78","86","85","85","85","85","85","85"
"Forrest Satellite Facility","96","78","77","77","76","75","75","76","74","76"
"George Satellite Facility","102","82","84","85","87","87","87","87","86","88"
"Harrison Satellite Facility","102","86","86","86","85","85","85","82","81","83"
"Jackson Satellite Facility","102","80","80","80","77","77","77","79","80","82"
"Jefferson Satellite Facility","102","72","73","73","73","73","73","72","71","76"
"Leflore Satellite Facility","102","85","88","87","89","89","89","89","87","85"
"Madison Satellite Facility","102","86","82","85","88","88","88","89","91","91"
"Noxubee Satellite Facility","92","72","72","75","75","75","75","76","76","77"
"Pike Satellite Facility","93","87","85","84","84","84","84","84","83","88"
"Quitman Satellite Facility","93","91","91","92","91","91","91","90","93","93"
"Rankin Satellite Facility","260","204","205","204","206","206","206","204","206","207"
"Simpson Satellite Facility","102","102","102","100","100","100","100","100","99","99"
"Washington Satellite Facility","102","88","91","91","91","91","91","90","91","91"
"Wilkinson Satellite Facility","102","72","72","70","69","69","69","68","68","74"
"Yazoo Satellite Facility","102","87","87","85","83","83","83","87","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,272","4,272","4,273","4,273","4,269","4,268","4,277","4,280","4,276"
"Alcorn County","300","300","300","300","300","300","300","300","300","300"
"Bolivar County","294","294","294","294","294","294","294","294","294","293"
"Carroll County","280","279","279","280","280","279","279","279","279","277"
"Chickasaw County","300","300","300","300","300","299","299","299","299","299"
"George County","280","279","280","280","280","280","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","275","274","274","274","274","273","274","274","274"
"Jefferson County","280","280","279","279","280","280","280","279","280","280"
"Kemper County","355","340","340","340","340","340","340","340","340","341"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","280","280","279","279","280","282","282"
"Stone County","280","280","280","280","280","279","279","279","280","279"
"Washington County","300","226","225","225","224","224","224","232","231","231"
"Winston County","280","278","279","279","280","280","280","280","280","279"
"Yazoo County","300","301","302","302","301","301","301","301","301","301"
"PRIVATE PRISONS","5,972","4,201","4,201","4,204","4,204","4,203","4,200","4,220","4,313","4,312"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,361","1,360","1,355","1,358","1,358","1,356","1,354","1,360","1,359"
"Marshall County","1,000","974","974","971","970","970","970","970","988","988"
"Walnut Grove","1,500","981","983","992","991","991","991","994","1,064","1,066"
"Wilkinson County","1,000","885","884","886","885","884","883","902","901","899"
"RESTITUTION CENTERS","16","11","12","14","14","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","5","5","5","5","5","5","5","5"
"Pascagoula","4","1","1","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","3","7","8","22","20","22","7","4","3"
"TOTALS","25,553","21,880","21,912","21,940","21,924","21,915","21,906","21,919","21,940","21,960"
