"Location","Capacity","1-Jan-04","2-Jan-04","3-Jan-04","4-Jan-04","5-Jan-04","6-Jan-04","7-Jan-04","8-Jan-04","9-Jan-04","10-Jan-04","11-Jan-04","12-Jan-04","13-Jan-04"
"MS STATE PENITENTIARY","5,768","5,639","5,639","5,638","5,637","5,651","5,653","5,631","5,624","5,599","5,598","5,597","5,587","5,607"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,139","3,137","3,137","3,137","3,133","3,151","3,169","3,176","3,152","3,152","3,153","3,192","3,206"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,117","2,117","2,117","2,114","2,113","2,111","2,104","2,095","2,085","2,086","2,086","2,111","2,112"
"COUNTY JAILS","2,176","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,938","1,938","1,938","1,938","1,930","1,914"
"COMMUNITY WORK CENTERS","1,816","1,514","1,513","1,511","1,511","1,510","1,509","1,504","1,502","1,413","1,412","1,412","1,504","1,500"
"Alcorn Satellite Facility","92","92","92","92","92","91","91","91","91","82","82","82","91","90"
"Bolivar Satellite Facility","102","77","77","76","76","76","76","75","75","70","70","70","76","76"
"Forrest Satellite Facility","96","93","92","92","92","95","95","95","95","86","86","86","94","96"
"George Satellite Facility","102","65","65","65","65","65","65","65","65","60","60","60","66","66"
"Harrison Satellite Facility","102","66","66","65","65","65","65","65","65","65","65","65","65","65"
"Jackson Satellite Facility","102","67","67","67","67","67","67","67","67","61","61","61","66","66"
"Jefferson Satellite Facility","102","67","67","67","67","67","67","67","67","64","64","64","67","67"
"Leflore Satellite Facility","102","102","102","102","102","102","102","102","102","93","93","93","102","102"
"Madison Satellite Facility","102","100","100","100","100","99","98","98","96","94","94","94","97","96"
"Noxubee Satellite Facility","92","90","90","90","90","92","92","92","92","86","85","86","92","92"
"Pike Satellite Facility","93","45","45","45","45","45","45","45","45","43","43","42","43","41"
"Quitman Satellite Facility","93","77","77","77","77","76","76","75","75","67","67","67","73","73"
"Rankin Satellite Facility","228","214","214","214","214","214","214","213","214","211","211","211","219","219"
"Simpson Satellite Facility","102","102","102","102","102","102","102","102","102","94","94","94","101","101"
"Washington Satellite Facility","102","83","83","83","83","81","81","81","81","79","79","79","84","84"
"Wilkinson Satellite Facility","102","73","73","73","73","72","72","70","70","66","66","66","70","69"
"Yazoo Satellite Facility","102","101","101","101","101","101","101","101","100","92","92","92","98","97"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,741","2,741","2,739","2,737","2,733","2,734","2,729","2,726","2,745","2,743","2,743","2,740","2,739"
"Bolivar County","250","248","248","248","248","248","248","245","244","251","250","250","249","248"
"Carroll County","250","249","249","249","247","247","247","247","247","250","250","250","249","249"
"George County (opened on May 10th)","250","249","249","249","249","248","249","250","250","250","250","250","249","249"
"Holmes County","250","249","249","249","249","249","248","246","245","248","248","248","249","249"
"Issaquena County","250","250","250","250","250","250","249","248","247","249","249","249","249","249"
"Jefferson County","250","249","249","248","248","247","247","247","248","248","248","248","247","248"
"Kemper County","250","249","249","249","249","249","248","248","248","249","249","249","249","249"
"Leake County","250","249","249","249","249","249","249","249","249","251","250","250","250","250"
"Marion County","250","249","249","248","248","247","250","250","249","250","250","250","250","250"
"Stone County","250","250","250","250","250","249","250","250","250","249","249","249","250","249"
"Winston County","250","250","250","250","250","250","249","249","249","250","250","250","249","249"
"PRIVATE PRISONS","3,750","3,443","3,443","3,443","3,442","3,438","3,438","3,439","3,435","3,450","3,450","3,448","3,444","3,447"
"East MS","1,000","727","727","727","727","725","726","725","725","733","733","732","731","731"
"Marshall County","1,000","994","994","994","993","991","991","991","988","994","994","994","993","993"
"Walnut Grove","750","730","730","730","730","733","733","731","730","730","730","730","729","731"
"Wilkinson County","1,000","992","992","992","992","989","988","992","992","993","993","992","991","992"
"RESITITUTION CENTERS","24","15","15","15","15","15","15","15","15","10","10","10","14","13"
"Greenwood","6","6","6","6","6","6","6","6","6","2","2","2","6","6"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5","4"
"Pascagoula","6","4","4","4","4","4","4","4","4","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","0"
"E-CODE","","1","3","3","6","7","4","4","5","110","111","110","7","5"
"TOTALS","21,737","20,612","20,611","20,606","20,602","20,603","20,618","20,598","20,522","20,508","20,506","20,503","20,535","20,543"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","1-Jan-04","2-Jan-04","3-Jan-04","4-Jan-04","5-Jan-04","6-Jan-04","7-Jan-04","8-Jan-04","9-Jan-04","10-Jan-04","11-Jan-04","12-Jan-04","13-Jan-04"
