"Location","Capacity","19-Mar-10","20-Mar-10","21-Mar-10","22-Mar-10","23-Mar-10","24-Mar-10","25-Mar-10","26-Mar-10","27-Mar-10"
"Mississippi State Penitentiary","4,435","3,885","3,879","3,879","3,873","3,832","3,827","3,801","3,795","3,793"
"Central Mississippi Correctional Facility","3,449","3,320","3,319","3,319","3,286","3,303","3,302","3,299","3,318","3,318"
"South Mississippi Correctional Institution","3,204","3,115","3,114","3,114","3,099","3,117","3,093","3,107","3,113","3,112"
"County Jails","1,458","1,430","1,430","1,430","1,469","1,459","1,464","1,462","1,446","1,446"
"COMMUNITY WORK CENTERS","1,848","1,728","1,726","1,725","1,768","1,793","1,775","1,764","1,744","1,742"
"Alcorn Satellite Facility","92","84","84","84","84","84","85","85","85","85"
"Bolivar Satellite Facility","102","94","94","94","94","101","97","97","97","96"
"Forrest Satellite Facility","96","83","83","83","91","92","91","91","89","89"
"George Satellite Facility","102","97","98","97","100","100","101","98","98","97"
"Harrison Satellite Facility","102","99","99","99","99","101","97","98","97","97"
"Jackson Satellite Facility","102","100","97","97","98","99","98","97","97","97"
"Jefferson Satellite Facility","102","99","99","99","101","101","101","101","99","99"
"Leflore Satellite Facility","102","90","90","90","97","97","97","95","94","94"
"Madison Satellite Facility","102","97","97","97","102","102","99","97","95","95"
"Noxubee Satellite Facility","92","86","86","86","92","92","89","88","87","87"
"Pike Satellite Facility","93","91","91","91","87","92","91","89","88","88"
"Quitman Satellite Facility","93","91","91","91","92","90","93","93","92","92"
"Rankin Satellite Facility","260","240","240","240","241","240","238","235","232","232"
"Simpson Satellite Facility","102","97","97","97","100","102","102","101","100","100"
"Washington Satellite Facility","102","85","85","85","93","100","98","97","96","96"
"Wilkinson Satellite Facility","102","97","97","97","102","102","101","101","100","100"
"Yazoo Satellite Facility","102","98","98","98","95","98","97","101","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,531","2,530","2,528","2,531","2,530","2,524","2,522","2,529","2,528"
"Bolivar County","294","235","235","235","235","235","233","231","235","235"
"Carroll County","280","223","223","223","223","223","222","222","220","220"
"George County","280","222","222","222","224","224","221","221","224","224"
"Holmes County","280","224","224","223","224","224","224","225","224","223"
"Issaquena County","274","219","218","218","217","218","219","219","219","219"
"Jefferson County","280","225","225","225","225","224","223","222","224","224"
"Kemper County","355","283","283","283","284","283","284","284","285","285"
"Leake County","280","224","224","224","224","224","224","225","225","225"
"Marion County","280","227","227","227","227","227","227","227","227","227"
"Stone County","280","224","224","224","224","224","223","222","223","223"
"Winston County","280","225","225","224","224","224","224","224","223","223"
"PRIVATE PRISONS","5,972","5,202","5,200","5,197","5,204","5,197","5,201","5,213","5,206","5,202"
"Delta","972","901","901","900","901","901","901","901","901","900"
"East Mississippi","1,500","1,264","1,264","1,263","1,261","1,261","1,265","1,264","1,262","1,262"
"Marshall County","1,000","900","900","900","900","900","899","902","900","900"
"Walnut Grove","1,500","1,190","1,189","1,189","1,196","1,190","1,187","1,196","1,193","1,191"
"Wilkinson County","1,000","947","946","945","946","945","949","950","950","949"
"RESTITUTION CENTERS","16","10","10","10","10","12","11","11","11","11"
"Greenwood","6","6","6","6","6","6","5","5","5","5"
"Hinds","6","2","2","2","2","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","40","39","39","12","8","9","11","24","23"
"TOTALS","23,551","21,267","21,253","21,247","21,258","21,257","21,212","21,196","21,192","21,181"
