"Location","Capacity","24-Oct-17","25-Oct-17","26-Oct-17","27-Oct-17","28-Oct-17","29-Oct-17","30-Oct-17","31-Oct-17","Avg Population"
"Mississippi State Penitentiary","3,590","3,369","3,393","3,387","3,382","3,382","3,382","3,362","3,356","3,325"
"Central Mississippi Correctional Facility","3,750","3,636","3,624","3,607","3,596","3,596","3,595","3,627","3,650","3592"
"Youthful Offender Unit","58","27","27","28","28","28","28","28","28","29"
"CMCF TVC","0","25","26","20","24","24","24","22","22","24"
"South Mississippi Correctional Institution","3,082","2,665","2,643","2,631","2,614","2,615","2,614","2,601","2,595","2835"
"County Jails","1,781","1,237","1,271","1,289","1,267","1,267","1,267","1,279","1,249","1284"
"COMMUNITY WORK CENTERS","1,188","908","897","895","881","879","878","882","879","892"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","60","59","59","54","54","54","58","58","63"
"George Satellite Facility","102","72","72","71","67","67","67","69","69","73"
"Harrison Satellite Facility","102","60","60","59","57","57","57","58","57","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","73","73","71","69","69","69","69","68","73"
"Leflore TVC Support","20","17","17","17","16","16","16","15","15","17"
"Madison Satellite Facility","62","60","60","61","58","57","57","56","56","60"
"Noxubee Satellite Facility","58","46","46","46","45","45","45","46","46","46"
"Pike Satellite Facility","93","74","74","74","74","74","74","74","74","73"
"Quitman Satellite Facility","93","47","41","42","42","42","41","45","46","44"
"Rankin Satellite Facility","178","165","162","162","159","159","159","159","155","157"
"Rankin RID","28","13","13","11","11","11","11","11","11","11"
"Flowood TVC","50","21","21","21","23","23","23","21","21","17"
"Simpson TVC","82","75","75","75","81","80","80","76","79","77"
"Simpson TVC Support","20","12","12","12","12","12","12","12","12","13"
"Washington Satellite Facility","60","57","57","57","56","56","56","56","55","58"
"Wilkinson Satellite Facility","62","56","55","57","57","57","57","57","57","56"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","4,172","4,167","4,199","4,216","4,215","4,214","4,220","4,229","4028"
"Alcorn County","300","288","288","288","288","288","288","288","288","269"
"Bolivar County","369","291","288","293","292","291","291","290","289","292"
"Carroll County","280","275","274","273","273","273","273","272","272","272"
"Chickasaw County","310","309","307","308","308","308","308","306","303","303"
"George County","280","279","277","289","299","299","299","296","306","279"
"Holmes County","280","237","237","243","242","242","242","255","255","231"
"Issaquena County","274","273","272","274","274","274","274","274","274","273"
"Jefferson County","280","277","277","275","278","278","278","278","278","277"
"Kemper County","355","351","351","351","350","350","350","352","353","349"
"Leake County","280","199","199","200","200","200","200","200","200","199"
"Marion County","280","280","279","279","278","278","278","277","280","254"
"Stone County","326","323","323","329","327","327","327","327","327","296"
"Washington County","300","228","227","225","237","237","237","236","236","229"
"Winston County","280","276","276","274","273","273","273","274","273","242"
"Yazoo County","300","286","292","298","297","297","296","295","295","266"
"PRIVATE PRISONS","5,972","3,084","3,092","3,106","3,118","3,118","3,117","3,114","3,117","3080"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,189","1,197","1,211","1,226","1,226","1,225","1,224","1,226","1187"
"Marshall County","1,000","998","999","998","996","996","996","996","1,000","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","897","896","897","896","896","896","894","891","895"
"RESTITUTION CENTERS","16","11","10","10","10","10","10","10","10","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","3","3","3","3","3","3","3","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","48","47","47","47","47","47","47","47","43"
"Madison","40","3","3","3","3","3","3","3","3","3"
"Noxubee","34","36","36","36","36","36","36","36","36","33"
"Rankin/Flowood","8","6","5","5","5","5","5","5","5","5"
"Washington","42","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","3","3","3","3","3","3","3","3","2"
"TOTALS","24,095","19,182","19,197","19,219","19,183","19,181","19,176","19,192","19,182","19,144"
"","","24-Oct-17","25-Oct-17","26-Oct-17","27-Oct-17","28-Oct-17","29-Oct-17","30-Oct-17","31-Oct-17","Avg Population"
