"Location","Capacity","21-Sep-02","22-Sep-02","23-Sep-02","24-Sep-02","25-Sep-02","26-Sep-02","27-Sep-02","28-Sep-02","29-Sep-02","30-Sep-02"
"MS STATE PENITENTIARY","5,551","5,289","5,287","5,285","5,347","5,338","5,351","5,345","5,345","5,341","5,318"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,906","2,905","2,918","2,927","2,949","2,955","2,974","2,975","2,975","2,967"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,066","2,065","2,064","2,046","2,040","2,034","2,040","2,038","2,038","2,033"
"COUNTY JAILS","2,113","1,880","1,880","1,860","1,860","1,849","1,853","1,845","1,845","1,845","1,879"
"COMMUNITY WORK CENTERS","1,350","1,254","1,252","1,295","1,294","1,291","1,302","1,277","1,278","1,278","1,303"
"Alcorn Satellite Facility","75","66","66","72","71","69","69","63","63","63","71"
"Bolivar Satellite Facility","75","68","68","70","70","70","69","67","67","67","72"
"Forrest Satellite Facility","75","73","73","74","75","75","75","73","73","73","75"
"George Satellite Facility","75","70","70","73","74","74","74","70","70","70","74"
"Harrison Satellite Facility","75","68","68","74","73","73","73","72","72","72","71"
"Jackson Satellite Facility","75","68","68","73","75","75","75","71","71","71","75"
"Jefferson Satellite Facility","75","72","72","75","75","75","75","72","72","72","75"
"Leflore Satellite Facility","75","69","69","74","73","73","73","69","69","69","67"
"Madison Satellite Facility","75","74","74","75","75","75","74","75","75","75","75"
"Noxubee Satellite Facility","75","69","69","72","72","72","72","72","72","72","72"
"Pike Satellite Facility","75","72","72","71","71","70","70","69","69","69","69"
"Quitman Satellite Facility","75","67","66","70","70","70","70","70","70","70","70"
"Rankin Satellite Facility","150","138","137","140","140","140","140","139","139","139","140"
"Simpson Satellite Facility","75","68","68","69","68","68","74","73","74","74","74"
"Washington Satellite Facility","75","68","68","69","68","68","73","73","73","73","73"
"Wilkinson Satellite Facility","75","72","72","71","71","71","71","75","75","75","75"
"Yazoo Satellite Facility","75","72","72","73","73","73","75","74","74","74","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,017","2,016","2,018","2,016","2,054","2,060","2,094","2,093","2,093","2,121"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","203","203","201","201","201","201","228","228","228","227"
"George County (opened on May 10th)","250","202","202","202","201","202","202","202","201","201","201"
"Holmes County","250","202","201","202","202","212","220","227","227","227","227"
"Issaquena County","250","202","202","204","203","203","201","201","201","201","202"
"Jefferson County","250","202","202","202","202","202","202","202","202","202","202"
"Kemper County","250","201","201","201","201","202","202","202","202","202","202"
"Leake County","250","200","200","201","202","202","202","202","202","202","202"
"Marion County","250","202","202","202","202","202","202","202","202","202","230"
"Stone County","250","202","202","201","200","227","227","227","227","227","227"
"Winston County","250","201","201","202","202","201","201","201","201","201","201"
"PRIVATE PRISONS","4,750","3,807","3,806","3,816","3,771","3,743","3,728","3,693","3,691","3,689","3,661"
"Delta","1,000","410","410","410","369","332","322","288","288","288","256"
"East MS","1,000","715","715","715","714","714","714","714","713","713","713"
"Marshall County","1,000","991","990","993","993","993","990","989","989","987","995"
"Walnut Grove","750","699","699","706","704","713","713","713","712","712","708"
"Wilkinson County","1,000","992","992","992","991","991","989","989","989","989","989"
"RESITITUTION CENTERS","24","13","13","13","12","12","12","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","8","8","8","7","7","7","7","7","7","7"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","21,857","19,237","19,229","19,274","19,278","19,281","19,300","19,285","19,282","19,276","19,299"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","21-Sep-02","22-Sep-02","23-Sep-02","24-Sep-02","25-Sep-02","26-Sep-02","27-Sep-02","28-Sep-02","29-Sep-02","30-Sep-02"
