"Location","Capacity","28-Jan-11","29-Jan-11","30-Jan-11","","31-Jan-11 Avg Population"
"Mississippi State Penitentiary","4,435","3,216","3,215","3,211","3,212","3,246"
"Central Mississippi Correctional Facility","3,449","3,151","3,148","3,145","3,150","3,184"
"South Mississippi Correctional Institution","3,204","3,184","3,182","3,179","3,170","3,164"
"County Jails","1,543","1,611","1,611","1,611","1,648","1,609"
"COMMUNITY WORK CENTERS","1,848","1,412","1,409","1,406","1,432","1,451"
"Alcorn Satellite Facility","92","67","66","66","66","69"
"Bolivar Satellite Facility","102","71","71","71","73","76"
"Forrest Satellite Facility","96","71","71","71","72","70"
"George Satellite Facility","102","73","73","73","78","80"
"Harrison Satellite Facility","102","70","70","70","68","71"
"Jackson Satellite Facility","102","77","77","77","79","78"
"Jefferson Satellite Facility","102","84","83","83","84","86"
"Leflore Satellite Facility","102","70","69","69","70","71"
"Madison Satellite Facility","102","88","88","88","86","91"
"Noxubee Satellite Facility","92","73","73","73","79","82"
"Pike Satellite Facility","93","73","73","72","73","77"
"Quitman Satellite Facility","93","85","84","83","83","83"
"Rankin Satellite Facility","260","194","194","193","197","193"
"Simpson Satellite Facility","102","86","87","87","88","87"
"Washington Satellite Facility","102","81","81","81","81","83"
"Wilkinson Satellite Facility","102","80","80","80","84","81"
"Yazoo Satellite Facility","102","69","69","69","71","73"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,005","3,004","3,003","3,004","3,003"
"Bolivar County","294","232","232","231","231","233"
"Carroll County","280","224","224","224","224","224"
"Chickasaw County","300","239","238","238","238","242"
"George County","280","221","221","221","223","222"
"Holmes County","280","224","224","224","224","224"
"Issaquena County","274","220","220","220","220","218"
"Jefferson County","280","223","223","223","224","224"
"Kemper County","355","285","285","285","284","283"
"Leake County","280","226","226","226","226","225"
"Marion County","280","224","224","224","224","223"
"Stone County","280","223","223","223","222","223"
"Winston County","280","224","224","224","224","222"
"Yazoo County","300","240","240","240","240","240"
"PRIVATE PRISONS","5,972","5,218","5,215","5,213","5,211","5,210"
"Delta","972","901","901","901","901","903"
"East Mississippi","1,500","1,364","1,363","1,363","1,358","1,358"
"Marshall County","1,000","924","923","923","922","901"
"Walnut Grove","1,500","1,144","1,143","1,141","1,142","1,164"
"Wilkinson County","1,000","885","885","885","888","885"
"RESTITUTION CENTERS","16","9","9","9","10","7"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","5","5","5","3"
"Pascagoula","4","0","0","0","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","49","49","50","7","24"
"TOTALS","24,236","20,860","20,847","20,832","20,849","20,904"
