"Location","Capacity","10-Nov-09","11-Nov-09","12-Nov-09","13-Nov-09","14-Nov-09","15-Nov-09","16-Nov-09","17-Nov-09","18-Nov-09"
"Mississippi State Penitentiary","4,435","3,923","3,921","3,915","3,916","3,917","3,915","3,921","3,924","3,932"
"Central Mississippi Correctional Facility","3,665","3,222","3,221","3,245","3,205","3,202","3,202","3,217","3,253","3,252"
"South Mississippi Correctional Institution","3,204","2,739","2,737","2,728","2,698","2,699","2,698","2,700","2,702","2,710"
"County Jails","1,498","1,483","1,482","1,460","1,500","1,500","1,500","1,524","1,522","1,551"
"COMMUNITY WORK CENTERS","1,848","1,708","1,706","1,667","1,697","1,695","1,696","1,750","1,768","1,787"
"Alcorn Satellite Facility","92","80","81","79","89","89","89","92","92","90"
"Bolivar Satellite Facility","102","83","83","80","84","84","84","94","94","98"
"Forrest Satellite Facility","96","93","93","92","90","90","90","95","95","95"
"George Satellite Facility","102","98","98","100","99","99","99","100","97","102"
"Harrison Satellite Facility","102","99","99","100","101","100","100","101","102","102"
"Jackson Satellite Facility","102","99","98","101","99","99","99","102","102","102"
"Jefferson Satellite Facility","102","101","101","95","99","99","99","94","98","102"
"Leflore Satellite Facility","102","83","82","76","87","87","87","88","88","88"
"Madison Satellite Facility","102","96","96","94","100","99","100","102","102","102"
"Noxubee Satellite Facility","92","90","89","83","86","86","86","92","90","90"
"Pike Satellite Facility","93","67","68","67","64","64","64","68","69","79"
"Quitman Satellite Facility","93","86","86","84","82","82","82","89","90","90"
"Rankin Satellite Facility","260","248","248","241","244","244","244","249","249","249"
"Simpson Satellite Facility","102","102","101","102","98","98","98","102","102","102"
"Washington Satellite Facility","102","83","83","80","77","77","77","82","97","96"
"Wilkinson Satellite Facility","102","102","102","97","99","99","99","100","101","100"
"Yazoo Satellite Facility","102","98","98","96","99","99","99","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,967","2,964","2,940","2,911","2,910","2,909","2,883","2,867","2,851"
"Bolivar County","294","276","276","275","271","271","271","266","265","265"
"Carroll County","280","265","263","262","256","256","256","255","255","255"
"George County","280","263","263","259","259","259","259","259","256","250"
"Holmes County","280","262","262","262","260","260","260","260","259","257"
"Issaquena County","274","257","256","251","247","247","246","246","246","243"
"Jefferson County","280","259","259","250","250","250","250","249","242","242"
"Kemper County","355","337","337","338","338","338","338","334","334","329"
"Leake County","280","265","265","265","258","258","258","253","253","253"
"Marion County","280","264","264","263","262","262","262","262","262","262"
"Stone County","280","260","260","256","252","252","252","252","248","248"
"Winston County","280","259","259","259","258","257","257","247","247","247"
"PRIVATE PRISONS","5,972","5,478","5,477","5,460","5,417","5,415","5,413","5,397","5,379","5,373"
"Delta","972","948","948","947","933","933","933","931","928","925"
"East Mississippi","1,500","1,353","1,353","1,350","1,349","1,348","1,347","1,341","1,340","1,340"
"Marshall County","1,000","968","968","966","962","962","961","961","951","949"
"Walnut Grove","1,500","1,250","1,250","1,239","1,216","1,216","1,216","1,210","1,206","1,205"
"Wilkinson County","1,000","959","958","958","957","956","956","954","954","954"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","6","6","8","61","64","64","12","10","12"
"TOTALS","23,807","21,540","21,528","21,437","21,419","21,416","21,411","21,418","21,439","21,482"
