"Location","Capacity","21-Nov-02","22-Nov-02","23-Nov-02","24-Nov-02","25-Nov-02","26-Nov-02","27-Nov-02","28-Nov-02","29-Nov-02","30-Nov-02"
"MS STATE PENITENTIARY","5,551","5,377","5,379","5,377","5,376","5,419","5,440","5,442","5,441","5,438","5,435"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,122","3,132","3,131","3,132","3,107","3,096","3,038","3,037","3,034","3,031"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,061","2,075","2,074","2,074","2,073","2,080","2,075","2,074","2,074","2,074"
"COUNTY JAILS","2,113","2,031","2,012","2,012","2,012","2,017","2,052","2,049","2,049","2,049","2,049"
"COMMUNITY WORK CENTERS","1,350","1,286","1,269","1,269","1,269","1,271","1,269","1,249","1,249","1,247","1,247"
"Alcorn Satellite Facility","75","75","75","75","75","75","75","72","72","71","71"
"Bolivar Satellite Facility","75","71","71","71","71","71","71","70","70","70","70"
"Forrest Satellite Facility","75","74","74","74","74","74","75","75","75","75","75"
"George Satellite Facility","75","73","72","72","72","74","74","73","73","73","73"
"Harrison Satellite Facility","75","72","70","70","70","69","68","68","68","68","68"
"Jackson Satellite Facility","75","71","70","70","70","70","69","68","68","68","68"
"Jefferson Satellite Facility","75","74","74","74","74","72","72","72","72","72","72"
"Leflore Satellite Facility","75","73","72","72","72","72","71","68","68","68","68"
"Madison Satellite Facility","75","75","75","75","75","74","74","75","75","74","74"
"Noxubee Satellite Facility","75","69","68","68","68","72","71","67","67","67","67"
"Pike Satellite Facility","75","63","62","62","62","61","61","61","61","61","61"
"Quitman Satellite Facility","75","58","51","51","51","51","51","52","52","52","52"
"Rankin Satellite Facility","150","146","145","145","145","144","142","140","140","140","140"
"Simpson Satellite Facility","75","74","74","74","74","73","72","70","70","70","70"
"Washington Satellite Facility","75","72","71","71","71","71","74","73","73","73","73"
"Wilkinson Satellite Facility","75","71","71","71","71","74","74","72","72","72","72"
"Yazoo Satellite Facility","75","75","74","74","74","74","75","73","73","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,486","2,489","2,489","2,489","2,483","2,482","2,479","2,479","2,479","2,479"
"Bolivar County","250","225","225","225","225","225","226","226","226","226","226"
"Carroll County","250","228","228","228","228","228","227","226","226","226","226"
"George County (opened on May 10th)","250","226","226","226","226","225","225","227","227","227","227"
"Holmes County","250","226","225","225","225","225","227","226","226","226","226"
"Issaquena County","250","222","223","223","223","222","221","221","221","221","221"
"Jefferson County","250","227","227","227","227","226","226","225","225","225","225"
"Kemper County","250","226","226","226","226","224","224","224","224","224","224"
"Leake County","250","226","226","226","226","226","226","226","226","226","226"
"Marion County","250","228","228","228","228","228","228","227","227","227","227"
"Stone County","250","228","228","228","228","227","225","225","225","225","225"
"Winston County","250","224","227","227","227","227","227","226","226","226","226"
"PRIVATE PRISONS","4,750","3,425","3,421","3,421","3,420","3,419","3,415","3,419","3,419","3,419","3,418"
"Delta (Closed)","1,000","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","731","730","730","729","728","728","730","730","730","729"
"Marshall County","1,000","986","986","985","985","985","986","989","989","989","989"
"Walnut Grove","750","715","714","714","714","714","711","711","711","711","711"
"Wilkinson County","1,000","993","991","992","992","992","990","989","989","989","989"
"RESITITUTION CENTERS","24","11","11","11","11","11","11","11","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","6","6","6","6","6","6","6","5","5","5"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","4","4","4","5","5","6","6","6","6"
"TOTALS","21,857","19,804","19,792","19,788","19,787","19,805","19,850","19,768","19,764","19,756","19,749"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","21-Nov-02","22-Nov-02","23-Nov-02","24-Nov-02","25-Nov-02","26-Nov-02","27-Nov-02","28-Nov-02","29-Nov-02","30-Nov-02"
