"Location","Capacity","1-Apr-10","2-Apr-10","3-Apr-10","4-Apr-10","5-Apr-10","6-Apr-10","7-Apr-10","8-Apr-10","9-Apr-10"
"Mississippi State Penitentiary","4,435","3,777","3,772","3,770","3,770","3,778","3,754","3,756","3,760","3,738"
"Central Mississippi Correctional Facility","3,449","3,267","3,240","3,241","3,241","3,249","3,277","3,308","3,324","3,306"
"South Mississippi Correctional Institution","3,204","3,119","3,098","3,098","3,096","3,082","3,112","3,113","3,106","3,101"
"County Jails","1,450","1,502","1,507","1,507","1,507","1,515","1,483","1,455","1,449","1,439"
"COMMUNITY WORK CENTERS","1,848","1,691","1,687","1,687","1,686","1,688","1,683","1,692","1,673","1,659"
"Alcorn Satellite Facility","92","80","79","79","79","79","79","79","77","73"
"Bolivar Satellite Facility","102","94","94","94","94","94","94","94","91","89"
"Forrest Satellite Facility","96","85","83","83","83","85","84","84","82","80"
"George Satellite Facility","102","100","95","95","94","95","95","96","96","95"
"Harrison Satellite Facility","102","91","91","91","91","91","91","90","88","88"
"Jackson Satellite Facility","102","93","91","91","91","92","92","90","89","89"
"Jefferson Satellite Facility","102","94","96","96","96","95","95","95","95","95"
"Leflore Satellite Facility","102","90","90","90","90","90","90","90","89","89"
"Madison Satellite Facility","102","90","96","96","96","92","91","91","92","91"
"Noxubee Satellite Facility","92","86","87","87","87","87","87","88","86","83"
"Pike Satellite Facility","93","85","85","85","85","84","83","83","83","83"
"Quitman Satellite Facility","93","93","92","92","92","91","91","93","93","93"
"Rankin Satellite Facility","260","233","233","233","233","234","233","239","234","233"
"Simpson Satellite Facility","102","100","100","100","100","98","99","101","101","102"
"Washington Satellite Facility","102","90","90","90","90","89","89","89","89","88"
"Wilkinson Satellite Facility","102","97","97","97","97","97","95","95","93","93"
"Yazoo Satellite Facility","102","90","88","88","88","95","95","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,529","2,528","2,524","2,523","2,522","2,528","2,529","2,521","2,523"
"Bolivar County","294","235","234","234","234","233","234","234","234","234"
"Carroll County","280","224","224","222","222","222","223","223","222","222"
"George County","280","224","224","224","224","224","224","224","222","222"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","219","218","220"
"Jefferson County","280","223","224","224","224","224","224","224","224","224"
"Kemper County","355","285","285","284","283","283","284","286","284","284"
"Leake County","280","225","225","224","224","225","225","225","223","225"
"Marion County","280","224","224","224","224","224","223","222","224","222"
"Stone County","280","223","223","223","223","223","224","224","222","222"
"Winston County","280","223","222","222","222","221","224","224","224","224"
"PRIVATE PRISONS","5,972","5,208","5,206","5,204","5,198","5,186","5,184","5,192","5,179","5,196"
"Delta","972","905","905","905","904","901","900","900","893","903"
"East Mississippi","1,500","1,260","1,262","1,261","1,259","1,258","1,261","1,260","1,258","1,270"
"Marshall County","1,000","900","900","900","899","898","899","903","899","899"
"Walnut Grove","1,500","1,190","1,186","1,185","1,185","1,178","1,176","1,181","1,177","1,174"
"Wilkinson County","1,000","953","953","953","951","951","948","948","952","950"
"RESTITUTION CENTERS","16","11","11","11","10","10","10","10","10","10"
"Greenwood","6","5","5","5","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","15","12","14","6","6","7","0","23"
"TOTALS","23,543","21,116","21,070","21,060","21,051","21,042","21,043","21,068","21,028","21,001"
