"Location","Capacity","10-Feb-10","11-Feb-10","12-Feb-10","13-Feb-10","14-Feb-10","15-Feb-10","16-Feb-10","17-Feb-10","18-Feb-10"
"Mississippi State Penitentiary","4,435","3,892","3,896","3,887","3,888","3,886","3,879","3,883","3,909","3,891"
"Central Mississippi Correctional Facility","3,665","3,125","3,141","3,166","3,165","3,164","3,163","3,233","3,189","3,193"
"South Mississippi Correctional Institution","3,204","3,087","3,092","3,090","3,089","3,088","3,083","3,080","3,080","3,084"
"County Jails","1,470","1,518","1,498","1,472","1,472","1,472","1,482","1,450","1,448","1,435"
"COMMUNITY WORK CENTERS","1,848","1,761","1,751","1,718","1,716","1,716","1,754","1,744","1,727","1,759"
"Alcorn Satellite Facility","92","92","91","86","86","86","90","90","90","90"
"Bolivar Satellite Facility","102","95","95","95","94","94","96","95","95","101"
"Forrest Satellite Facility","96","93","93","90","90","90","93","91","96","95"
"George Satellite Facility","102","91","91","89","89","89","91","91","98","101"
"Harrison Satellite Facility","102","96","96","94","94","94","96","96","95","95"
"Jackson Satellite Facility","102","98","97","93","93","93","97","97","102","102"
"Jefferson Satellite Facility","102","99","99","95","95","95","99","99","99","100"
"Leflore Satellite Facility","102","93","92","94","94","94","95","90","62","70"
"Madison Satellite Facility","102","102","102","101","101","101","102","101","101","101"
"Noxubee Satellite Facility","92","90","89","85","85","85","88","88","92","90"
"Pike Satellite Facility","93","93","93","92","92","92","93","92","78","92"
"Quitman Satellite Facility","93","92","90","90","90","90","91","91","91","83"
"Rankin Satellite Facility","260","235","234","234","234","234","237","236","239","241"
"Simpson Satellite Facility","102","101","100","97","96","96","98","99","96","97"
"Washington Satellite Facility","102","94","94","93","93","93","94","94","94","101"
"Wilkinson Satellite Facility","102","97","95","92","92","92","95","94","100","100"
"Yazoo Satellite Facility","102","100","100","98","98","98","99","100","99","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,733","2,728","2,721","2,720","2,719","2,717","2,709","2,726","2,736"
"Bolivar County","294","255","255","254","254","254","254","254","254","254"
"Carroll County","280","242","242","240","240","240","240","240","240","242"
"George County","280","241","241","241","241","241","240","240","240","242"
"Holmes County","280","242","242","240","240","240","240","240","240","242"
"Issaquena County","274","237","235","234","234","234","233","233","237","237"
"Jefferson County","280","241","239","239","239","239","239","238","243","243"
"Kemper County","355","309","309","309","308","308","308","307","309","309"
"Leake County","280","242","242","241","241","240","240","236","241","241"
"Marion County","280","242","242","242","242","242","242","241","241","242"
"Stone County","280","240","241","241","241","241","241","240","242","242"
"Winston County","280","242","240","240","240","240","240","240","239","242"
"PRIVATE PRISONS","5,972","5,212","5,207","5,201","5,200","5,196","5,181","5,177","5,209","5,220"
"Delta","972","903","902","900","900","899","895","894","899","901"
"East Mississippi","1,500","1,260","1,263","1,262","1,262","1,261","1,258","1,256","1,261","1,265"
"Marshall County","1,000","900","899","897","897","897","895","895","898","900"
"Walnut Grove","1,500","1,198","1,197","1,196","1,195","1,193","1,189","1,188","1,197","1,201"
"Wilkinson County","1,000","951","946","946","946","946","944","944","954","953"
"RESTITUTION CENTERS","16","9","8","7","7","7","8","10","10","10"
"Greenwood","6","6","6","5","5","5","6","6","6","6"
"Hinds","6","2","1","1","1","1","1","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","18","15","56","55","55","12","10","13","10"
"TOTALS","23,779","21,361","21,342","21,324","21,318","21,309","21,285","21,302","21,317","21,344"
