"Location","Capacity","28-Dec-14","29-Dec-14","30-Dec-14","","31-Dec-14 Avg Population"
"Mississippi State Penitentiary","4,648","3,204","3,205","3,214","3,209","3,164"
"Central Mississippi Correctional Facility","3,469","2,133","2,187","2,163","2,170","2,204"
"Youthful Offender Unit","58","34","34","34","34","34"
"CMCF TVC","350","118","120","121","123","93"
"South Mississippi Correctional Institution 3,282","","2,621","2,624","2,623","2,625","2,620"
"County Jails","1,973","1,454","1,428","1,423","1,388","1,472"
"COMMUNITY WORK CENTERS","1,848","1,126","1,111","1,107","1,112","1,113"
"Alcorn Satellite Facility","92","64","62","62","62","69"
"Bolivar Satellite Facility","102","54","54","54","56","53"
"Forrest Satellite Facility","96","49","48","48","48","52"
"George Satellite Facility","102","51","51","49","50","51"
"Harrison Satellite Facility","102","46","46","46","46","48"
"Jackson Satellite Facility","102","47","45","46","48","47"
"Jefferson Satellite Facility","102","53","52","52","51","54"
"Leflore Satellite Facility","102","55","55","54","55","54"
"Madison Satellite Facility","102","54","54","57","55","53"
"Noxubee Satellite Facility","92","76","75","75","75","74"
"Pike Satellite Facility","93","87","87","86","87","84"
"Quitman Satellite Facility","93","51","50","50","50","52"
"Rankin Satellite Facility","260","188","186","183","184","187"
"Simpson Satellite Facility","102","100","100","99","100","91"
"Washington Satellite Facility","102","50","49","49","49","51"
"Wilkinson Satellite Facility","102","46","44","44","44","41"
"Yazoo Satellite Facility","102","55","53","53","52","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,202","4,177","4,182","4,188","4,203"
"Alcorn County","300","298","298","298","298","299"
"Bolivar County","369","356","357","357","357","361"
"Carroll County","280","266","266","266","267","262"
"Chickasaw County","300","300","299","298","301","299"
"George County","280","255","254","261","259","255"
"Holmes County","280","260","259","262","262","263"
"Issaquena County","274","254","251","251","251","254"
"Jefferson County","280","258","255","254","254","257"
"Kemper County","355","330","324","319","320","329"
"Leake County","280","249","247","257","258","251"
"Marion County","280","270","270","268","272","272"
"Stone County","280","274","273","276","275","272"
"Washington County","300","277","274","273","272","280"
"Winston County","280","274","273","272","273","269"
"Yazoo County","300","281","277","270","269","281"
"PRIVATE PRISONS","5,972","4,285","4,273","4,266","4,271","4,306"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,159","1,166","1,165","1,165","1,171"
"Marshall County","1,000","996","996","995","998","996"
"Walnut Grove","1,500","1,247","1,232","1,227","1,230","1,254"
"Wilkinson County","1,000","883","879","879","878","884"
"RESTITUTION CENTERS","16","7","9","9","9","8"
"Greenwood","6","3","3","3","3","3"
"Hinds","6","1","3","3","3","3"
"Pascagoula","4","3","3","3","3","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0"
"TOTALS","25,710","19,184","19,168","19,142","19,129","19,217"
"","","28-Dec-14","29-Dec-14","30-Dec-14","31-Dec-14",""
