"Location","Capacity","","25-Jun-03 26-Jun-03","","27-Jun-03 28-Jun-03 29-Jun-03 30-Jun-03","",""
"MS STATE PENITENTIARY","5,768","5,706","5,699","5,695","5,692","5,692","5,684"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,162","3,164","3,171","3,173","3,173","3,170"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,186","2,179","2,174","2,171","2,171","2,168"
"COUNTY JAILS","2,176","2,052","2,060","2,037","2,037","2,037","2,018"
"COMMUNITY WORK CENTERS","1,816","1,403","1,419","1,388","1,388","1,386","1,445"
"Alcorn Satellite Facility","92","74","74","69","69","69","91"
"Bolivar Satellite Facility","102","72","72","70","70","70","72"
"Forrest Satellite Facility","96","72","75","73","73","73","75"
"George Satellite Facility","102","98","97","99","99","99","100"
"Harrison Satellite Facility","102","75","75","73","73","73","75"
"Jackson Satellite Facility","102","74","74","69","69","68","71"
"Jefferson Satellite Facility","102","73","72","72","72","72","73"
"Leflore Satellite Facility","102","97","98","94","94","94","96"
"Madison Satellite Facility","102","98","101","100","100","100","101"
"Noxubee Satellite Facility","92","71","71","66","66","66","72"
"Pike Satellite Facility","93","56","56","58","58","58","59"
"Quitman Satellite Facility","93","61","61","66","66","66","66"
"Rankin Satellite Facility","228","171","170","167","167","167","168"
"Simpson Satellite Facility","102","73","75","71","71","71","75"
"Washington Satellite Facility","102","71","82","80","80","80","82"
"Wilkinson Satellite Facility","102","72","72","67","67","66","70"
"Yazoo Satellite Facility","102","95","94","94","94","94","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,581","2,582","2,582","2,582","2,582","2,580"
"Bolivar County","250","234","234","236","236","236","235"
"Carroll County","250","235","235","234","234","234","235"
"George County (opened on May 10th)","250","235","235","234","234","234","235"
"Holmes County","250","236","236","236","236","236","234"
"Issaquena County","250","232","233","234","234","234","234"
"Jefferson County","250","234","234","235","235","235","235"
"Kemper County","250","235","235","235","235","235","235"
"Leake County","250","235","235","235","235","235","234"
"Marion County","250","235","235","233","233","233","233"
"Stone County","250","235","235","235","235","235","235"
"Winston County","250","235","235","235","235","235","235"
"PRIVATE PRISONS","3,750","3,381","3,382","3,383","3,383","3,383","3,378"
"East MS","1,000","681","679","679","679","679","679"
"Marshall County","1,000","992","992","994","994","994","993"
"Walnut Grove","750","714","717","716","716","716","713"
"Wilkinson County","1,000","994","994","994","994","994","993"
"RESITITUTION CENTERS","24","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6"
"Hinds","12","9","9","9","9","9","9"
"Pascagoula","6","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6"
"E-CODE","","11","11","50","49","49","4"
"TOTALS","21,737","20,506","20,520","20,504","20,499","20,497","20,471"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 
(Hospital) & 5 at Family Visitation Apts.","","","25-Jun-03 26-Jun-03","","27-Jun-03 28-Jun-03 29-Jun-03 30-Jun-03","",""
