"Location","Capacity 1-Jul-17","","2-Jul-17","3-Jul-17","4-Jul-17","5-Jul-17","6-Jul-17","7-Jul-17","8-Jul-17","9-Jul-17","10-Jul-17","11-Jul-17","12-Jul-17","13-Jul-17","14-Jul-17","15-Jul-17","16-Jul-17","17-Jul-17"
"Mississippi State Penitentiary","3,590","3369","3367","3367","3365","3362","3349","3371","3367","3365","3,356","3,373","3358","3,354","3345","3343","3343","3368"
"Central Mississippi Correctional Facility","3,710","3,380","3,378","3,378","3,377","3,408","3,407","3,387","3,387","3,387","3,409","3,419","3,428","3,392","3,387","3,384","3,382","3,346"
"Youthful Offender Unit","58","33","33","33","33","33","33","33","33","33","33","33","31","31","31","31","31","30"
"CMCF TVC","","9","9","9","9","9","9","9","9","9","9","9","9","8","10","10","10","11"
"South Mississippi Correctional Institution","3,082","3,012","3,010","3,010","3,008","3,002","3,009","3,009","2,992","2,990","2,988","2,988","2,986","2,993","2,992","2,992","2,993","3,006"
"County Jails","1,781","1,328","1,328","1,298","1,298","1,259","1,250","1,194","1,194","1,194","1,204","1,188","1,219","1,218","1,233","1,233","1,233","1,233"
"COMMUNITY WORK CENTERS","1,348","918","918","909","901","886","885","858","857","856","866","863","856","848","846","846","844","868"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","67","67","67","67","66","66","65","64","64","64","65","64","64","61","61","61","61"
"George Satellite Facility","102","77","77","77","77","77","78","74","74","74","77","80","79","79","75","75","75","80"
"Harrison Satellite Facility","102","67","67","67","67","66","66","62","62","62","66","65","67","64","61","61","60","61"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","60","60","60","59","57","55","53","53","52","51","52","50","51","63","63","63","63"
"Leflore TVC Support","20","15","15","15","15","14","14","13","13","13","14","14","14","14","14","14","14","14"
"Madison Satellite Facility","102","58","58","58","57","57","57","56","56","56","56","56","56","56","53","53","53","56"
"Noxubee Satellite Facility","92","50","50","50","50","50","50","50","50","50","50","50","50","49","46","46","46","49"
"Pike Satellite Facility","93","81","81","81","81","81","81","79","79","79","81","81","80","81","81","81","81","81"
"Quitman Satellite Facility","93","53","53","52","52","51","51","49","49","49","49","49","47","47","47","47","46","46"
"Rankin Satellite Facility","182","173","173","173","173","170","172","171","171","171","171","171","170","168","160","160","160","170"
"Rankin RID","28","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Flowood TVC","50","22","22","20","20","20","19","18","18","18","18","17","16","15","15","15","15","15"
"Simpson TVC","82","65","65","60","54","52","51","49","49","49","46","40","40","39","51","51","51","51"
"Simpson TVC Support","20","11","11","11","11","10","10","7","7","7","10","10","10","10","10","10","10","10"
"Washington Satellite Facility","102","55","55","54","54","53","53","52","52","52","52","52","52","52","51","51","51","52"
"Wilkinson Satellite Facility","102","56","56","56","56","54","54","52","52","52","53","53","53","51","50","50","50","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,780","3,766","3,767","3,765","3,746","3,769","3,790","3,789","3,788","3,786","3,789","3,797","3,911","3,804","3,804","3,803","3,816"
"Alcorn County","300","239","239","239","239","239","239","239","240","240","240","240","240","240","240","240","240","240"
"Bolivar County","369","293","293","293","293","291","291","291","291","291","291","290","293","292","292","292","292","292"
"Carroll County","280","240","240","239","239","238","239","239","238","238","240","240","240","245","244","244","244","248"
"Chickasaw County","310","270","266","270","270","270","270","270","270","270","269","269","269","368","268","268","267","272"
"George County","280","224","224","223","223","223","233","253","253","253","253","253","252","257","257","257","257","273"
"Holmes County","280","220","220","220","219","216","223","223","223","222","224","223","224","223","222","222","222","222"
"Issaquena County","274","284","274","274","273","268","274","274","273","273","270","269","274","272","271","271","271","271"
