"Location","Capacity","25-Feb-02","26-Feb-02","27-Feb-02","28-Feb-02"
"MS STATE PENITENTIARY","5,551","5,276","5,297","5,275","5,297"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,926","2,928","2,925","2,931"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,066","2,065","2,053","2,046"
"COUNTY JAILS","2,137","1,596","1,583","1,581","1,588"
"COMMUNITY WORK CENTERS","1,328","1,266","1,270","1,262","1,275"
"Alcorn Satellite Facility","75","74","74","73","73"
"Bolivar Satellite Facility","75","68","67","66","70"
"Forrest Satellite Facility","75","74","74","74","74"
"George Satellite Facility","75","75","75","75","75"
"Harrison Satellite Facility","75","74","75","75","75"
"Jackson Satellite Facility","75","73","73","75","75"
"Jefferson Satellite Facility","75","72","72","72","72"
"Leflore Satellite Facility","75","75","75","73","74"
"Madison Satellite Facility","75","74","74","74","75"
"Noxubee Satellite Facility","75","70","70","66","71"
"Pike Satellite Facility","75","63","63","63","64"
"Quitman Satellite Facility","75","61","62","64","64"
"Rankin Satellite Facility","128","118","118","118","117"
"Simpson Satellite Facility","75","75","75","73","74"
"Washington Satellite Facility","75","71","74","74","74"
"Wilikinson Satellite Facility","75","74","74","73","73"
"Yazoo Satellite Facility","75","75","75","74","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,988","1,992","1,983","1,967"
"Bolivar County","250","0","0","0 0",""
"Carroll County","250","217","217","218","218"
"Holmes County","250","218","218","218","210"
"Issaquena County","250","216","215","210","205"
"Jefferson County","250","227","229","228","228"
"Kemper County","250","243","243","239","239"
"Leake County","250","216","216","216","215"
"Marion County","250","218","219","219","218"
"Stone County","250","216","218","218","217"
"Winston County","250","217","217","217","217"
"PRIVATE PRISONS","3,900","3,568","3,563","3,564","3,559"
"Delta","1,000","857","859","858","851"
"East MS","500","499","496","496","496"
"Marshall County","1,000","881","882","887","886"
"Walnut Grove","500","449","445","442","445"
"Wilkinson County","900","882","881","881","881"
"RESITITUTION CENTERS","24","17","17","16","15"
"Greenwood","6","5","5","4","4"
"Hinds","12","10","10","10","9"
"Pascagoula","6","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6"
"TOTALS","20,709","18,709","18,721","18,665","18,684"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","25-Feb-02","26-Feb-02","27-Feb-02","28-Feb-02"
