"Location","Capacity","22-Jun-17","23-Jun-17","24-Jun-17","25-Jun-17","26-Jun-17","27-Jun-17","28-Jun-17","29-Jun-17","30-Jun-17","Avg Population"
"Mississippi State Penitentiary","3590","3357","3378","3379","3,375","3,374","3,392","3,384","3,379","3,370","3339"
"Central Mississippi Correctional Facility","3,710","3,400","3,363","3,361","3,360","3,329","3,340","3,320","3,375","3,375","3339"
"Youthful Offender Unit","58","31","31","31","31","31","31","32","33","33","31"
"CMCF TVC","","9","7","7","7","6","8","6","9","9","9"
"South Mississippi Correctional Institution","3,082","2,998","2,992","2,991","2,991","2,990","2,986","2,992","3,007","3,013","2996"
"County Jails","1,781","1,400","1,423","1,423","1,423","1,416","1,388","1,367","1,328","1,328","1373"
"COMMUNITY WORK CENTERS","1,348","927","918","910","908","908","905","909","911","919","934"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","70","65","65","65","68","67","67","67","67","66"
"George Satellite Facility","102","78","79","79","79","79","79","76","76","76","82"
"Harrison Satellite Facility","102","62","60","60","60","61","61","63","67","67","64"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","58","57","57","57","54","51","58","54","60","64"
"Leflore TVC Support","20","13","13","13","13","13","15","15","15","15","13"
"Madison Satellite Facility","102","56","56","61","61","60","59","59","59","58","59"
"Noxubee Satellite Facility","92","51","51","49","49","51","51","50","50","50","51"
"Pike Satellite Facility","93","82","81","81","80","81","81","83","81","83","80"
"Quitman Satellite Facility","93","57","57","57","57","56","53","54","53","53","59"
"Rankin Satellite Facility","182","169","169","165","165","165","172","171","173","173","167"
"Rankin RID","28","7","7","7","7","7","7","7","8","8","8"
"Flowood TVC","50","22","22","22","22","22","21","23","22","22","23"
"Simpson TVC","82","74","73","70","69","66","65","63","62","65","74"
"Simpson TVC Support","20","12","12","12","12","12","12","12","12","11","12"
"Washington Satellite Facility","102","58","58","58","58","57","55","55","55","55","57"
"Wilkinson Satellite Facility","102","58","58","54","54","56","56","53","57","56","56"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,757","3,769","3,769","3,769","3,763","3,757","3,765","3,766","3,778","3775"
"Alcorn County","300","240","240","240","240","240","239","240","240","239","240"
"Bolivar County","369","291","286","286","285","289","287","294","294","294","291"
"Carroll County","280","240","240","240","240","240","240","240","240","240","246"
"Chickasaw County","310","274","273","273","273","272","271","270","270","270","280"
"George County","280","222","221","222","222","220","223","221","224","224","223"
"Holmes County","280","223","222","221","222","222","218","223","220","224","223"
"Issaquena County","274","272","272","272","272","274","271","270","275","275","273"
"Jefferson County","280","278","280","280","279","278","280","278","278","280","277"
"Kemper County","355","349","352","352","352","350","347","348","347","352","350"
"Leake County","280","199","200","200","200","198","200","200","200","199","199"
"Marion County","280","222","224","224","224","224","224","224","224","223","223"
"Stone County","326","260","260","260","260","260","261","264","264","263","262"
"Washington County","300","238","238","238","238","237","235","234","233","232","230"
"Winston County","280","217","223","223","224","222","223","223","223","223","222"
"Yazoo County","300","232","238","238","238","237","238","236","234","240","237"
"PRIVATE PRISONS","5,972","3,027","3,029","3,028","3,028","3,056","3,058","3,060","3,039","3,040","3041"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,161","1,161","1,161","1,161","1,160","1,163","1,166","1,164","1,164","1170"
"Marshall County","1,000","998","1,000","999","999","998","998","997","997","1,000","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","868","868","868","868","898","897","897","878","876","873"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","14","14","14","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","6","6","6","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","40","40","40","40","41","46","46","46","46","46"
"Madison","40","5","5","5","5","5","5","5","5","5","8"
"Noxubee","34","27","27","27","27","27","32","32","32","32","26"
"Rankin/Flowood","8","5","5","5","5","7","7","7","7","7","5"
"Washington","42","1","1","1","1","0","0","0","0","0","5"
"Wilkinson","40","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,215","18,960","18,964","18,953","18,946","18,928","18,925","18,895","18,907","18,925","18897"
"","","22-Jun-17","23-Jun-17","24-Jun-17","25-Jun-17","26-Jun-17","27-Jun-17","28-Jun-17","29-Jun-17","30-Jun-17","Avg Population"
