"Location","Capacity","1-Jun-18","2-Jun-18","3-Jun-18","4-Jun-18","5-Jun-18","6-Jun-18","7-Jun-18","8-Jun-18","9-Jun-18","10-Jun-18","11-Jun-18","12-Jun-18","13-Jun-18","14-Jun-18","15-Jun-18","16-Jun-18","17-Jun-18"
"Mississippi State Penitentiary","3,590","3,443","3,442","3,441","3,434","3,433","3,438","3,432","3,439","3,439","3,438","3,431","3,426","3,424","3,418","3,419","3,417","3,416"
"Central Mississippi Correctional Facility","4,022","3,719","3,718","3,718","3,731","3,725","3,738","3,747","3,751","3,749","3,749","3,766","3,798","3,819","3,835","3,785","3,782","3,820"
"Youthful Offender Unit","58","37","37","37","37","36","36","36","36","36","36","36","37","38","38","37","37","37"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,044","3,044","3,043","3,040","3,057","3,054","3,052","3,058","3,060","3,058","3,050","3,056","3,063","3,058","3,059","3,057","3,056"
"County Jails","1,781","1,347","1,347","1,347","1,359","1,336","1,333","1,334","1,331","1,331","1,331","1,329","1,305","1,314","1,298","1,341","1,341","1,341"
"COMMUNITY WORK CENTERS","1,512","982","980","972","989","999","997","996","980","981","977","989","986","991","994","990","987","987"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","78","79","79","81","81","82","80","79","82","82","83","82","82","80","78","78","78"
"Delta TVC","300","259","256","249","254","252","251","248","247","247","244","251","248","250","249","252","251","251"
"Forrest Satellite Facility","96","56","56","56","55","55","55","55","54","53","53","53","54","54","55","50","50","50"
"George Satellite Facility","102","65","65","65","65","65","68","67","65","65","65","66","65","63","71","72","72","72"
"Harrison Satellite Facility","102","45","45","45","43","43","43","42","42","42","42","42","42","42","42","44","44","44"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","62","62","62","66","68","68","69","67","66","66","67","66","65","67","67","67","67"
"Noxubee Satellite Facility","58","53","53","53","52","52","52","52","52","52","51","51","51","50","50","53","53","53"
"Pike Satellite Facility","93","71","71","71","75","75","74","73","73","73","73","71","74","74","66","67","67","67"
"Quitman Satellite Facility","93","47","47","47","47","47","47","47","45","45","45","46","46","54","54","52","51","51"
"Rankin Satellite Facility","178","144","144","144","150","149","148","152","147","147","147","150","149","148","148","144","143","143"
"Rankin RID","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28"
"Flowood TVC","50","25","25","24","23","33","32","32","31","31","31","31","31","31","31","31","31","31"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
