"Location","Capacity","14-Mar-04","15-Mar-04","16-Mar-04","17-Mar-04","18-Mar-04","19-Mar-04","20-Mar-04","21-Mar-04","22-Mar-04","23-Mar-04","24-Mar-04","25-Mar-04","26-Mar-04"
"MS STATE PENITENTIARY","5,768","5,706","5,695","5,718","5,713","5,724","5,737","5,734","5,734","5,744","5,755","5,737","5,748","5,739"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,244","3,240","3,232","3,246","3,251","3,226","3,222","3,223","3,240","3,232","3,250","3,264","3,264"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,022","2,044","2,045","2,067","2,065","2,061","2,061","2,061","2,062","2,059","2,075","2,071","2,086"
"COUNTY JAILS","2,176","2,136","2,153","2,151","2,143","2,152","2,165","2,165","2,165","2,150","2,153","2,163","2,152","2,143"
"COMMUNITY WORK CENTERS","1,816","1,568","1,604","1,607","1,616","1,623","1,562","1,561","1,562","1,621","1,621","1,620","1,616","1,605"
"Alcorn Satellite Facility","92","87","92","91","91","91","90","90","90","92","92","92","92","92"
"Bolivar Satellite Facility","102","96","98","100","102","102","92","92","92","100","101","101","102","99"
"Forrest Satellite Facility","96","93","93","93","93","93","93","92","92","95","95","95","96","95"
"George Satellite Facility","102","66","70","70","69","69","67","67","67","68","68","68","67","71"
"Harrison Satellite Facility","102","92","93","92","91","92","91","91","91","93","93","91","91","91"
"Jackson Satellite Facility","102","72","74","74","74","74","74","74","74","74","74","74","74","78"
"Jefferson Satellite Facility","102","77","78","78","82","82","79","79","79","82","83","83","82","81"
"Leflore Satellite Facility","102","100","101","102","101","101","94","94","94","100","102","101","101","100"
"Madison Satellite Facility","102","99","101","101","101","101","98","98","98","100","98","102","102","99"
"Noxubee Satellite Facility","92","90","89","89","92","92","86","86","86","92","92","92","92","86"
"Pike Satellite Facility","93","57","58","58","59","59","55","55","55","59","58","58","58","56"
"Quitman Satellite Facility","93","82","83","83","80","80","79","79","79","80","79","79","79","77"
"Rankin Satellite Facility","228","198","206","206","207","206","198","198","199","203","210","210","207","207"
"Simpson Satellite Facility","102","98","100","100","101","101","91","91","91","100","98","97","97","97"
"Washington Satellite Facility","102","95","96","98","101","101","99","99","99","101","99","99","96","95"
"Wilkinson Satellite Facility","102","73","73","73","73","81","77","77","77","80","78","78","78","79"
"Yazoo Satellite Facility","102","93","99","99","99","98","99","99","99","102","101","100","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,743","2,742","2,741","2,738","2,741","2,744","2,744","2,744","2,743","2,748","2,744","2,740","2,742"
"Bolivar County","250","249","248","247","246","245","249","249","249","249","251","249","248","249"
"Carroll County","250","249","249","250","250","250","249","249","249","249","250","250","250","250"
"George County","250","249","249","249","248","250","250","250","250","249","248","248","250","250"
"Holmes County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"Issaquena County","250","248","248","248","248","250","250","250","250","250","250","250","248","246"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","249","249","250","250"
"Kemper County","250","250","250","250","249","249","249","249","249","249","250","248","248","250"
"Leake County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"Marion County","250","249","250","248","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","250","249","250","248","248","248","248","248","248","250","250","249","249"
"Winston County","250","249","249","249","249","249","249","249","249","249","250","250","249","250"
"PRIVATE PRISONS","3,750","3,443","3,454","3,449","3,449","3,438","3,431","3,431","3,430","3,429","3,435","3,432","3,436","3,433"
"East MS","1,000","725","725","724","724","724","724","724","723","723","722","722","726","726"
"Marshall County","1,000","995","996","995","995","995","994","994","994","994","993","993","994","994"
"Walnut Grove","750","732","739","736","736","726","722","722","722","722","726","723","722","719"
"Wilkinson County","1,000","991","994","994","994","993","991","991","991","990","994","994","994","994"
"RESITITUTION CENTERS","24","13","14","14","14","14","12","12","13","14","14","14","14","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","4","5","5","5","5","3","3","4","5","5","5","5","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","46","4","2","2","3","66","67","66","5","5","5","6","33"
"TOTALS","21,737","20,926","20,955","20,964","20,993","21,016","21,009","21,002","21,003","21,013","21,027","21,045","21,052","21,063"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","14-Mar-04","15-Mar-04","16-Mar-04","17-Mar-04","18-Mar-04","19-Mar-04","20-Mar-04","21-Mar-04","22-Mar-04","23-Mar-04","24-Mar-04","25-Mar-04","26-Mar-04"
