"Location","Capacity 1-Jan-17","","2-Jan-17","3-Jan-17","4-Jan-17","5-Jan-17","6-Jan-17","7-Jan-17","8-Jan-17 9-Jan-17","","10-Jan-17","11-Jan-17","12-Jan-17","13-Jan-17","14-Jan-17","15-Jan-17","16-Jan-17","17-Jan-17","18-Jan-17"
"Mississippi State Penitentiary","3590","3381","3373","3362","3368","3365","3363","3362","3360","3366","3358","3358","3353","3,337","3336","3336","3336","3335","3313"
"Central Mississippi Correctional Facility","3,858","3,389","3,391","3,443","3,473","3,491","3,477","3,476","3,479","3,476","3,469","3,469","3,453","3,421","3,418","3,421","3,422","3,423","3,395"
"Youthful Offender Unit","58","27","27","27","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26"
"CMCF TVC","","3","3","3","2","2","3","3","3","5","5","5","5","2","2","2","2","4","4"
"South Mississippi Correctional Institution","3,082","3,064","3,063","3,051","3,063","3,059","3,060","3,060","3,060","3,048","3,050","3,049","3,040","3,039","3,038","3,038","3,034","3,021","3,045"
"County Jails","1,781","1,173","1,173","1,146","1,089","1,064","1,062","1,062","1,062","1,085","1,101","1,140","1,155","1,175","1,175","1,175","1,177","1,206","1,219"
"COMMUNITY WORK CENTERS","1,348","970","969","945","938","952","972","969","966","959","953","953","941","940","938","937","960","953","951"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","66","66","63","62","65","65","65","65","65","70","70","70","64","64","64","70","70","71"
"George Satellite Facility","102","78","78","75","74","74","75","75","75","73","72","72","71","65","65","65","72","72","72"
"Harrison Satellite Facility","102","58","58","58","58","58","58","58","58","57","55","55","55","51","51","51","54","54","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","61","61","59","59","57","60","58","58","57","54","55","55","69","68","68","67","67","68"
