"Location","Capacity","","28-May-15 29-May-15 30-May-15 31-May-15 Avg Population","","",""
"Mississippi State Penitentiary","4,648","3,102","3,106","3,105","3,106","3,126"
"MSP TVC","108","88","90","90","89","89"
"Central Mississippi Correctional Facility","3,469","2,446","2,448","2,448","2,448","2,435"
"Youthful Offender Unit","58","23","21","21","21","23"
"CMCF TVC","158","138","138","138","138","132"
"South Mississippi Correctional Institution 3,282","","2,477","2,477","2,477","2,477","2,462"
"SMCI TVC","0","95","101","101","101","96"
"County Jails","2,006","1,395","1,401","1,400","1,392","1,479"
"COMMUNITY WORK CENTERS","1,848","1,108","1,078","1,075","1,078","1,043"
"Alcorn Satellite Facility","92","49","49","49","49","51"
"Bolivar Satellite Facility","102","49","45","44","45","46"
"Forrest Satellite Facility","96","50","49","49","49","45"
"George Satellite Facility","102","54","53","53","53","52"
"Harrison Satellite Facility","102","55","55","55","55","45"
"Jackson Satellite Facility","102","55","52","51","52","51"
"Jefferson Satellite Facility","102","0","0","0","0","30"
"Leflore Satellite Facility","102","50","48","48","48","47"
"Madison Satellite Facility","102","76","74","73","74","55"
"Noxubee Satellite Facility","92","63","57","57","57","59"
"Pike Satellite Facility","93","90","90","90","90","86"
"Quitman Satellite Facility","93","67","65","65","65","63"
"Rankin Satellite Facility","260","189","183","183","183","187"
"Simpson Satellite Facility","102","83","84","84","84","85"
"Washington Satellite Facility","102","45","44","44","44","43"
"Wilkinson Satellite Facility","102","53","51","51","51","48"
"Yazoo Satellite Facility","102","80","79","79","79","51"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,134","4,132","4,133","4,133","4,148"
"Alcorn County","300","301","301","301","301","298"
"Bolivar County","369","349","348","348","348","347"
"Carroll County","280","273","273","273","273","272"
"Chickasaw County","300","298","299","299","299","300"
"George County","280","263","266","266","266","259"
"Holmes County","280","261","259","259","259","260"
"Issaquena County","274","254","254","254","254","254"
"Jefferson County","280","259","259","259","259","259"
"Kemper County","355","326","329","329","329","335"
"Leake County","280","257","257","257","257","256"
"Marion County","280","265","264","264","264","267"
"Stone County","280","268","268","268","268","274"
"Washington County","300","229","230","231","231","233"
"Winston County","280","256","255","255","255","260"
"Yazoo County","300","275","270","270","270","275"
"PRIVATE PRISONS","5,972","3,963","3,967","3,967","3,967","3,950"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,130","1,130","1,130","1,129"
"Marshall County","1,000","999","1,000","1,000","1,000","997"
"Walnut Grove","1,500","942","947","947","947","932"
"Wilkinson County","1,000","896","890","890","890","891"
"RESTITUTION CENTERS","16","16","16","16","16","10"
"Greenwood","6","6","6","6","6","5"
"Hinds","6","6","6","6","6","3"
"Pascagoula","4","4","4","4","4","2"
"TOTALS","25,737","18,985","18,975","18,971","18,966","18,992"
"","","","28-May-15 29-May-15 30-May-15 31-May-15 Avg Population","","",""
