"Location","Capacity","28-Oct-12","29-Oct-12","30-Oct-12","31-Oct-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,363","3,368","3,372","3,379","3,264"
"Central Mississippi Correctional Facility","3,665","3,296","3,326","3,323","3,327","3,227"
"South Mississippi Correctional Institution","3,282","3,192","3,193","3,188","3,186","3,083"
"County Jails","1,816","2,297","2,304","2,274","2,243","2,163"
"COMMUNITY WORK CENTERS","1,848","1,461","1,485","1,480","1,490","1,471"
"Alcorn Satellite Facility","92","91","91","91","91","88"
"Bolivar Satellite Facility","102","70","71","71","70","73"
"Forrest Satellite Facility","96","67","69","68","69","75"
"George Satellite Facility","102","76","77","76","75","77"
"Harrison Satellite Facility","102","71","73","73","74","67"
"Jackson Satellite Facility","102","65","68","68","68","65"
"Jefferson Satellite Facility","102","67","68","68","65","76"
"Leflore Satellite Facility","102","77","80","79","80","78"
"Madison Satellite Facility","102","87","84","81","81","88"
"Noxubee Satellite Facility","92","72","73","73","72","74"
"Pike Satellite Facility","93","89","91","91","92","87"
"Quitman Satellite Facility","93","76","78","82","89","81"
"Rankin Satellite Facility","260","239","243","243","241","232"
"Simpson Satellite Facility","102","101","102","102","102","95"
"Washington Satellite Facility","102","73","77","77","77","75"
"Wilkinson Satellite Facility","102","46","45","43","46","48"
"Yazoo Satellite Facility","102","94","95","94","98","90"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,346","4,344","4,348","4,349","4,209"
"Alcorn County","300","298","298","296","298","289"
"Bolivar County","369","367","364","367","367","356"
"Carroll County","280","279","278","278","277","270"
"Chickasaw County","300","300","300","299","299","290"
"George County","280","279","279","279","279","270"
"Holmes County","280","278","280","280","280","270"
"Issaquena County","274","274","274","274","274","265"
"Jefferson County","280","279","278","279","279","270"
"Kemper County","355","339","341","340","341","328"
"Leake County","280","279","277","277","278","270"
"Marion County","280","278","279","280","281","270"
"Stone County","280","278","278","279","277","270"
"Washington County","300","239","239","241","240","230"
"Winston County","280","280","279","279","279","271"
"Yazoo County","300","299","300","300","300","290"
"PRIVATE PRISONS","5,972","4,224","4,225","4,273","4,269","4,031"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,176","1,176","1,176","1,174","1,149"
"Marshall County","1,000","1,000","999","999","999","966"
"Walnut Grove","1,500","1,144","1,146","1,193","1,193","1,040"
"Wilkinson County","1,000","904","904","905","903","875"
"RESTITUTION CENTERS","16","13","13","13","13","12"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","46","7","7","6","17"
"TOTALS","25,691","22,238","22,265","22,278","22,262","21,478"
"","","28-Oct-12","29-Oct-12","30-Oct-12","31-Oct-12",""
