"Location","Capacity","","28-May-12 29-May-12 30-May-12","","","31-May-12 Avg Population"
"Mississippi State Penitentiary","4,648","3,291","3,284","3,281","3,300","3,296"
"Central Mississippi Correctional Facility","3,665","3,106","3,112","3,102","3,098","3,103"
"South Mississippi Correctional Institution","3,282","3,156","3,163","3,175","3,170","3,172"
"County Jails","1,753","2,124","2,134","2,141","2,122","2,176"
"COMMUNITY WORK CENTERS","1,848","1,563","1,554","1,560","1,562","1,571"
"Alcorn Satellite Facility","92","90","90","91","91","90"
"Bolivar Satellite Facility","102","86","86","86","87","87"
"Forrest Satellite Facility","96","76","75","75","75","78"
"George Satellite Facility","102","92","91","91","92","88"
"Harrison Satellite Facility","102","88","85","84","84","87"
"Jackson Satellite Facility","102","83","84","84","83","82"
"Jefferson Satellite Facility","102","83","81","81","81","77"
"Leflore Satellite Facility","102","91","90","89","88","89"
"Madison Satellite Facility","102","93","90","90","90","90"
"Noxubee Satellite Facility","92","78","77","81","81","76"
"Pike Satellite Facility","93","90","90","93","93","89"
"Quitman Satellite Facility","93","83","90","89","84","90"
"Rankin Satellite Facility","260","192","192","194","194","202"
"Simpson Satellite Facility","102","94","94","94","97","98"
"Washington Satellite Facility","102","87","87","86","84","89"
"Wilkinson Satellite Facility","102","70","70","70","76","71"
"Yazoo Satellite Facility","102","87","82","82","82","85"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,266","4,271","4,270","4,284","4,272"
"Alcorn County","300","298","300","300","300","300"
"Bolivar County","294","293","293","292","293","293"
"Carroll County","280","280","280","280","279","279"
"Chickasaw County","300","299","299","299","299","299"
"George County","280","278","280","279","280","279"
"Holmes County","280","278","278","280","280","279"
"Issaquena County","274","274","274","274","274","274"
"Jefferson County","280","280","279","279","279","280"
"Kemper County","355","336","336","335","337","339"
"Leake County","280","279","280","279","279","279"
"Marion County","280","280","279","280","280","280"
"Stone County","280","281","282","282","280","280"
"Washington County","300","233","232","231","243","232"
"Winston County","280","278","279","280","281","279"
"Yazoo County","300","299","300","300","300","300"
"PRIVATE PRISONS","5,972","4,285","4,283","4,299","4,295","4,271"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,360","1,359","1,362","1,361","1,359"
"Marshall County","1,000","986","984","983","983","983"
"Walnut Grove","1,500","1,036","1,037","1,046","1,044","1,030"
"Wilkinson County","1,000","903","903","908","907","899"
"RESTITUTION CENTERS","16","13","13","12","12","13"
"Greenwood","6","6","6","5","5","6"
"Hinds","6","3","3","3","3","4"
"Pascagoula","4","4","4","4","4","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","6","6","6","2","15"
"TOTALS","25,553","21,810","21,820","21,846","21,845","21,888"
"","","","28-May-12 29-May-12 30-May-12","","31-May-12",""
