"Location","Capacity","18-Mar-18","19-Mar-18","20-Mar-18","21-Mar-18","22-Mar-18","23-Mar-18","24-Mar-18","25-Mar-18","26-Mar-18","27-Mar-18","28-Mar-18","29-Mar-18","30-Mar-18","31-Mar-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,384","3,393","3,403","3,380","3,394","3,392","3,386","3,383","3,380","3,379","3,366","3,359","3,382","3,382","3,391"
"Central Mississippi Correctional Facility","3,830","3,443","3,470","3,443","3,453","3,445","3,471","3,470","3,502","3,467","3,523","3,573","3,592","3,575","3,575","3,458"
"Youthful Offender Unit","58","30","30","30","30","31","31","31","31","31","31","31","31","31","31","30"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,656","2,653","2,649","2,635","2,636","2,626","2,623","2,622","2,617","2,617","2,640","2,634","2,652","2,652","2,645"
"County Jails","1,781","1,342","1,356","1,355","1,359","1,372","1,372","1,372","1,372","1,369","1,326","1,289","1,289","1,274","1,274","1328"
"COMMUNITY WORK CENTERS","1,188","784","797","789","787","790","801","799","799","802","801","801","800","747","746","786"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","58","59","60","60","62","59","58","58","60","60","60","59","61","61","60"
"George Satellite Facility","102","60","68","69","69","69","68","68","68","68","68","68","68","67","67","63"
"Harrison Satellite Facility","102","47","53","53","52","56","56","56","56","56","56","56","56","56","56","51"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","24","20","19","19","20","39","39","39","39","38","38","36","36","35","30"
"Leflore TVC Support","20","19","20","19","20","20","20","20","20","20","20","20","20","19","19","19"
"Madison Satellite Facility","62","58","59","59","62","61","61","61","61","61","61","61","61","60","60","61"
"Noxubee Satellite Facility","58","52","51","51","50","50","50","50","50","50","50","50","50","50","50","51"
"Pike Satellite Facility","93","83","85","85","86","80","80","80","80","80","80","80","80","80","80","80"
"Quitman Satellite Facility","93","45","45","43","42","46","46","45","45","46","46","46","45","45","45","46"
"Rankin Satellite Facility","178","145","146","145","145","144","143","143","143","143","143","143","144","142","142","146"
"Rankin RID","28","24","24","24","24","24","24","24","24","24","24","24","28","28","28","24"
"Flowood TVC","50","14","12","12","11","11","14","14","14","14","14","14","14","14","14","16"
"Simpson TVC","82","44","44","42","40","40","40","40","40","40","40","40","39","0","0","32"
"Simpson TVC Support","20","10","10","10","10","10","10","10","10","10","10","10","10","0","0","10"
"Washington Satellite Facility","60","51","52","53","52","52","43","43","43","43","43","43","43","43","43","50"
"Wilkinson Satellite Facility","62","50","49","45","45","45","48","48","48","48","48","48","47","46","46","47"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,352","4,336","4,343","4,341","4,339","4,323","4,319","4,318","4,308","4,302","4,305","4,309","4,289","4,284","4,328"
"Alcorn County","300","294","292","291","291","293","294","294","294","293","293","293","293","292","292","295"
"Bolivar County","369","288","288","293","292","288","287","286","286","284","284","292","292","290","290","290"
"Carroll County","280","271","271","277","276","275","275","275","275","274","274","274","273","270","270","274"
"Chickasaw County","310","308","308","308","310","310","307","307","306","305","303","303","302","302","302","306"
"George County","342","337","336","336","332","336","336","336","336","335","335","333","333","333","330","336"
"Holmes County","280","280","277","276","276","279","279","279","279","279","278","278","278","277","276","278"
"Issaquena County","274","272","269","268","272","271","270","270","270","270","269","269","267","265","265","272"
"Jefferson County","280","280","279","279","280","280","279","279","279","279","278","277","277","277","277","277"
"Kemper County","355","351","349","349","347","346","337","337","337","336","336","335","335","335","335","345"
"Leake County","280","277","275","275","277","277","276","276","276","276","276","274","274","271","271","274"
"Marion County","280","280","279","280","280","280","280","279","279","279","279","279","278","279","279","279"
"Stone County","326","324","324","324","326","326","326","326","326","326","326","326","326","324","323","323"
"Washington County","300","211","211","210","208","208","208","208","208","208","207","207","205","205","205","212"
"Winston County","280","280","280","279","277","275","274","272","272","270","270","270","277","271","271","273"
