"Location","Capacity","19-Jul-10","20-Jul-10","21-Jul-10","22-Jul-10","23-Jul-10","24-Jul-10","25-Jul-10","26-Jul-10","27-Jul-10"
"Mississippi State Penitentiary","4,435","3,433","3,441","3,437","3,452","3,440","3,434","3,433","3,444","3,441"
"Central Mississippi Correctional Facility","3,449","3,271","3,276","3,300","3,293","3,304","3,301","3,301","3,283","3,313"
"South Mississippi Correctional Institution","3,204","3,166","3,174","3,178","3,170","3,175","3,175","3,174","3,173","3,171"
"County Jails","1,481","1,614","1,597","1,573","1,562","1,559","1,559","1,559","1,568","1,538"
"COMMUNITY WORK CENTERS","1,848","1,618","1,618","1,613","1,621","1,597","1,594","1,592","1,635","1,636"
"Alcorn Satellite Facility","92","80","81","81","81","75","75","75","80","79"
"Bolivar Satellite Facility","102","77","79","79","79","84","84","84","86","86"
"Forrest Satellite Facility","96","71","71","70","70","66","66","66","68","68"
"George Satellite Facility","102","95","94","95","95","96","96","96","96","95"
"Harrison Satellite Facility","102","76","80","80","81","78","78","78","82","84"
"Jackson Satellite Facility","102","90","90","90","90","88","88","88","90","93"
"Jefferson Satellite Facility","102","90","90","90","90","93","93","93","93","93"
"Leflore Satellite Facility","102","94","91","87","86","84","84","83","83","83"
"Madison Satellite Facility","102","96","95","93","98","94","94","94","96","96"
"Noxubee Satellite Facility","92","88","87","87","87","81","81","81","85","85"
"Pike Satellite Facility","93","78","79","83","85","85","85","85","91","91"
"Quitman Satellite Facility","93","90","89","89","92","91","91","90","90","90"
"Rankin Satellite Facility","260","225","225","227","227","228","227","228","231","230"
"Simpson Satellite Facility","102","96","96","93","94","94","94","93","97","97"
"Washington Satellite Facility","102","89","89","88","88","83","82","82","88","88"
"Wilkinson Satellite Facility","102","86","85","84","84","84","84","84","87","87"
"Yazoo Satellite Facility","102","97","97","97","94","93","92","92","92","91"
"REGIONAL CORRECTIONAL FACILITIES","3,138","2,519","2,519","2,523","2,520","2,517","2,513","2,510","2,517","2,519"
"Bolivar County","294","235","235","235","233","232","231","231","233","233"
"Carroll County","280","222","224","224","224","225","224","224","224","224"
"George County","280","224","224","224","224","224","224","223","223","222"
"Holmes County","280","224","224","224","224","224","223","223","224","224"
"Issaquena County","274","219","219","219","219","218","218","218","220","220"
"Jefferson County","280","223","223","224","224","224","224","224","224","224"
"Kemper County","330","277","276","277","277","275","275","275","277","277"
"Leake County","280","224","223","225","225","225","225","225","225","225"
"Marion County","280","223","223","223","223","224","223","223","222","223"
"Stone County","280","224","224","224","223","224","224","223","223","224"
"Winston County","280","224","224","224","224","222","222","221","222","223"
"PRIVATE PRISONS","5,972","5,310","5,306","5,304","5,311","5,307","5,303","5,301","5,302","5,307"
"Delta","972","903","901","900","902","902","901","901","900","900"
"East Mississippi","1,500","1,362","1,361","1,361","1,357","1,357","1,356","1,355","1,359","1,359"
"Marshall County","1,000","899","899","899","905","904","903","902","900","899"
"Walnut Grove","1,500","1,194","1,191","1,190","1,194","1,191","1,191","1,191","1,193","1,199"
"Wilkinson County","1,000","952","954","954","953","953","952","952","950","950"
"RESTITUTION CENTERS","16","9","9","11","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","4","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","4","8","6","52","55","52","11","10"
"TOTALS","23,549","20,952","20,950","20,953","20,953","20,969","20,952","20,940","20,951","20,953"
