"Location","Capacity","14-Jun-04","15-Jun-04","16-Jun-04","17-Jun-04","18-Jun-04","19-Jun-04","20-Jun-04","21-Jun-04","22-Jun-04","23-Jun-04","24-Jun-04","25-Jun-04","26-Jun-04"
"MS STATE PENITENTIARY    (See Note Below)","5,024","4,859","4,884","4,870","4,875","4,881","4,881","4,879","4,900","4,887","4,896","4,913","4,908","4,908"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,189","3,156","3,154","3,140","3,150","3,149","3,148","3,168","3,170","3,183","3,174","3,184","3,184"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,192","2,189","2,199","2,199","2,179","2,178","2,178","2,177","2,189","2,187","2,185","2,192","2,191"
"COUNTY JAILS","2,224","2,194","2,213","2,200","2,216","2,202","2,202","2,202","2,176","2,157","2,166","2,142","2,122","2,122"
"COMMUNITY WORK CENTERS","1,816","1,727","1,730","1,738","1,741","1,672","1,670","1,669","1,734","1,756","1,751","1,746","1,693","1,692"
"Alcorn Satellite Facility","92","90","91","91","91","90","90","90","89","90","90","90","89","89"
"Bolivar Satellite Facility","102","99","99","99","99","91","91","91","98","102","102","102","96","96"
"Forrest Satellite Facility","96","95","95","95","96","88","88","88","95","95","94","94","91","90"
"George Satellite Facility","102","100","100","100","100","97","97","96","100","102","102","102","95","95"
"Harrison Satellite Facility","102","96","96","98","98","99","98","98","100","100","100","98","93","93"
"Jackson Satellite Facility","102","99","99","99","99","101","101","101","102","102","100","99","98","98"
"Jefferson Satellite Facility","102","97","97","97","97","94","94","94","97","97","97","97","95","95"
"Leflore Satellite Facility","102","100","98","100","100","95","95","95","100","102","102","102","98","98"
"Madison Satellite Facility","102","101","102","102","102","97","97","97","102","101","102","102","100","100"
"Noxubee Satellite Facility","92","91","91","92","92","88","88","88","92","92","92","92","88","88"
"Pike Satellite Facility","93","69","69","69","69","66","66","66","69","69","73","72","68","68"
"Quitman Satellite Facility","93","90","90","90","90","81","81","81","85","84","84","84","82","82"
"Rankin Satellite Facility","228","212","210","214","214","212","212","212","215","220","216","216","213","213"
"Simpson Satellite Facility","102","95","102","102","102","96","96","96","102","102","101","101","100","100"
"Washington Satellite Facility","102","95","93","93","93","86","86","86","92","97","96","96","90","90"
"Wilkinson Satellite Facility","102","97","97","97","97","95","95","95","97","99","98","97","96","96"
"Yazoo Satellite Facility","102","101","101","100","102","96","95","95","99","102","102","102","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,743","2,742","2,742","2,745","2,744","2,743","2,743","2,743","2,745","2,746","2,746","2,748","2,748"
"Bolivar County","250","249","249","250","250","250","250","250","250","250","250","250","250","250"
"Carroll County","250","248","250","250","250","250","250","250","250","250","250","250","250","250"
"George County","250","249","248","248","248","248","248","248","248","248","249","249","250","250"
"Holmes County","250","249","248","247","250","249","248","248","250","249","249","250","250","250"
"Issaquena County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Jefferson County","250","249","249","250","250","250","250","250","249","249","249","250","250","250"
"Kemper County","250","250","250","250","250","249","249","249","249","250","250","249","250","250"
"Leake County","250","249","249","247","247","248","248","248","247","249","249","248","248","248"
"Marion County","250","250","249","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","4,950","4,363","4,367","4,370","4,398","4,389","4,389","4,388","4,385","4,393","4,388","4,392","4,401","4,401"
"Delta       (Reopened 04-01-04)","950","918","916","914","949","947","947","947","947","947","945","944","948","948"
"East MS","1,000","727","725","725","725","724","724","724","722","722","721","730","728","728"
"Marshall County","1,000","995","993","995","994","992","992","991","992","996","995","994","994","994"
"Walnut Grove                        (See Note Below)","1,000","728","741","742","737","731","731","731","729","733","734","731","736","736"
"Wilkinson County","1,000","995","992","994","993","995","995","995","995","995","993","993","995","995"
"RESITITUTION CENTERS","24","16","16","16","16","15","15","15","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","6","6","6","6","5","5","5","6","6","6","6","6","6"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","6","6","5","5","8","9","9","8","9","6","49","50"
"TOTALS","22,241","21,292","21,308","21,300","21,340","21,242","21,240","21,236","21,313","21,326","21,347","21,325","21,318","21,317"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","14-Jun-04","15-Jun-04","16-Jun-04","17-Jun-04","18-Jun-04","19-Jun-04","20-Jun-04","21-Jun-04","22-Jun-04","23-Jun-04","24-Jun-04","25-Jun-04","26-Jun-04"
