"Location","Capacity","","19-May-12 20-May-12 21-May-12 22-May-12 23-May-12 24-May-12 25-May-12 26-May-12 27-May-12","","","","","","",""
"Mississippi State Penitentiary","4,648","3,297","3,295","3,288","3,291","3,281","3,290","3,290","3,291","3,292"
"Central Mississippi Correctional Facility","3,665","3,065","3,063","3,071","3,096","3,115","3,101","3,106","3,102","3,104"
"South Mississippi Correctional Institution","3,282","3,168","3,167","3,172","3,170","3,167","3,168","3,159","3,156","3,156"
"County Jails","1,753","2,156","2,156","2,148","2,101","2,080","2,100","2,121","2,121","2,121"
"COMMUNITY WORK CENTERS","1,848","1,570","1,570","1,626","1,583","1,579","1,581","1,576","1,576","1,566"
"Alcorn Satellite Facility","92","88","88","89","91","92","92","92","92","90"
"Bolivar Satellite Facility","102","89","89","92","89","88","88","86","86","86"
"Forrest Satellite Facility","96","76","76","83","81","80","80","77","77","74"
"George Satellite Facility","102","89","89","93","91","90","89","92","92","92"
"Harrison Satellite Facility","102","87","87","92","91","90","91","89","89","89"
"Jackson Satellite Facility","102","84","84","90","86","85","85","83","83","83"
"Jefferson Satellite Facility","102","79","79","81","80","79","79","85","85","85"
"Leflore Satellite Facility","102","88","88","92","92","90","89","91","91","91"
"Madison Satellite Facility","102","90","89","91","91","92","92","93","93","93"
"Noxubee Satellite Facility","92","71","71","81","76","75","75","79","79","78"
"Pike Satellite Facility","93","92","93","93","91","91","92","91","91","90"
"Quitman Satellite Facility","93","91","91","93","93","93","92","84","84","83"
"Rankin Satellite Facility","260","204","204","209","194","193","196","194","194","192"
"Simpson Satellite Facility","102","99","99","98","95","97","99","95","95","95"
"Washington Satellite Facility","102","89","89","88","86","86","86","88","88","88"
"Wilkinson Satellite Facility","102","72","72","74","71","71","70","70","70","70"
"Yazoo Satellite Facility","102","82","82","87","85","87","86","87","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,270","4,268","4,272","4,272","4,276","4,274","4,272","4,272","4,268"
"Alcorn County","300","300","300","300","300","299","298","298","298","298"
"Bolivar County","294","292","292","291","291","291","294","293","293","293"
"Carroll County","280","278","278","277","278","279","280","280","280","280"
"Chickasaw County","300","300","300","299","300","299","300","300","300","299"
"George County","280","280","279","280","279","280","278","278","278","278"
"Holmes County","280","276","276","280","280","280","280","278","278","278"
"Issaquena County","274","272","272","271","273","275","275","274","274","274"
"Jefferson County","280","280","280","279","279","280","280","281","281","280"
"Kemper County","355","339","338","340","339","338","337","337","337","337"
"Leake County","280","278","278","278","278","280","279","279","279","279"
"Marion County","280","278","278","279","280","280","280","280","280","280"
"Stone County","280","281","281","281","281","281","281","281","281","281"
"Washington County","300","238","238","238","237","235","233","233","233","233"
"Winston County","280","277","277","280","280","279","278","278","278","278"
"Yazoo County","300","301","301","299","297","300","301","302","302","300"
"PRIVATE PRISONS","5,972","4,289","4,288","4,291","4,292","4,290","4,291","4,290","4,290","4,287"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,360","1,360","1,358","1,359","1,359","1,360","1,361","1,361","1,360"
"Marshall County","1,000","987","987","986","987","986","986","986","986","986"
"Walnut Grove","1,500","1,040","1,040","1,041","1,041","1,040","1,039","1,039","1,039","1,038"
"Wilkinson County","1,000","902","901","906","905","905","906","904","904","903"
"RESTITUTION CENTERS","16","11","11","11","12","12","12","12","12","13"
"Greenwood","6","5","5","5","5","5","5","5","5","6"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","70","71","9","6","6","8","7","7","6"
"TOTALS","25,553","21,896","21,889","21,888","21,823","21,806","21,825","21,833","21,827","21,813"
"","","","19-May-12 20-May-12 21-May-12 22-May-12 23-May-12 24-May-12 25-May-12 26-May-12 27-May-12","","","","","","",""
