"Location","Capacity","1-Jun-17","","2-Jun-17","3-Jun-17","4-Jun-17","5-Jun-17","6-Jun-17","7-Jun-17","8-Jun-17","9-Jun-17","10-Jun-17"
"Mississippi State Penitentiary","3590","3312","3326","3324","3324","3304","3316","3315","3309","3299","3296"
"Central Mississippi Correctional Facility","3,710","3,337","3,271","3,271","3,270","3,301","3,306","3,318","3,315","3,316","3,315"
"Youthful Offender Unit","58","31","31","31","31","31","32","32","32","32","32"
"CMCF TVC","","8","9","9","10","10","10","9","11","7","7"
"South Mississippi Correctional Institution","3,082","2,988","2,988","2,988","2,987","2,994","2,992","3,002","3,010","3,002","2,998"
"County Jails","1,781","1,334","1,369","1,369","1,369","1,385","1,388","1,401","1,394","1,388","1,388"
"COMMUNITY WORK CENTERS","1,348","948","952","948","948","943","936","932","949","955","953"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","69","69","69","69","67","67","67","67","66","66"
"George Satellite Facility","102","90","87","87","87","86","85","84","86","82","82"
"Harrison Satellite Facility","102","71","69","69","69","67","67","67","65","63","63"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","66","78","76","76","74","70","65","63","73","72"
"Leflore TVC Support","20","11","9","9","9","11","12","13","13","13","13"
"Madison Satellite Facility","102","61","61","61","61","60","59","62","62","62","62"
"Noxubee Satellite Facility","92","53","51","51","51","53","53","53","53","51","51"
"Pike Satellite Facility","93","79","79","79","79","77","76","76","77","77","77"
"Quitman Satellite Facility","93","64","64","64","64","65","65","65","62","59","59"
"Rankin Satellite Facility","182","157","151","151","151","155","155","155","171","170","170"
"Rankin RID","28","8","8","8","8","8","8","8","9","9","9"
"Flowood TVC","50","26","26","25","25","21","20","19","20","26","26"
"Simpson TVC","82","67","79","78","78","76","76","75","73","78","77"
"Simpson TVC Support","20","13","13","13","13","13","13","13","13","12","12"
"Washington Satellite Facility","102","56","55","55","55","54","54","54","60","59","59"
"Wilkinson Satellite Facility","102","57","53","53","53","56","56","56","55","55","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,775","3,790","3,788","3,787","3,791","3,791","3,790","3,788","3,799","3,798"
"Alcorn County","300","239","239","239","239","238","238","240","240","240","240"
"Bolivar County","369","289","289","289","289","294","292","292","292","294","294"
"Carroll County","280","256","255","255","255","255","255","255","253","253","252"
"Chickasaw County","310","286","286","286","286","286","285","283","286","286","286"
"George County","280","223","222","222","221","220","223","226","224","225","225"
"Holmes County","280","219","224","224","224","223","221","221","224","224","224"
"Issaquena County","274","273","273","273","273","273","274","274","274","274","274"
"Jefferson County","280","278","277","277","277","279","274","275","274","279","279"
"Kemper County","355","348","352","352","352","352","352","350","348","352","352"
"Leake County","280","200","200","200","200","200","199","196","196","198","198"
"Marion County","280","223","224","222","222","224","223","223","224","224","224"
"Stone County","326","258","262","262","262","262","262","262","262","262","262"
"Washington County","300","230","230","230","230","230","230","229","227","226","226"
"Winston County","280","222","223","223","223","221","223","223","223","223","223"
"Yazoo County","300","231","234","234","234","234","240","241","241","239","239"
"PRIVATE PRISONS","5,972","3,045","3,050","3,050","3,050","3,047","3,045","3,049","3,047","3,043","3,039"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,186","1,182","1,182","1,182","1,180","1,179","1,178","1,174","1,174","1,175"
"Marshall County","1,000","992","997","997","997","997","998","998","1,000","999","995"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","867","871","871","871","870","868","873","873","870","869"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","53","59","59","59","55","52","52","47","47","47"
"Madison","40","12","14","14","14","14","14","14","8","8","8"
"Noxubee","34","23","26","26","26","22","21","21","23","22","22"
"Rankin/Flowood","8","4","4","4","4","4","4","4","4","5","5"
"Washington","42","12","12","12","12","12","10","10","10","10","10"
"Wilkinson","40","2","3","3","3","3","3","3","2","2","2"
"TOTALS","24,215","18,843","18,857","18,849","18,847","18,873","18,880","18,912","18,914","18,899","18,884"
