"Location","Capacity","11-Nov-02","12-Nov-02","13-Nov-02","14-Nov-02","15-Nov-02","16-Nov-02","17-Nov-02","18-Nov-02","19-Nov-02","20-Nov-02"
"MS STATE PENITENTIARY","5,551","5,353","5,333","5,350","5,359","5,355","5,353","5,353","5,357","5,368","5,363"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,051","3,067","3,070","3,105","3,098","3,096","3,096","3,116","3,103","3,119"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,049","2,037","2,041","2,036","2,039","2,038","2,037","2,035","2,052","2,064"
"COUNTY JAILS","2,113","1,989","2,026","2,052","2,036","2,034","2,034","2,034","2,040","2,058","2,038"
"COMMUNITY WORK CENTERS","1,350","1,286","1,288","1,286","1,285","1,268","1,264","1,264","1,303","1,296","1,293"
"Alcorn Satellite Facility","75","74","75","75","75","75","75","75","75","75","75"
"Bolivar Satellite Facility","75","73","74","73","71","68","68","68","71","71","71"
"Forrest Satellite Facility","75","73","73","73","73","75","73","73","75","75","75"
"George Satellite Facility","75","74","73","73","73","73","73","73","75","74","74"
"Harrison Satellite Facility","75","71","71","69","69","67","67","67","72","72","72"
"Jackson Satellite Facility","75","72","72","72","72","69","69","69","75","72","72"
"Jefferson Satellite Facility","75","73","72","73","73","75","75","75","75","75","74"
"Leflore Satellite Facility","75","74","74","74","75","74","74","74","75","74","73"
"Madison Satellite Facility","75","73","74","75","75","75","75","75","75","74","75"
"Noxubee Satellite Facility","75","71","70","70","69","71","71","71","70","70","69"
"Pike Satellite Facility","75","62","62","62","62","62","60","60","64","64","64"
"Quitman Satellite Facility","75","57","59","59","59","56","56","56","58","58","58"
"Rankin Satellite Facility","150","141","141","141","144","149","149","149","148","148","148"
"Simpson Satellite Facility","75","74","74","74","74","70","70","70","74","74","74"
"Washington Satellite Facility","75","75","75","75","73","69","69","69","73","72","72"
"Wilkinson Satellite Facility","75","74","74","73","73","70","70","70","73","73","72"
"Yazoo Satellite Facility","75","75","75","75","75","70","70","70","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,488","2,493","2,485","2,489","2,494","2,493","2,491","2,489","2,485","2,484"
"Bolivar County","250","227","227","227","227","226","226","226","225","225","225"
"Carroll County","250","229","229","229","229","229","229","229","229","228","228"
"George County (opened on May 10th)","250","224","227","227","226","226","226","226","226","226","226"
"Holmes County","250","226","226","222","222","226","226","226","226","226","226"
"Issaquena County","250","226","226","224","226","226","226","225","225","225","224"
"Jefferson County","250","227","227","227","227","227","227","227","227","227","227"
"Kemper County","250","226","226","225","224","224","224","224","224","224","224"
"Leake County","250","225","227","228","228","227","227","226","227","227","227"
"Marion County","250","225","224","224","229","229","229","229","228","228","228"
"Stone County","250","227","227","226","225","228","227","227","227","225","226"
"Winston County","250","226","227","226","226","226","226","226","225","224","223"
"PRIVATE PRISONS","4,750","3,402","3,408","3,416","3,412","3,419","3,420","3,420","3,418","3,423","3,423"
"Delta (Closed)","1,000","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","728","728","728","727","726","727","727","727","727","727"
"Marshall County","1,000","985","981","988","986","986","986","986","985","989","989"
"Walnut Grove","750","710","708","708","708","714","714","714","713","713","714"
"Wilkinson County","1,000","979","991","992","991","993","993","993","993","994","993"
"RESITITUTION CENTERS","24","11","11","11","11","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","4","4","4","5","5","5"
"TOTALS","21,857","19,634","19,668","19,716","19,738","19,722","19,713","19,710","19,774","19,801","19,800"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","11-Nov-02","12-Nov-02","13-Nov-02","14-Nov-02","15-Nov-02","16-Nov-02","17-Nov-02","18-Nov-02","19-Nov-02","20-Nov-02"
