"Location","Capacity","18-Feb-18","19-Feb-18","20-Feb-18","21-Feb-18","22-Feb-18","23-Feb-18","24-Feb-18","25-Feb-18","26-Feb-18","27-Feb-18","28-Feb-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,392","3,391","3,393","3,411","3,409","3,392","3,391","3,391","3,398","3,401","3,394","3,382"
"Central Mississippi Correctional Facility","3,830","3,337","3,339","3,354","3,373","3,392","3,369","3,369","3,369","3,365","3,382","3,368","3,349"
"Youthful Offender Unit","58","24","24","24","24","24","24","24","24","24","24","24","25"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","6"
"South Mississippi Correctional Institution","3,082","2,666","2,666","2,669","2,670","2,663","2,654","2,653","2,653","2,655","2,650","2,659","2,660"
"County Jails","1,781","1,276","1,276","1,250","1,231","1,233","1,245","1,245","1,245","1,265","1,260","1,264","1231"
"COMMUNITY WORK CENTERS","1,188","771","781","788","777","782","795","795","795","791","779","775","778"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","59","61","61","61","61","58","58","58","59","59","58","60"
"George Satellite Facility","102","61","61","60","57","56","55","55","55","56","56","56","61"
"Harrison Satellite Facility","102","49","50","49","49","48","48","48","48","47","46","46","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","23","23","24","24","24","25","25","25","24","24","25","20"
"Leflore TVC Support","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Madison Satellite Facility","62","60","61","60","58","62","61","61","61","62","62","62","61"
"Noxubee Satellite Facility","58","52","54","54","53","53","53","53","53","53","49","49","53"
"Pike Satellite Facility","93","80","80","80","82","84","83","83","83","86","87","86","81"
"Quitman Satellite Facility","93","40","41","41","38","39","42","42","42","43","46","46","42"
"Rankin Satellite Facility","178","141","144","154","154","154","153","153","153","152","151","150","144"
"Rankin RID","28","22","22","22","22","22","22","22","22","22","22","22","22"
"Flowood TVC","50","15","15","15","14","14","23","23","23","22","20","22","15"
"Simpson TVC","82","36","36","36","34","34","45","45","45","38","34","30","40"
"Simpson TVC Support","20","10","10","10","11","11","11","11","11","11","11","11","10"
"Washington Satellite Facility","60","56","56","55","55","55","52","52","52","54","50","50","56"
"Wilkinson Satellite Facility","62","47","47","47","45","45","44","44","44","42","42","42","46"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,349","4,349","4,329","4,332","4,324","4,320","4,320","4,319","4,300","4,308","4,302","4,339"
"Alcorn County","300","293","293","293","292","292","292","292","291","290","289","287","291"
"Bolivar County","369","291","291","290","290","287","292","292","292","289","289","293","291"
"Carroll County","280","280","280","278","276","275","274","274","274","277","276","276","277"
"Chickasaw County","310","306","306","304","304","302","300","300","300","297","300","300","304"
"George County","342","336","336","337","337","336","336","336","336","335","335","334","337"
"Holmes County","280","279","279","279","279","279","278","278","278","277","278","280","279"
"Issaquena County","274","274","274","274","274","274","272","272","272","272","272","272","272"
"Jefferson County","280","277","277","274","275","274","272","272","272","270","269","268","276"
"Kemper County","355","345","345","336","338","339","342","342","342","342","345","344","345"
"Leake County","280","278","278","276","280","280","278","278","278","276","277","274","277"
"Marion County","280","280","280","278","278","278","277","277","277","277","280","280","279"
"Stone County","326","327","327","326","326","327","327","327","327","324","322","320","325"
"Washington County","300","214","214","217","217","217","217","217","217","216","216","216","215"
"Winston County","280","273","273","270","269","268","266","266","266","265","267","266","273"
"Yazoo County","300","296","296","297","297","296","297","297","297","293","293","292","297"
"PRIVATE PRISONS","5,972","3,208","3,205","3,202","3,202","3,204","3,212","3,212","3,211","3,208","3,207","3,207","3,204"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,286","1,284","1,281","1,283","1,279","1,288","1,288","1,288","1,288","1,287","1,281","1284"
"Marshall County","1,000","1,000","999","999","998","998","997","997","997","996","996","999","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","922","922","922","921","927","927","927","926","924","924","927","923"
"RESTITUTION CENTERS","16","11","11","11","12","12","12","12","12","12","12","12","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","5","5","5","5","5","5","5","5","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","38","38","37","39","40","40","40","40","39","39","39","39"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","3"
"Noxubee","34","24","24","23","25","25","25","25","25","24","24","24","24"
"Rankin/Flowood","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","4","4","4","4","5","5","5","5","5","5","5","5"
"TOTALS","24,237","19,072","19,080","19,057","19,071","19,083","19,063","19,061","19,059","19,057","19,062","19,044","19,024"
