"Location","Capacity","25-Aug-03","26-Aug-03","27-Aug-03","28-Aug-03","29-Aug-03","30-Aug-03","31-Aug-03"
"MS STATE PENITENTIARY","5,768","5,710","5,705","5,723","5,714","5,690","5,686","5,684"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,019","3,025","3,025","3,023","3,051","3,053","3,052"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,119","2,150","2,145","2,166","2,156","2,156","2,155"
"COUNTY JAILS","2,176","2,018","2,025","2,037","2,036","2,028","2,028","2,028"
"COMMUNITY WORK CENTERS","1,816","1,459","1,452","1,454","1,458","1,460","1,458","1,456"
"Alcorn Satellite Facility","92","87","86","86","86","86","86","86"
"Bolivar Satellite Facility","102","67","69","69","69","69","69","69"
"Forrest Satellite Facility","96","96","94","96","96","96","96","96"
"George Satellite Facility","102","88","88","87","86","87","87","87"
"Harrison Satellite Facility","102","75","75","75","75","75","75","75"
"Jackson Satellite Facility","102","74","71","71","71","71","71","71"
"Jefferson Satellite Facility","102","78","78","78","81","81","81","81"
"Leflore Satellite Facility","102","90","88","88","87","87","87","87"
"Madison Satellite Facility","102","88","88","87","87","90","90","89"
"Noxubee Satellite Facility","92","71","71","71","71","71","71","71"
"Pike Satellite Facility","93","49","49","49","52","52","52","52"
"Quitman Satellite Facility","93","58","58","56","56","54","54","54"
"Rankin Satellite Facility","228","210","209","213","213","211","211","210"
"Simpson Satellite Facility","102","91","91","92","91","91","91","91"
"Washington Satellite Facility","102","88","88","88","88","88","87","87"
"Wilkinson Satellite Facility","102","54","54","54","54","54","54","54"
"Yazoo Satellite Facility","102","95","95","94","95","97","96","96"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,570","2,568","2,583","2,582","2,585","2,584","2,584"
"Bolivar County","250","233","234","234","234","237","236","236"
"Carroll County","250","235","233","235","235","235","235","235"
"George County (opened on May 10th)","250","233","233","235","235","234","234","234"
"Holmes County","250","235","235","235","235","235","235","235"
"Issaquena County","250","235","235","235","235","235","235","235"
"Jefferson County","250","235","235","235","235","234","234","234"
"Kemper County","250","229","229","234","233","234","234","234"
"Leake County","250","233","232","235","235","235","235","235"
"Marion County","250","234","234","235","235","236","236","236"
"Stone County","250","235","235","235","235","235","235","235"
"Winston County","250","233","233","235","235","235","235","235"
"PRIVATE PRISONS","3,750","3,449","3,441","3,438","3,447","3,465","3,463","3,463"
"East MS","1,000","723","723","722","722","732","732","732"
"Marshall County","1,000","990","989","987","995","992","992","992"
"Walnut Grove","750","744","740","740","740","745","745","745"
"Wilkinson County","1,000","992","989","989","990","996","994","994"
"RESITITUTION CENTERS","24","19","19","19","19","19","19","19"
"Greenwood","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11"
"Pascagoula","6","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6"
"E-CODE","","5","3","6","6","6","6","4"
"TOTALS","21,737","20,374","20,394","20,436","20,457","20,466","20,459","20,451"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","25-Aug-03","26-Aug-03","27-Aug-03","28-Aug-03","29-Aug-03","30-Aug-03","31-Aug-03"
