"Location","Capacity","18-Jun-18","19-Jun-18","20-Jun-18","21-Jun-18","22-Jun-18","23-Jun-18","24-Jun-18","25-Jun-18","26-Jun-18","27-Jun-18","28-Jun-18","29-Jun-18","","30-Jun-18 Avg Population"
"Mississippi State Penitentiary","3,590","3,425","3,427","3,452","3,450","3,447","3,447","3,446","3,441","3,443","3,426","3,417","3,423","3,423","3,433"
"Central Mississippi Correctional Facility","4,022","3,789","3,749","3,725","3,746","3,754","3,755","3,754","3,756","3,760","3,789","3,831","3,841","3,839","3,768"
"Youthful Offender Unit","58","37","37","37","38","38","38","38","38","38","38","37","37","37","37"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,049","3,057","3,049","3,055","3,047","3,046","3,044","3,043","3,051","3,062","3,061","3,039","3,038","3,052"
"County Jails","1,781","1,320","1,337","1,371","1,357","1,362","1,362","1,362","1,331","1,321","1,300","1,279","1,297","1,297","1332"
"COMMUNITY WORK CENTERS","1,512","1,006","1,001","996","992","986","983","979","996","989","981","972","974","971","987"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","81","81","82","84","82","82","82","83","82","82","81","80","80","81"
"Delta TVC","300","252","251","251","248","248","245","241","250","245","239","235","235","232","248"
"Forrest Satellite Facility","96","61","61","61","61","61","61","61","61","62","62","61","61","61","57"
"George Satellite Facility","102","73","73","72","72","72","72","72","71","69","69","69","69","69","69"
"Harrison Satellite Facility","102","47","45","46","46","43","43","43","45","46","46","46","49","49","44"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
