"Area","Capacity","17-Nov-16","18-Nov-16","19-Nov-16","20-Nov-16","21-Nov-16","22-Nov-16","23-Nov-16"
"Mississippi State Penitentiary","3,590","3,289","3,285","3,284","3,284","3,354","3,386","3,373"
"Central Mississippi Correctional Facility","3,858","3,278","3,245","3,248","3,249","3,219","3,266","3,246"
"Youthful Offender Unit","58","31","32","32","32","32","32","32"
"CMCF TVC","","19","20","20","20","23","8","4"
"South Mississippi Correctional Institution","3,082","2,975","2,969","2,969","2,969","2,970","2,978","2,980"
"County Jails","1,781","1,199","1,184","1,184","1,184","1,185","1,147","1,179"
"COMMUNITY WORK CENTERS","1,348","928","933","930","921","916","914","906"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","68","68","68","68","68","68","68"
"George Satellite Facility","102","78","78","78","78","78","78","78"
"Harrison Satellite Facility","102","49","49","49","49","50","50","50"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0"
"Leflore TVC","82","57","64","63","56","51","48","45"
"Leflore TVC Support","20","14","14","14","13","13","13","12"
"Madison Satellite Facility","102","74","73","73","73","73","72","73"
"Noxubee Satellite Facility","92","70","70","70","70","70","70","69"
"Pike Satellite Facility","93","86","85","85","85","84","84","84"
"Quitman Satellite Facility","93","57","57","56","56","57","57","58"
"Rankin Satellite Facility","182","151","149","148","148","149","150","150"
"Rankin RID","28","3","3","3","3","3","3","3"
"Flowood TVC","50","19","20","20","20","19","19","17"
"Simpson TVC","82","63","64","64","63","62","60","58"
"Simpson TVC Support","20","13","13","13","13","13","13","12"
"Washington Satellite Facility","102","62","62","62","62","62","65","65"
"Wilkinson Satellite Facility","102","64","64","64","64","64","64","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,199","4,232","4,229","4,226","4,181","4,149","4,146"
"Alcorn County","300","299","299","299","299","299","275","275"
"Bolivar County","369","293","294","293","293","282","282","282"
"Carroll County","280","270","271","270","270","256","256","254"
"Chickasaw County","300","309","310","309","309","309","309","310"
"George County","280","276","278","278","278","277","272","270"
"Holmes County","280","280","277","277","276","264","264","264"
"Issaquena County","274","272","272","272","271","258","256","254"
"Jefferson County","280","277","279","279","279","276","274","277"
"Kemper County","355","339","350","350","350","351","351","352"
"Leake County","280","192","195","195","195","195","199","200"
"Marion County","280","277","280","280","279","279","279","278"
"Stone County","280","324","324","324","324","327","327","327"
"Washington County","300","219","229","229","229","229","229","229"
"Winston County","280","279","278","278","278","277","279","276"
"Yazoo County","300","293","296","296","296","302","297","298"
"PRIVATE PRISONS","5,972","3,060","3,058","3,057","3,058","3,049","3,052","3,046"
"Delta","972","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,162","1,160","1,159","1,160","1,155","1,155","1,154"
"Marshall County","1,000","998","998","998","998","996","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0"
"Wilkinson County","1,000","900","900","900","900","898","899","895"
"RESTITUTION CENTERS","16","12","13","13","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5"
"Hinds","6","5","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2"
"TOTALS","24,143","18,990","18,971","18,966","18,956","18,942","18,945","18,925"
"","","17-Nov-16","18-Nov-16","19-Nov-16","20-Nov-16","21-Nov-16","22-Nov-16","23-Nov-16"
