"Location","Capacity","1-Oct-03","2-Oct-03","3-Oct-03","4-Oct-03","5-Oct-03","6-Oct-03","7-Oct-03","8-Oct-03","9-Oct-03","10-Oct-03","11-Oct-03","12-Oct-03","13-Oct-03"
"MS STATE PENITENTIARY","5,768","5,691","5,706","5,687","5,687","5,687","5,694","5,677","5,691","5,695","5,699","5,698","5,696","5,690"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,152","3,147","3,181","3,180","3,182","3,197","3,153","3,159","3,163","3,159","3,158","3,158","3,157"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,125","2,123","2,108","2,109","2,108","2,103","2,125","2,115","2,127","2,111","2,112","2,109","2,135"
"COUNTY JAILS","2,176","1,927","1,930","1,913","1,913","1,913","1,901","1,934","1,952","1,966","1,956","1,956","1,956","1,963"
"COMMUNITY WORK CENTERS","1,816","1,505","1,505","1,477","1,475","1,474","1,513","1,552","1,553","1,548","1,509","1,506","1,506","1,535"
"Alcorn Satellite Facility","92","80","80","77","77","77","78","86","86","86","84","84","84","87"
"Bolivar Satellite Facility","102","72","72","71","71","71","75","77","76","76","72","72","72","75"
"Forrest Satellite Facility","96","95","94","92","90","90","92","92","90","89","87","87","87","87"
"George Satellite Facility","102","92","91","88","88","88","87","92","92","92","89","87","87","90"
"Harrison Satellite Facility","102","71","70","69","69","69","70","70","70","70","68","68","68","66"
"Jackson Satellite Facility","102","72","72","71","71","71","72","73","73","73","71","71","71","73"
"Jefferson Satellite Facility","102","91","90","88","88","88","93","93","93","92","90","90","90","90"
"Leflore Satellite Facility","102","88","88","86","86","86","87","96","97","97","90","90","90","97"
"Madison Satellite Facility","102","88","91","89","89","88","90","97","97","97","99","99","99","101"
"Noxubee Satellite Facility","92","92","92","88","87","87","91","90","90","90","89","89","89","90"
"Pike Satellite Facility","93","47","47","48","48","48","47","46","46","45","44","44","44","47"
"Quitman Satellite Facility","93","60","60","64","64","64","69","77","77","76","73","73","73","75"
"Rankin Satellite Facility","228","219","222","219","220","220","222","219","222","222","219","218","218","220"
"Simpson Satellite Facility","102","94","94","91","91","91","94","96","95","95","94","94","94","94"
"Washington Satellite Facility","102","86","86","81","81","81","83","83","83","83","85","85","85","86"
"Wilkinson Satellite Facility","102","59","58","62","62","62","64","65","65","65","62","62","62","61"
"Yazoo Satellite Facility","102","99","98","93","93","93","99","100","101","100","93","93","93","96"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,571","2,567","2,569","2,568","2,566","2,559","2,567","2,564","2,564","2,565","2,564","2,564","2,563"
"Bolivar County","250","234","232","233","233","233","233","237","233","235","233","233","233","232"
"Carroll County","250","235","233","235","235","235","234","235","235","235","234","234","234","234"
"George County (opened on May 10th)","250","234","234","234","234","234","233","234","233","233","235","235","235","235"
"Holmes County","250","235","235","235","235","233","233","233","235","235","234","234","234","235"
"Issaquena County","250","234","235","235","235","235","233","233","233","235","235","235","235","235"
"Jefferson County","250","228","227","226","226","226","226","224","223","221","220","219","219","219"
"Kemper County","250","234","234","233","233","233","233","235","235","235","235","235","235","234"
"Leake County","250","234","234","234","234","234","234","235","235","234","234","234","234","234"
"Marion County","250","235","235","234","234","234","232","235","235","235","235","235","235","235"
"Stone County","250","235","235","235","235","235","234","231","232","232","236","236","236","236"
"Winston County","250","233","233","235","234","234","234","235","235","234","234","234","234","234"
"PRIVATE PRISONS","3,750","3,458","3,465","3,467","3,467","3,466","3,463","3,458","3,459","3,458","3,455","3,454","3,453","3,450"
"East MS","1,000","729","729","729","729","729","728","728","727","727","731","731","731","730"
"Marshall County","1,000","992","994","994","994","993","992","992","993","992","990","990","989","988"
"Walnut Grove","750","743","750","752","752","752","751","747","748","748","744","744","744","744"
"Wilkinson County","1,000","994","992","992","992","992","992","991","991","991","990","989","989","988"
"RESITITUTION CENTERS","24","16","18","18","18","18","18","18","18","18","16","16","16","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","4","4","4","6"
"Hinds","12","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","2","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","5","7","48","45","44","2","2","2","2","44","45","45","4"
"TOTALS","21,737","20,456","20,474","20,474","20,468","20,464","20,456","20,492","20,519","20,547","20,520","20,515","20,509","20,521"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","1-Oct-03","2-Oct-03","3-Oct-03","4-Oct-03","5-Oct-03","6-Oct-03","7-Oct-03","8-Oct-03","9-Oct-03","10-Oct-03","11-Oct-03","12-Oct-03","13-Oct-03"
