"Location","Capacity","27-Nov-03","28-Nov-03","29-Nov-03","30-Nov-03"
"MS STATE PENITENTIARY","5,768","5,654","5,647","5,646","5,645"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,105","3,107","3,107","3,105"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,104","2,104","2,104","2,102"
"COUNTY JAILS","2,176","1,958","1,960","1,960","1,960"
"COMMUNITY WORK CENTERS","1,816","1,494","1,494","1,493","1,492"
"Alcorn Satellite Facility","92","89","89","89","89"
"Bolivar Satellite Facility","102","69","69","69","69"
"Forrest Satellite Facility","96","93","93","93","93"
"George Satellite Facility","102","70","70","70","70"
"Harrison Satellite Facility","102","64","64","64","64"
"Jackson Satellite Facility","102","72","72","72","72"
"Jefferson Satellite Facility","102","75","75","74","74"
"Leflore Satellite Facility","102","99","99","99","99"
"Madison Satellite Facility","102","102","102","102","102"
"Noxubee Satellite Facility","92","90","90","90","90"
"Pike Satellite Facility","93","40","40","40","40"
"Quitman Satellite Facility","93","68","68","68","68"
"Rankin Satellite Facility","228","213","213","213","212"
"Simpson Satellite Facility","102","93","93","93","93"
"Washington Satellite Facility","102","85","85","85","85"
"Wilkinson Satellite Facility","102","72","72","72","72"
"Yazoo Satellite Facility","102","100","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,746","2,746","2,745"
"Bolivar County","250","250","250","250","250"
"Carroll County","250","249","249","249","249"
"George County (opened on May 10th)","250","248","248","248","248"
"Holmes County","250","250","250","250","250"
"Issaquena County","250","249","249","249","248"
"Jefferson County","250","250","250","250","250"
"Kemper County","250","250","250","250","250"
"Leake County","250","250","250","250","250"
"Marion County","250","250","250","250","250"
"Stone County","250","250","250","250","250"
"Winston County","250","250","250","250","250"
"PRIVATE PRISONS","3,750","3,436","3,434","3,432","3,432"
"East MS","1,000","728","728","728","728"
"Marshall County","1,000","992","991","991","991"
"Walnut Grove","750","725","725","724","724"
"Wilkinson County","1,000","991","990","989","989"
"RESITITUTION CENTERS","24","16","16","16","16"
"Greenwood","6","6","6","6","6"
"Hinds","12","7","7","7","7"
"Pascagoula","6","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6"
"E-CODE","","7","3","2","3"
"TOTALS","21,737","20,526","20,517","20,512","20,506"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","27-Nov-03","28-Nov-03","29-Nov-03","30-Nov-03"
