"Location","Capacity","","21-Nov-01 22-Nov-01 23-Nov-01 24-Nov-01 25-Nov-01 26-Nov-01 27-Nov-01 28-Nov-01 29-Nov-01 30-Nov-01","","","","","","","",""
"MS STATE PENITENTIARY","5,551","5,205","5,205","5,200","5,406","5,406","5,369","5,367","5,278","5,211","5,193"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,982","2,982","2,982","2,980","2,981","2,989","3,006","2,984","2,961","2,946"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,105","2,104","2,104","2,104","2,104","2,099","2,091","2,079","2,089","2,086"
"COUNTY JAILS (increased by 15 on 11/2)","2,137","1,693","1,692","1,691","1,692","1,692","1,702","1,726","1,751","1,748","1,731"
"COMMUNITY WORK CENTERS","1,320","1,284","1,283","1,281","1,280","1,280","1,248","1,244","1,248","1,248","1,251"
"Alcorn Satellite Facility","75","74","74","74","74","74","69","73","73","73","73"
"Bolivar Satellite Facility","75","74","74","74","74","74","70","67","66","66","66"
"Forrest Satellite Facility","75","75","75","75","75","75","73","72","72","68","68"
"George Satellite Facility","75","72","72","72","72","72","70","69","71","71","71"
"Harrison Satellite Facility","75","70","70","70","70","70","68","68","69","69","70"
"Jackson Satellite Facility","75","69","68","68","68","68","67","67","67","67","68"
"Jefferson Satellite Facility","75","71","71","71","71","71","72","72","73","73","73"
"Leflore Satellite Facility","75","74","74","74","74","74","69","71","71","70","70"
"Madison Satellite Facility","75","73","73","71","71","71","70","69","70","70","69"
"Noxubee Satellite Facility","75","74","74","74","74","74","73","72","72","72","72"
"Pike Satellite Facility","75","68","68","68","67","67","67","67","67","67","67"
"Quitman Satellite Facility","75","70","70","70","70","70","68","68","67","69","69"
"Rankin Satellite Facility","120","122","122","122","122","122","122","121","120","119","121"
"Simpson Satellite Facility","75","75","75","75","75","75","74","74","73","75","75"
"Washington Satellite Facility","75","75","75","75","75","75","73","73","72","74","74"
"Wilikinson Satellite Facility","75","73","73","73","73","73","72","70","70","70","70"
"Yazoo Satellite Facility","75","75","75","75","75","75","71","71","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,044","2,043","2,042","1,834","1,834","1,828","1,823","1,870","1,931","1,970"
"Bolivar County","250","207","207","207","0","0","0","0","0","0","0"
"Carroll County","250","200","200","200","200","200","199","199","217","216","216"
"Holmes County","250","201","201","201","200","200","200","195","209","216","216"
"Issaquena County","250","199","199","199","199","199","195","195","195","210","210"
"Jefferson County","250","209","209","209","209","209","209","209","207","207","221"
"Kemper County","250","227","227","226","226","226","226","227","227","244","243"
"Leake County","250","199","199","199","199","199","199","199","199","215","216"
"Marion County","250","200","200","200","200","200","199","199","199","206","216"
"Stone County","250","201","200","200","200","200","200","199","199","199","214"
"Winston County","250","201","201","201","201","201","201","201","218","218","218"
"PRIVATE PRISONS","3,900","3,546","3,545","3,545","3,545","3,544","3,532","3,530","3,593","3,611","3,613"
"Delta","1,000","843","843","843","843","843","839","839","859","857","855"
"East MS","500","496","495","495","495","494","494","493","494","492","492"
"Marshall County","1,000","871","871","871","871","871","865","864","881","882","882"
"Walnut Grove","500","444","444","444","444","444","444","444","469","490","494"
"Wilkinson County","900","892","892","892","892","892","890","890","890","890","890"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","20,701","18,882","18,877","18,868","18,864","18,864","18,790","18,810","18,826","18,822","18,813"
"Note:  Capacity @ MSP does not include 61 beds at  Unit 42 (Hospital) & Family Visitation Apts.","","","21-Nov-01 22-Nov-01 23-Nov-01 24-Nov-01 25-Nov-01 26-Nov-01 27-Nov-01 28-Nov-01 29-Nov-01 30-Nov-01","","","","","","","",""
