Location,18-Jul-17,19-Jul-17,20-Jul-17,21-Jul-17,22-Jul-17,23-Jul-17,24-Jul-17,25-Jul-17,26-Jul-17,27-Jul-17,28-Jul-17,29-Jul-17,30-Jul-17,31-Jul-17,Avg Population
Mississippi State Penitentiary,3362,3374,3368,3380,3379,3379,3379,"3,389","3,379","3,376","3,366","3,365","3,364","3,370","3,366"
Central Mississippi Correctional Facility,"3,400","3,386","3,413","3,347","3,347","3,347","3,377","3,383","3,380","3,383","3,349","3,350","3,350","3,327","3,382"
Youthful Offender Unit,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31
CMCF TVC,11,11,11,11,11,11,11,11,11,11,9,9,9,10,10
South Mississippi Correctional Institution,"3,016","3,012","3,014","3,016","3,014","3,015","3,037","3,034","3,041","3,040","3,039","3,036","3,035","3,033","3,011"
County Jails,"1,205","1,208","1,192","1,192","1,192","1,192","1,192","1,194","1,185","1,196","1,235","1,235","1,235","1,264","1,225"
COMMUNITY WORK CENTERS,870,867,864,885,890,883,884,883,881,878,864,862,861,888,873
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,62,61,60,62,62,62,62,62,62,61,58,58,58,61,63
George Satellite Facility,80,81,81,77,77,77,80,79,79,79,76,76,76,77,77
Harrison Satellite Facility,61,60,60,62,62,62,62,62,62,62,60,60,60,62,63
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,59,58,57,69,68,68,68,62,60,58,62,61,60,61,59
Leflore TVC Support,14,14,14,14,14,14,14,16,16,16,16,16,16,16,14
Madison Satellite Facility,62,62,62,60,60,60,60,60,59,59,60,60,60,60,58
Noxubee Satellite Facility,49,49,49,46,46,46,45,45,45,46,43,43,43,46,48
Pike Satellite Facility,79,81,81,75,75,75,76,76,77,76,76,76,76,76,79
Quitman Satellite Facility,47,47,47,45,44,44,44,44,46,48,45,45,45,46,48
Rankin Satellite Facility,170,169,169,165,165,165,162,162,160,160,152,152,152,171,166
Rankin RID,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8
Flowood TVC,15,13,13,15,15,15,15,15,15,14,16,16,16,15,17
Simpson TVC,49,49,49,61,68,61,59,56,57,57,60,59,59,57,54
Simpson TVC Support,10,10,9,19,19,19,19,19,19,18,18,18,18,17,13
Washington Satellite Facility,52,52,52,57,57,57,59,60,59,59,59,59,59,59,54
Wilkinson Satellite Facility,53,53,53,50,50,50,51,57,57,57,55,55,55,54,53
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"3,813","3,828","3,827","3,828","3,827","3,823","3,815","3,816","3,812","3,815","3,819","3,819","3,819","3,822",3804
Alcorn County,240,239,239,239,239,238,238,238,239,240,240,240,240,240,239
Bolivar County,292,291,293,291,291,291,294,293,292,294,294,294,294,294,292
Carroll County,248,249,249,247,247,247,245,246,246,251,251,251,251,256,244
Chickasaw County,270,270,270,270,270,270,270,270,270,269,269,269,269,272,273
George County,273,274,273,273,273,273,273,273,272,275,274,274,274,270,257
Holmes County,221,221,224,224,224,224,224,222,221,220,220,220,220,223,222
Issaquena County,273,273,273,273,273,273,273,273,273,272,271,271,271,271,273
Jefferson County,274,278,278,277,277,277,274,279,279,277,277,277,277,275,278
Kemper County,342,350,349,352,352,352,350,348,348,347,351,351,351,350,350
Leake County,197,200,198,199,199,199,199,199,199,197,200,200,200,200,198
Marion County,224,223,223,223,222,222,222,224,224,223,222,222,222,222,223
Stone County,262,262,262,262,262,261,261,261,260,262,261,261,261,260,262
Washington County,237,237,237,236,236,235,233,232,232,232,230,230,230,230,233
Winston County,221,223,223,224,224,224,223,222,221,220,224,224,224,223,222
Yazoo County,239,238,236,238,238,237,236,236,236,236,235,235,235,236,238
PRIVATE PRISONS,"3,063","3,066","3,065","3,063","3,061","3,061","3,062","3,062","3,068","3,067","3,061","3,061","3,061","3,060","3,058"
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,173","1,174","1,169","1,167","1,165","1,165","1,166","1,166","1,173","1,172","1,169","1,169","1,169","1,168","1,169"
Marshall County,997,"1,002","1,002","1,002","1,002","1,002","1,001","1,001","1,000",999,"1,000","1,000","1,000","1,000","1,000"
Walnut Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,893,890,894,894,894,894,895,895,895,896,892,892,892,892,889
RESTITUTION CENTERS,15,15,14,14,14,14,14,14,14,12,12,12,12,12,14
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Hinds,6,6,6,6,6,6,6,6,6,4,4,4,4,4,6
Pascagoula,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3
TRANSITIONAL HOUSING,42,42,40,40,39,39,39,39,39,39,37,37,37,36,42
Madison,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2
Noxubee,34,34,33,33,33,33,33,33,33,33,31,31,31,31,33
Rankin/Flowood,5,5,5,5,5,5,5,4,4,4,4,4,4,4,6
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,2,2,2,2,1,1,1,1,1,1,1,1,1,0,2
TOTALS,"18,827","18,839","18,838","18,806","18,804","18,794","18,840","18,855","18,840","18,847","18,821","18,816","18,813","18,853","18,816"
