"Location","Capacity","27-May-04","28-May-04","29-May-04","30-May-04","31-May-04"
"MS STATE PENITENTIARY (See note at bottom)","5,396","5,045","5,043","5,043","5,042","5,038"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,149","3,161","3,161","3,159","3,159"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,179","2,165","2,164","2,164","2,165"
"COUNTY JAILS","2,224","2,173","2,168","2,168","2,168","2,173"
"COMMUNITY WORK CENTERS","1,816","1,763","1,754","1,755","1,755","1,757"
"Alcorn Satellite Facility","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","101","101","101","101","101"
"Forrest Satellite Facility","96","96","95","95","95","95"
"George Satellite Facility","102","102","101","101","101","101"
"Harrison Satellite Facility","102","102","101","101","101","101"
"Jackson Satellite Facility","102","102","102","102","102","102"
"Jefferson Satellite Facility","102","100","94","94","94","97"
"Leflore Satellite Facility","102","102","102","102","102","102"
"Madison Satellite Facility","102","100","101","101","101","101"
"Noxubee Satellite Facility","92","91","91","91","91","91"
"Pike Satellite Facility","93","68","68","68","68","68"
"Quitman Satellite Facility","93","86","87","87","87","87"
"Rankin Satellite Facility","228","217","216","217","217","216"
"Simpson Satellite Facility","102","102","101","101","101","101"
"Washington Satellite Facility","102","102","102","102","102","102"
"Wilkinson Satellite Facility","102","99","100","100","100","100"
"Yazoo Satellite Facility","102","101","100","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,745","2,744","2,742","2,742","2,741"
"Bolivar County","250","250","250","249","249","249"
"Carroll County","250","246","250","250","250","250"
"George County","250","250","250","249","249","249"
"Holmes County","250","250","250","250","250","250"
"Issaquena County","250","249","247","247","247","247"
"Jefferson County","250","250","249","249","249","249"
"Kemper County","250","250","249","249","249","249"
"Leake County","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","249"
"Stone County","250","250","249","249","249","249"
"Winston County","250","250","250","250","250","250"
"PRIVATE PRISONS","4,700","4,167","4,176","4,176","4,174","4,174"
"Delta       (Reopened 04-01-04)","950","740","739","739","738","738"
"East MS","1,000","726","725","725","725","725"
"Marshall County","1,000","995","993","993","993","993"
"Walnut Grove","750","712","726","726","726","726"
"Wilkinson County","1,000","994","993","993","992","992"
"RESITITUTION CENTERS","24","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","6","6","6","6","6"
"Pascagoula","6","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","4","7","6","5","0"
"TOTALS","22,363","21,246","21,239","21,236","21,230","21,228"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","27-May-04","28-May-04","29-May-04","30-May-04","31-May-04"
