"Location","Capacity","11-Oct-02","12-Oct-02","13-Oct-02","14-Oct-02","15-Oct-02","16-Oct-02","17-Oct-02","18-Oct-02","19-Oct-02","20-Oct-02"
"MS STATE PENITENTIARY","5,551","5,324","5,323","5,322","5,318","5,331","5,328","5,320","5,336","5,337","5,335"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,099","3,096","3,097","3,078","3,092","3,113","3,134","3,118","3,120","3,120"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,967","1,967","1,967","1,998","1,956","1,954","1,942","1,980","1,978","1,978"
"COUNTY JAILS","2,113","1,775","1,775","1,775","1,767","1,767","1,793","1,805","1,802","1,802","1,802"
"COMMUNITY WORK CENTERS","1,350","1,258","1,257","1,258","1,303","1,302","1,303","1,299","1,250","1,252","1,252"
"Alcorn Satellite Facility","75","66","66","66","73","73","73","73","71","71","71"
"Bolivar Satellite Facility","75","73","73","73","74","74","74","74","72","72","72"
"Forrest Satellite Facility","75","73","73","73","74","74","75","75","72","72","72"
"George Satellite Facility","75","73","73","73","73","73","75","75","71","72","72"
"Harrison Satellite Facility","75","70","70","70","75","75","75","75","74","74","74"
"Jackson Satellite Facility","75","73","73","73","75","75","75","75","71","71","71"
"Jefferson Satellite Facility","75","66","66","66","72","72","71","71","66","66","66"
"Leflore Satellite Facility","75","68","68","68","72","72","72","72","71","71","71"
"Madison Satellite Facility","75","73","73","73","75","75","74","74","69","69","69"
"Noxubee Satellite Facility","75","69","69","69","70","70","70","70","69","69","69"
"Pike Satellite Facility","75","69","68","69","69","69","69","69","66","66","66"
"Quitman Satellite Facility","75","65","65","65","66","65","65","64","64","64","64"
"Rankin Satellite Facility","150","139","139","139","141","141","140","139","136","137","137"
"Simpson Satellite Facility","75","71","71","71","75","75","74","74","69","69","69"
"Washington Satellite Facility","75","65","65","65","70","70","74","74","69","69","69"
"Wilkinson Satellite Facility","75","73","73","73","74","74","72","72","66","66","66"
"Yazoo Satellite Facility","75","72","72","72","75","75","75","73","74","74","74"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,422","2,420","2,420","2,428","2,468","2,473","2,492","2,491","2,491","2,491"
"Bolivar County (re-opened 10-07-02)","250","149","149","149","164","204","204","228","228","228","228"
"Carroll County","250","227","226","226","226","226","224","224","224","224","224"
"George County (opened on May 10th)","250","227","227","227","227","227","227","227","226","226","226"
"Holmes County","250","227","227","227","227","227","226","226","226","226","226"
"Issaquena County","250","221","221","221","220","220","227","226","225","225","225"
"Jefferson County","250","227","227","227","227","227","227","226","226","226","226"
"Kemper County","250","230","230","230","229","229","230","229","230","230","230"
"Leake County","250","230","230","230","229","229","229","228","227","227","227"
"Marion County","250","228","228","228","226","226","226","226","227","227","227"
"Stone County","250","228","227","227","225","225","225","225","225","225","225"
"Winston County","250","228","228","228","228","228","228","227","227","227","227"
"PRIVATE PRISONS","4,750","3,397","3,395","3,395","3,395","3,392","3,396","3,398","3,398","3,396","3,396"
"Delta (closed 10-09-02)","1,000","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","708","707","707","706","705","706","706","704","703","703"
"Marshall County","1,000","991","990","990","989","988","987","990","990","990","990"
"Walnut Grove","750","711","711","711","711","710","710","710","711","711","711"
"Wilkinson County","1,000","987","987","987","989","989","993","992","993","992","992"
"RESITITUTION CENTERS","24","11","11","11","12","12","12","12","11","11","11"
"Greenwood","6","3","3","3","4","4","4","4","3","3","3"
"Hinds","12","7","7","7","7","7","7","7","7","7","7"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","21,857","19,258","19,249","19,250","19,304","19,325","19,377","19,407","19,391","19,392","19,390"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","11-Oct-02","12-Oct-02","13-Oct-02","14-Oct-02","15-Oct-02","16-Oct-02","17-Oct-02","18-Oct-02","19-Oct-02","20-Oct-02"
