"Location","Capacity","1-Nov-01","2-Nov-01","3-Nov-01","4-Nov-01","5-Nov-01","6-Nov-01","7-Nov-01","8-Nov-01","","9-Nov-01 10-Nov-01"
"MS STATE PENITENTIARY","5,551","5,252","5,246","5,244","5,243","5,241","5,240","5,252","5,248","5,236","5,233"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,976","2,943","2,939","2,939","2,961","2,972","2,950","2,942","2,980","2,980"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,115","2,137","2,135","2,134","2,128","2,114","2,114","2,138","2,140","2,140"
"COUNTY JAILS (increased by 15 on 11/2)","2,137","1,628","1,666","1,670","1,670","1,668","1,695","1,697","1,677","1,655","1,655"
"COMMUNITY WORK CENTERS","1,320","1,260","1,252","1,252","1,252","1,269","1,265","1,267","1,265","1,211","1,209"
"Alcorn Satellite Facility","75","74","70","70","70","73","73","73","73","67","67"
"Bolivar Satellite Facility","75","75","72","72","72","75","75","73","71","66","66"
"Forrest Satellite Facility","75","71","73","73","73","74","74","73","72","66","66"
"George Satellite Facility","75","72","71","71","71","70","74","73","73","71","71"
"Harrison Satellite Facility","75","73","73","73","73","73","74","74","74","72","72"
"Jackson Satellite Facility","75","74","74","74","74","74","75","75","74","71","71"
"Jefferson Satellite Facility","75","74","74","74","74","73","74","74","74","73","72"
"Leflore Satellite Facility","75","73","69","69","69","71","70","70","70","64","63"
"Madison Satellite Facility","75","75","75","75","75","75","71","71","75","69","69"
"Noxubee Satellite Facility","75","73","72","72","72","72","72","74","74","71","71"
"Pike Satellite Facility","75","54","60","60","60","67","66","68","67","66","66"
"Quitman Satellite Facility","75","65","65","65","65","64","63","63","62","62","62"
"Rankin Satellite Facility","120","110","111","111","111","114","113","113","113","111","111"
"Simpson Satellite Facility","75","74","73","73","73","74","73","72","72","69","69"
"Washington Satellite Facility","75","74","73","73","73","72","71","74","73","72","72"
"Wilikinson Satellite Facility","75","74","73","73","73","74","74","74","74","70","70"
"Yazoo Satellite Facility","75","75","74","74","74","74","73","73","74","71","71"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,037","2,028","2,027","2,027","2,022","2,038","2,036","2,034","2,034","2,034"
"Bolivar County","250","208","207","207","207","207","208","207","207","207","207"
"Carroll County","250","201","199","199","199","198","199","199","199","199","199"
"Holmes County","250","198","195","195","195","195","200","200","199","199","199"
"Issaquena County","250","199","199","198","198","198","200","200","200","200","200"
"Jefferson County","250","211","211","211","211","208","208","210","210","209","209"
"Kemper County","250","224","223","223","223","222","224","224","224","224","224"
"Leake County","250","199","199","199","199","199","199","199","198","198","198"
"Marion County","250","200","200","200","200","200","200","197","197","197","197"
"Stone County","250","197","196","196","196","196","200","200","200","200","200"
"Winston County","250","200","199","199","199","199","200","200","200","201","201"
"PRIVATE PRISONS","3,900","3,511","3,522","3,521","3,520","3,517","3,516","3,526","3,539","3,537","3,535"
"Delta","1,000","842","842","842","842","842","841","840","839","838","837"
"East MS","500","490","498","497","497","497","497","497","495","495","494"
"Marshall County","1,000","869","869","869","869","866","867","867","871","871","871"
"Walnut Grove","500","418","421","421","421","421","420","425","438","437","437"
"Wilkinson County","900","892","892","892","891","891","891","897","896","896","896"
"RESITITUTION CENTERS","24","18","18","18","18","18","17","18","18","13","13"
"Greenwood","6","6","6","6","6","6","5","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","11","6","6"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","4","4"
"TOTALS","20,701","18,802","18,817","18,811","18,808","18,829","18,862","18,865","18,866","18,810","18,803"
"Note:  Capacity @ MSP does not include 61 beds at  Unit 42 (Hospital) & Family Visitation Apts.","","1-Nov-01","2-Nov-01","3-Nov-01","4-Nov-01","5-Nov-01","6-Nov-01","7-Nov-01","8-Nov-01","","9-Nov-01 10-Nov-01"
