"Location","Capacity","10-May-10","11-May-10","12-May-10","13-May-10","14-May-10","15-May-10","16-May-10","17-May-10","18-May-10"
"Mississippi State Penitentiary","4,435","3,596","3,592","3,595","3,591","3,592","3,591","3,590","3,596","3,599"
"Central Mississippi Correctional Facility","3,449","3,281","3,289","3,294","3,312","3,310","3,310","3,310","3,310","3,275"
"South Mississippi Correctional Institution","3,204","3,108","3,146","3,158","3,156","3,163","3,163","3,163","3,165","3,154"
"County Jails","1,492","1,578","1,547","1,515","1,509","1,493","1,493","1,493","1,494","1,511"
"COMMUNITY WORK CENTERS","1,848","1,581","1,578","1,570","1,586","1,530","1,529","1,529","1,561","1,584"
"Alcorn Satellite Facility","92","60","71","80","84","78","77","77","81","81"
"Bolivar Satellite Facility","102","86","84","82","84","80","80","80","79","79"
"Forrest Satellite Facility","96","77","76","75","84","79","80","81","83","84"
"George Satellite Facility","102","83","83","78","86","78","78","78","84","86"
"Harrison Satellite Facility","102","81","81","76","76","74","74","74","74","78"
"Jackson Satellite Facility","102","80","80","76","75","71","71","71","74","80"
"Jefferson Satellite Facility","102","100","100","98","97","90","90","89","93","92"
"Leflore Satellite Facility","102","71","71","71","68","64","64","64","68","75"
"Madison Satellite Facility","102","97","95","94","94","93","93","93","96","101"
"Noxubee Satellite Facility","92","86","83","83","83","85","85","85","85","85"
"Pike Satellite Facility","93","72","72","72","72","71","71","71","68","68"
"Quitman Satellite Facility","93","87","87","90","89","82","82","82","85","85"
"Rankin Satellite Facility","260","239","239","237","237","237","237","237","238","238"
"Simpson Satellite Facility","102","91","86","92","95","89","89","89","94","94"
"Washington Satellite Facility","102","82","82","82","80","79","78","78","78","77"
"Wilkinson Satellite Facility","102","94","93","91","89","89","89","89","89","89"
"Yazoo Satellite Facility","102","95","95","93","93","91","91","91","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,524","2,528","2,525","2,518","2,518","2,518","2,518","2,524","2,529"
"Bolivar County","294","233","233","233","233","232","232","232","234","232"
"Carroll County","280","224","224","224","224","226","226","226","228","227"
"George County","280","221","222","221","216","216","216","216","216","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","220","220","218","218","220","220","220","219","218"
"Jefferson County","280","223","226","225","225","223","223","223","223","224"
"Kemper County","355","284","284","283","283","284","284","284","284","284"
"Leake County","280","225","222","224","225","222","222","222","225","225"
"Marion County","280","224","224","224","222","223","223","223","223","223"
"Stone County","280","224","225","225","224","224","224","224","224","224"
"Winston County","280","222","224","224","224","224","224","224","224","224"
"PRIVATE PRISONS","5,972","5,305","5,309","5,307","5,305","5,303","5,298","5,295","5,306","5,307"
"Delta","972","900","900","900","902","904","902","902","901","901"
"East Mississippi","1,500","1,361","1,366","1,363","1,357","1,359","1,357","1,357","1,356","1,360"
"Marshall County","1,000","899","898","901","900","900","900","900","900","899"
"Walnut Grove","1,500","1,191","1,194","1,193","1,197","1,190","1,190","1,188","1,199","1,198"
"Wilkinson County","1,000","954","951","950","949","950","949","948","950","949"
"RESTITUTION CENTERS","16","11","11","11","8","6","6","6","8","8"
"Greenwood","6","6","6","6","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","2","2","2","3","3"
"Pascagoula","4","2","2","2","2","1","1","1","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","4","3","3","3","66","67","66","8","7"
"TOTALS","23,585","20,994","21,009","20,984","20,994","20,987","20,981","20,976","20,978","20,980"
