"Location","Capacity","10-Jan-10","11-Jan-10","12-Jan-10","13-Jan-10","14-Jan-10","15-Jan-10","16-Jan-10","17-Jan-10","18-Jan-10"
"Mississippi State Penitentiary","4,435","3,926","3,924","3,924","3,889","3,884","3,878","3,876","3,876","3,876"
"Central Mississippi Correctional Facility","3,665","3,242","3,238","3,238","3,224","3,221","3,183","3,182","3,183","3,185"
"South Mississippi Correctional Institution","3,204","","3,086","3,079","3,078","3,072","3,070","3,048","3,046","3,045","3,047"
"County Jails","1,466","1,523","1,525","1,528","1,534","1,550","1,595","1,595","1,595","1,600"
"COMMUNITY WORK CENTERS","1,848","1,660","1,733","1,726","1,659","1,640","1,578","1,575","1,573","1,640"
"Alcorn Satellite Facility","92","76","84","84","81","81","74","73","73","80"
"Bolivar Satellite Facility","102","92","96","95","92","92","89","89","89","92"
"Forrest Satellite Facility","96","84","92","92","87","87","88","87","87","91"
"George Satellite Facility","102","84","91","91","90","88","81","81","81","88"
"Harrison Satellite Facility","102","96","98","97","95","94","98","98","98","101"
"Jackson Satellite Facility","102","94","100","100","94","94","84","84","84","92"
"Jefferson Satellite Facility","102","95","99","96","93","92","86","86","86","92"
"Leflore Satellite Facility","102","91","96","96","85","84","88","88","88","88"
"Madison Satellite Facility","102","89","95","95","92","91","88","88","88","89"
"Noxubee Satellite Facility","92","80","87","87","84","83","80","79","79","81"
"Pike Satellite Facility","93","88","88","92","93","86","84","84","84","86"
"Quitman Satellite Facility","93","86","90","90","91","90","85","85","85","89"
"Rankin Satellite Facility","260","239","239","239","229","227","221","221","221","226"
"Simpson Satellite Facility","102","89","96","92","88","86","81","81","79","84"
"Washington Satellite Facility","102","93","93","92","91","91","88","88","88","90"
"Wilkinson Satellite Facility","102","90","94","94","90","90","84","84","84","88"
"Yazoo Satellite Facility","102","94","95","94","84","84","79","79","79","83"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,730","2,729","2,727","2,722","2,719","2,720","2,720","2,719","2,717"
"Bolivar County","294","255","255","255","255","254","254","254","254","254"
"Carroll County","280","240","240","240","239","239","240","240","240","240"
"George County","280","239","239","237","237","237","237","237","237","237"
"Holmes County","280","241","241","241","240","240","240","240","240","240"
"Issaquena County","274","237","236","236","235","235","235","235","235","234"
"Jefferson County","280","242","242","242","242","242","242","242","242","242"
"Kemper County","355","308","308","308","308","308","308","308","308","308"
"Leake County","280","241","241","241","240","239","239","239","239","238"
"Marion County","280","242","242","242","242","242","242","242","242","242"
"Stone County","280","241","241","241","240","239","239","239","238","238"
"Winston County","280","244","244","244","244","244","244","244","244","244"
"PRIVATE PRISONS","5,972","5,239","5,219","5,215","5,195","5,190","5,230","5,228","5,228","5,225"
"Delta","972","899","898","898","898","898","897","897","897","897"
"East Mississippi","1,500","1,303","1,301","1,301","1,300","1,299","1,299","1,298","1,298","1,297"
"Marshall County","1,000","898","897","896","893","893","893","893","893","893"
"Walnut Grove","1,500","1,188","1,172","1,169","1,154","1,150","1,192","1,191","1,191","1,189"
"Wilkinson County","1,000","951","951","951","950","950","949","949","949","949"
"RESTITUTION CENTERS","16","7","10","10","11","11","9","9","9","10"
"Greenwood","6","5","6","6","6","6","5","5","5","6"
"Hinds","6","2","3","3","3","3","3","3","3","3"
"Pascagoula","4","0","1","1","2","2","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","104","14","14","15","0","83","84","86","14"
"TOTALS","23,775","21,523","21,477","21,466","21,327","21,291","21,330","21,321","21,320","21,320"
"","","10-Jan-10","11-Jan-10","12-Jan-10","13-Jan-10","14-Jan-10","15-Jan-10","16-Jan-10","17-Jan-10","18-Jan-10"
