"Location","Capacity","10-Sep-09","11-Sep-09","12-Sep-09","13-Sep-09","14-Sep-09","15-Sep-09","16-Sep-09","17-Sep-09","18-Sep-09"
"Mississippi State Penitentiary","4,435","3,924","3,935","3,927","3,925","3,919","3,933","3,928","3,931","3,939"
"Central Mississippi Correctional Facility","3,665","3,313","3,329","3,328","3,324","3,348","3,338","3,313","3,316","3,276"
"South Mississippi Correctional Institution","3,204","2,703","2,701","2,698","2,696","2,703","2,699","2,697","2,700","2,714"
"County Jails","1,487","1,558","1,561","1,561","1,561","1,563","1,544","1,506","1,527","1,577"
"COMMUNITY WORK CENTERS","1,848","1,533","1,483","1,481","1,482","1,509","1,499","1,494","1,489","1,455"
"Alcorn Satellite Facility","92","58","51","51","51","58","58","58","58","55"
"Bolivar Satellite Facility","102","71","69","69","69","68","67","67","67","67"
"Forrest Satellite Facility","96","68","65","65","65","68","68","68","69","70"
"George Satellite Facility","102","78","75","74","75","76","76","76","75","72"
"Harrison Satellite Facility","102","81","79","79","79","81","80","79","77","75"
"Jackson Satellite Facility","102","90","87","87","87","88","88","88","89","84"
"Jefferson Satellite Facility","102","85","83","83","83","82","81","79","79","80"
"Leflore Satellite Facility","102","67","66","66","66","68","68","67","67","66"
"Madison Satellite Facility","102","91","85","85","85","86","85","86","85","84"
"Noxubee Satellite Facility","92","77","76","76","76","76","73","73","73","73"
"Pike Satellite Facility","93","90","89","88","88","86","86","88","87","86"
"Quitman Satellite Facility","93","89","86","86","86","89","88","87","87","82"
"Rankin Satellite Facility","260","241","235","235","235","238","240","238","236","235"
"Simpson Satellite Facility","102","92","89","89","89","91","91","90","90","85"
"Washington Satellite Facility","102","78","75","75","75","78","77","77","77","74"
"Wilkinson Satellite Facility","102","84","80","80","80","84","81","81","81","77"
"Yazoo Satellite Facility","102","93","93","93","93","92","92","92","92","90"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,930","2,935","2,934","2,932","2,931","2,935","2,980","2,981","3,007"
"Bolivar County","294","279","280","280","279","278","280","281","280","280"
"Carroll County","280","266","266","266","265","266","266","265","266","267"
"George County","280","266","266","266","266","266","266","265","266","265"
"Holmes County","280","266","266","266","266","266","266","266","266","266"
"Issaquena County","274","260","260","260","260","260","260","259","258","260"
"Jefferson County","280","266","266","266","266","264","266","265","267","267"
"Kemper County","355","263","266","266","266","265","266","316","316","341"
"Leake County","280","265","266","266","266","267","266","266","266","264"
"Marion County","280","267","267","267","267","267","267","266","264","265"
"Stone County","280","266","266","265","265","266","266","265","266","266"
"Winston County","280","266","266","266","266","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,533","5,529","5,526","5,524","5,521","5,549","5,542","5,541","5,533"
"Delta","972","957","956","956","956","956","959","958","955","953"
"East Mississippi","1,500","1,364","1,363","1,360","1,358","1,361","1,362","1,363","1,364","1,365"
"Marshall County","1,000","981","983","983","983","982","982","980","985","983"
"Walnut Grove","1,500","1,255","1,252","1,252","1,252","1,247","1,271","1,265","1,261","1,256"
"Wilkinson County","1,000","976","975","975","975","975","975","976","976","976"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","9"
"Greenwood","6","5","5","5","5","5","5","5","5","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","14","54","55","56","14","14","13","16","41"
"TOTALS","23,796","21,524","21,543","21,526","21,516","21,524","21,527","21,489","21,517","21,557"
