"Location","Capacity","11-Sep-02","12-Sep-02","13-Sep-02","14-Sep-02","15-Sep-02","16-Sep-02","17-Sep-02","18-Sep-02","19-Sep-02","20-Sep-02"
"MS STATE PENITENTIARY","5,551","5,241","5,201","5,235","5,235","5,246","5,230","5,284","5,277","5,277","5,291"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,817","2,829","2,848","2,848","2,847","2,842","2,875","2,872","2,895","2,904"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,020","2,027","2,022","2,022","2,021","2,041","2,026","2,076","2,071","2,066"
"COUNTY JAILS","2,113","2,030","2,009","1,988","1,988","1,988","1,973","1,953","1,929","1,898","1,880"
"COMMUNITY WORK CENTERS","1,350","1,296","1,299","1,258","1,258","1,256","1,294","1,304","1,301","1,308","1,258"
"Alcorn Satellite Facility","75","74","73","68","68","68","73","73","73","73","66"
"Bolivar Satellite Facility","75","72","72","71","71","71","72","73","73","71","69"
"Forrest Satellite Facility","75","74","74","67","67","67","75","75","75","74","73"
"George Satellite Facility","75","73","72","71","71","70","67","73","72","72","70"
"Harrison Satellite Facility","75","72","72","71","71","71","72","74","74","74","68"
"Jackson Satellite Facility","75","74","74","72","72","72","74","74","74","74","68"
"Jefferson Satellite Facility","75","72","73","71","71","71","75","75","75","75","72"
"Leflore Satellite Facility","75","73","71","71","71","71","71","74","74","74","69"
"Madison Satellite Facility","75","75","75","73","73","73","75","75","75","75","74"
"Noxubee Satellite Facility","75","70","70","65","65","65","68","68","67","73","69"
"Pike Satellite Facility","75","75","75","74","74","74","74","73","73","73","72"
"Quitman Satellite Facility","75","73","74","75","75","74","73","72","71","71","67"
"Rankin Satellite Facility","150","134","133","132","132","132","137","137","137","141","140"
"Simpson Satellite Facility","75","68","72","65","65","65","71","70","70","70","68"
"Washington Satellite Facility","75","70","70","67","67","67","70","71","71","71","68"
"Wilkinson Satellite Facility","75","75","75","74","74","74","75","75","75","75","73"
"Yazoo Satellite Facility","75","72","74","71","71","71","72","72","72","72","72"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,013","2,015","2,013","2,012","2,012","2,016","2,012","2,011","2,013","2,017"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","201","200","199","199","199","202","202","202","203","203"
"George County (opened on May 10th)","250","201","202","202","201","201","201","201","201","201","202"
"Holmes County","250","203","202","201","201","201","202","202","202","202","202"
"Issaquena County","250","202","202","201","201","201","201","200","200","201","202"
"Jefferson County","250","201","201","201","201","201","201","200","200","202","202"
"Kemper County","250","201","202","202","202","202","202","202","201","201","201"
"Leake County","250","202","201","201","201","201","202","201","201","200","200"
"Marion County","250","201","201","202","202","202","202","202","201","201","202"
"Stone County","250","200","202","202","202","202","201","201","202","201","202"
"Winston County","250","201","202","202","202","202","202","201","201","201","201"
"PRIVATE PRISONS","4,750","3,831","3,872","3,855","3,853","3,842","3,856","3,809","3,801","3,800","3,808"
"Delta","1,000","556","556","517","517","517","509","461","412","412","411"
"East MS","1,000","725","726","726","726","715","714","714","715","715","715"
"Marshall County","1,000","980","979","979","978","978","984","984","992","992","991"
"Walnut Grove","750","595","636","658","657","657","669","669","690","689","699"
"Wilkinson County","1,000","975","975","975","975","975","980","981","992","992","992"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","4","4","4","5","5","5","5","5"
"TOTALS","21,857","19,266","19,270","19,236","19,233","19,229","19,270","19,281","19,285","19,280","19,242"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","11-Sep-02","12-Sep-02","13-Sep-02","14-Sep-02","15-Sep-02","16-Sep-02","17-Sep-02","18-Sep-02","19-Sep-02","20-Sep-02"
