"Location","Capacity","1-Dec-01","2-Dec-01","3-Dec-01","4-Dec-01","5-Dec-01","6-Dec-01","7-Dec-01","8-Dec-01","9-Dec-01","10-Dec-01"
"MS STATE PENITENTIARY","5,551","5,192","5,189","5,183","5,228","5,215","5,242","5,242","5,239","5,239","5,237"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,947","2,946","2,932","2,912","2,922","2,931","2,918","2,918","2,918","2,931"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,086","2,084","2,078","2,066","2,095","2,096","2,119","2,119","2,118","2,112"
"COUNTY JAILS","2,137","1,732","1,731","1,745","1,742","1,747","1,715","1,710","1,712","1,712","1,739"
"COMMUNITY WORK CENTERS","1,328","1,252","1,251","1,267","1,277","1,272","1,267","1,270","1,270","1,270","1,270"
"Alcorn Satellite Facility","75","73","73","75","74","74","74","74","74","74","74"
"Bolivar Satellite Facility","75","66","66","73","74","75","75","75","75","75","75"
"Forrest Satellite Facility","75","68","68","68","75","75","74","74","74","74","75"
"George Satellite Facility","75","71","71","71","71","69","70","70","70","70","70"
"Harrison Satellite Facility","75","70","70","70","70","70","68","68","68","68","70"
"Jackson Satellite Facility","75","68","68","68","71","71","71","73","73","73","72"
"Jefferson Satellite Facility","75","73","72","73","73","72","71","70","70","70","70"
"Leflore Satellite Facility","75","70","70","72","73","71","74","74","74","74","74"
"Madison Satellite Facility","75","70","70","73","74","74","74","74","74","74","74"
"Noxubee Satellite Facility","75","72","72","72","72","74","74","73","73","73","73"
"Pike Satellite Facility","75","67","67","67","67","65","64","66","66","66","65"
"Quitman Satellite Facility","75","69","69","69","69","70","70","70","70","70","70"
"Rankin Satellite Facility","128","121","121","122","121","119","116","115","115","115","114"
"Simpson Satellite Facility","75","75","75","75","75","75","75","75","75","75","75"
"Washington Satellite Facility","75","74","74","74","74","74","74","75","75","75","75"
"Wilikinson Satellite Facility","75","70","70","70","69","69","69","71","71","71","71"
"Yazoo Satellite Facility","75","75","75","75","75","75","74","73","73","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,969","1,969","1,967","1,964","1,962","1,960","1,958","1,958","1,958","1,956"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","216","216","214","213","212","212","212","212","212","211"
"Holmes County","250","216","216","216","216","216","216","215","215","215","216"
"Issaquena County","250","210","210","214","213","213","214","214","214","214","215"
"Jefferson County","250","221","221","219","219","219","218","217","217","217","216"
"Kemper County","250","243","243","243","242","242","241","241","241","241","241"
"Leake County","250","216","216","216","216","216","216","216","216","216","216"
"Marion County","250","215","215","214","214","214","214","214","214","214","214"
"Stone County","250","214","214","213","213","212","212","212","212","212","212"
"Winston County","250","218","218","218","218","218","217","217","217","217","215"
"PRIVATE PRISONS","3,900","3,613","3,613","3,611","3,605","3,601","3,602","3,594","3,592","3,592","3,588"
"Delta","1,000","854","854","853","852","852","853","850","850","850","849"
"East MS","500","492","492","492","490","490","490","490","490","489","489"
"Marshall County","1,000","882","882","881","881","881","881","879","878","879","872"
"Walnut Grove","500","495","495","493","494","491","491","488","488","488","488"
"Wilkinson County","900","890","890","892","888","887","887","887","886","886","890"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","16","16","16","18"
"Greenwood","6","6","6","6","6","6","6","4","4","4","6"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","20,709","18,814","18,806","18,806","18,817","18,837","18,836","18,832","18,829","18,828","18,856"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","1-Dec-01","2-Dec-01","3-Dec-01","4-Dec-01","5-Dec-01","6-Dec-01","7-Dec-01","8-Dec-01","9-Dec-01","10-Dec-01"
