"Location","Capacity","27-Jul-16","28-Jul-16","29-Jul-16","30-Jul-16","31-Jul-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,394","3,380","3,374","3,370","3,368","3,392"
"Central Mississippi Correctional Facility","3,506","3,271","3,302","3,198","3,196","3,194","3,162"
"Youthful Offender Unit","58","30","30","30","30","30","32"
"CMCF TVC","","21","13","15","15","15","12"
"South Mississippi Correctional Institution","3,082","2,983","2,960","2,975","2,974","2,975","2,987"
"County Jails","1,986","1,474","1,480","1,507","1,507","1,507","1,519"
"COMMUNITY WORK CENTERS","1,848","1,075","1,072","1,078","1,073","1,071","1,092"
"Alcorn Satellite Facility","92","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","0","0","0","0","0","3"
"Forrest Satellite Facility","96","74","74","73","73","73","71"
"George Satellite Facility","102","81","80","79","79","79","86"
"Harrison Satellite Facility","102","67","67","66","66","66","69"
"Jackson Satellite Facility","102","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0"
"Leflore TVC","82","53","53","67","66","66","62"
"Leflore TVC Support","20","20","20","20","20","20","18"
"Madison Satellite Facility","102","91","91","90","90","90","93"
"Noxubee Satellite Facility","92","85","83","83","83","83","84"
"Pike Satellite Facility","93","89","89","87","87","87","90"
"Quitman Satellite Facility","93","86","86","84","83","83","86"
"Rankin Satellite Facility","260","166","164","162","162","162","166"
"Flowood TVC","","27","27","26","25","25","27"
"Simpson TVC","82","59","58","66","64","62","62"
"Simpson TVC Support","20","15","15","14","14","14","15"
"Washington Satellite Facility","102","90","93","90","90","90","92"
"Wilkinson Satellite Facility","102","72","72","71","71","71","70"
"Yazoo Satellite Facility","102","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,504","3,512","3,537","3,533","3,529","3,506"
"Alcorn County","240","240","240","240","240","240","239"
"Bolivar County","369","293","293","293","293","293","293"
"Carroll County","280","239","240","240","239","239","239"
"Chickasaw County","300","238","240","240","240","240","240"
"George County","280","198","198","199","199","198","198"
"Holmes County","280","200","199","195","194","194","199"
"Issaquena County","274","270","269","267","267","267","269"
"Jefferson County","280","267","267","273","273","273","269"
"Kemper County","355","260","258","259","259","259","259"
"Leake County","280","199","199","200","200","200","199"
"Marion County","280","200","199","200","200","200","199"
"Stone County","280","240","245","266","265","265","243"
"Washington County","300","222","227","225","225","224","223"
"Winston County","280","200","200","200","199","198","198"
"Yazoo County","300","238","238","240","240","239","239"
"PRIVATE PRISONS","5,972","3,827","3,824","3,835","3,834","3,830","3,852"
"Delta","972","0","0","0","0","0","0"
"East Mississippi","1,500","1,164","1,162","1,165","1,164","1,161","1,150"
"Marshall County","1,000","994","994","1,000","1,000","999","999"
"Walnut Grove","1,500","779","778","775","775","775","810"
"Wilkinson County","1,000","890","890","895","895","895","894"
"RESTITUTION CENTERS","16","13","13","12","12","12","14"
"Greenwood","6","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5"
"Pascagoula","4","4","4","3","3","3","4"
"TOTALS","24,436","19,592","19,586","19,561","19,544","19,531","19,569"
