"Location","Capacity","28-Dec-15","29-Dec-15","30-Dec-15","","31-Dec-15 Avg Population"
"Mississippi State Penitentiary","3,590","3,288","3,281","3,286","3,279","3,297"
"MSP TVC","","25","25","24","24","47"
"Central Mississippi Correctional Facility","2,932","2,733","2,759","2,797","2,799","2,734"
"Youthful Offender Unit","58","28","28","28","28","28"
"CMCF TVC","","15","14","14","13","31"
"South Mississippi Correctional Institution","2,882","2,707","2,705","2,710","2,706","2,710"
"SMCI TVC","","25","19","18","18","46"
"County Jails","1,780","1,119","1,080","1,035","1,037","1,195"
"COMMUNITY WORK CENTERS","1,848","1,065","1,077","1,074","1,068","1,096"
"Alcorn Satellite Facility","92","0","0","0","0","0"
"Bolivar Satellite Facility","102","48","48","47","46","56"
"Forrest Satellite Facility","96","67","66","71","71","65"
"George Satellite Facility","102","58","56","56","55","56"
"Harrison Satellite Facility","102","65","66","66","66","66"
"Jackson Satellite Facility","102","50","51","51","51","49"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Leflore Satellite Facility","102","49","48","47","47","60"
"Madison Satellite Facility","102","71","71","70","70","73"
"Noxubee Satellite Facility","92","85","82","82","82","84"
"Pike Satellite Facility","93","79","79","78","78","79"
"Quitman Satellite Facility","93","64","69","70","69","66"
"Rankin Satellite Facility","260","169","169","169","169","173"
"Simpson Satellite Facility","","0","0","0","0","8"
"Simpson TVC and Simpson TVC support","102","70","68","67","64","62"
"Washington Satellite Facility","102","83","91","89","89","81"
"Wilkinson Satellite Facility","102","53","59","57","57","57"
"Yazoo Satellite Facility","102","54","54","54","54","59"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,853","3,856","3,857","3,848","3,788"
"Alcorn County","300","0","0","0","0","0"
"Bolivar County","369","344","346","346","345","332"
"Carroll County","280","273","273","269","268","269"
"Chickasaw County","300","257","257","257","257","256"
"George County","280","268","266","266","265","265"
"Holmes County","280","270","270","270","270","272"
"Issaquena County","274","246","245","245","244","249"
"Jefferson County","280","274","274","275","275","265"
"Kemper County","355","329","333","329","329","322"
"Leake County","280","269","267","267","266","256"
"Marion County","280","276","276","277","276","273"
"Stone County","280","276","278","279","277","278"
"Washington County","300","225","225","225","225","219"
"Winston County","280","266","266","272","271","257"
"Yazoo County","300","280","280","280","280","274"
"PRIVATE PRISONS","5,972","3,925","3,927","3,922","3,922","3,908"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,149","1,148","1,147","1,147","1,133"
"Marshall County","1,000","997","996","996","997","997"
"Walnut Grove","1,500","909","913","913","913","900"
"Wilkinson County","1,000","870","870","866","865","878"
"RESTITUTION CENTERS","16","11","11","10","10","12"
"Greenwood","6","3","3","2","2","4"
"Hinds","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2"
"TOTALS","23,516","18,794","18,782","18,775","18,752","18,892"
"","","28-Dec-15","29-Dec-15","30-Dec-15","","31-Dec-15 Avg Population"
