"Location","Capacity","22-Apr-14","23-Apr-14","24-Apr-14","25-Apr-14","26-Apr-14","27-Apr-14","28-Apr-14","29-Apr-14","30-Apr-14","Avg Pop"
"Mississippi State Penitentiary","4,648","3,309","3,289","3,284","3,275","3,275","3,274","","","","3,320"
"Central Mississippi Correctional Facility","3,665","2,814","2,800","2,835","2,824","2,824","2,822","","","","2,891"
"Youthful Offender Unit","42","37","37","37","37","37","37","","","","37"
"South Mississippi Correctional Institution","3,282","3,223","3,244","3,243","3,232","3,231","3,229","","","","3,218"
"County Jails","2,020","1,906","1,875","2,114","1,885","1,885","1,894","","","","1,930"
"COMMUNITY WORK CENTERS","1,848","1,168","1,174","1,169","1,171","1,170","1,169","0","0","0","1,162"
"Alcorn Satellite Facility","92","87","88","88","87","87","87","","","","86"
"Bolivar Satellite Facility","102","43","43","44","44","44","44","","","","45"
"Forrest Satellite Facility","96","52","51","51","51","51","51","","","","52"
"George Satellite Facility","102","68","67","67","69","69","69","","","","65"
"Harrison Satellite Facility","102","48","48","47","52","52","52","","","","48"
"Jackson Satellite Facility","102","48","48","51","51","51","51","","","","47"
"Jefferson Satellite Facility","102","40","42","40","47","47","47","","","","42"
"Leflore Satellite Facility","102","51","51","48","48","48","48","","","","51"
"Madison Satellite Facility","102","54","54","58","53","53","53","","","","58"
"Noxubee Satellite Facility","92","70","72","72","72","72","72","","","","75"
"Pike Satellite Facility","93","90","93","92","90","89","89","","","","86"
"Quitman Satellite Facility","93","80","77","77","76","77","76","","","","74"
"Rankin Satellite Facility","260","209","207","201","199","199","199","","","","201"
"Simpson Satellite Facility","102","98","102","102","102","102","102","","","","97"
"Washington Satellite Facility","102","45","46","46","46","45","45","","","","48"
"Wilkinson Satellite Facility","102","41","41","41","41","41","41","","","","42"
"Yazoo Satellite Facility","102","44","44","44","43","43","43","","","","46"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,396","4,415","4,171","4,407","4,400","4,388","0","0","0","4,392"
"Alcorn County","300","299","300","300","300","299","299","","","","298"
"Bolivar County","369","366","368","368","367","364","364","","","","367"
"Carroll County","280","276","280","280","280","280","280","","","","278"
"Chickasaw County","300","298","299","299","301","301","301","","","","299"
"George County","280","278","280","279","279","278","277","","","","278"
"Holmes County","280","280","280","279","279","279","279","","","","279"
"Issaquena County","274","274","273","273","274","274","274","","","","273"
"Jefferson County","280","277","277","276","276","276","276","","","","278"
"Kemper County","355","355","355","355","355","355","355","","","","353"
"Leake County","280","272","278","276","277","276","276","","","","277"
"Marion County","280","279","280","280","280","280","280","","","","280"
"Stone County","280","279","279","278","277","276","276","","","","279"
"Washington County","300","287","287","46","287","287","287","","","","282"
"Winston County","280","277","278","281","275","275","274","","","","274"
"Yazoo County","300","299","301","301","300","300","290","","","","299"
"PRIVATE PRISONS","5000","4335","4337","4337","4341","4338","4338","0","0","0","4,026"
"East Mississippi","1,500","1,198","1,198","1,199","1,200","1,200","1,200","","","","755"
"Marshall County","1,000","1000","999","999","998","997","997","","","","1,072"
"Walnut Grove","1,500","1,283","1,286","1,290","1,292","1,291","1,291","","","","1,177"
"Wilkinson County","1,000","854","854","849","851","850","850","","","","1,023"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","0","0","0","11"
"Greenwood","6","3","3","3","3","3","3","","","","4"
"Hinds","6","6","6","6","6","6","6","","","","5"
"Pascagoula","4","2","2","2","2","2","2","","","","2"
"TOTALS","24,959","21,199","21,182","21,201","21,183","21,171","21,162","0","0","0","20,992"
