"Location","Capacity","1-May-03","2-May-03","3-May-03","4-May-03","5-May-03","6-May-03","7-May-03","8-May-03","9-May-03","10-May-03","11-May-03","12-May-03","13-May-03"
"MS STATE PENITENTIARY","5,768","5,681","5,674","5,672","5,667","5,671","5,669","5,688","5,675","5,672","5,668","5,666","5,679","5,668"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,119","3,120","3,119","3,118","3,144","3,124","3,111","3,128","3,122","3,121","3,120","3,136","3,135"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,134","2,156","2,156","2,155","2,145","2,162","2,146","2,145","2,147","2,146","2,143","2,139","2,151"
"COUNTY JAILS","2,133","2,108","2,088","2,088","2,088","2,068","2,095","2,096","2,083","2,062","2,062","2,062","2,040","2,062"
"COMMUNITY WORK CENTERS","1,350","1,299","1,278","1,278","1,278","1,297","1,279","1,289","1,290","1,262","1,260","1,259","1,290","1,293"
"Alcorn Satellite Facility","75","74","73","73","73","73","72","72","72","64","64","64","75","75"
"Bolivar Satellite Facility","75","75","73","73","73","73","69","74","74","72","72","72","73","74"
"Forrest Satellite Facility","75","73","73","73","73","74","70","74","75","74","74","74","74","74"
"George Satellite Facility","75","75","73","73","73","75","74","75","74","73","73","73","73","73"
"Harrison Satellite Facility","75","73","74","74","74","74","73","73","73","74","74","74","74","74"
"Jackson Satellite Facility","75","75","74","74","74","74","75","75","75","73","73","73","74","74"
"Jefferson Satellite Facility","75","74","69","69","69","74","74","71","71","66","65","65","70","70"
"Leflore Satellite Facility","75","75","75","75","75","75","72","72","72","68","68","68","75","75"
"Madison Satellite Facility","75","75","74","74","74","75","75","75","73","74","74","74","75","75"
"Noxubee Satellite Facility","75","70","70","70","70","72","72","74","74","74","74","74","73","73"
"Pike Satellite Facility","75","62","61","61","61","62","60","60","59","60","59","59","58","58"
"Quitman Satellite Facility","75","57","56","56","56","56","56","55","56","59","59","58","57","57"
"Rankin Satellite Facility","150","147","145","145","145","147","145","148","148","146","146","146","147","146"
"Simpson Satellite Facility","75","72","70","70","70","72","70","69","72","69","69","69","73","73"
"Washington Satellite Facility","75","74","74","74","74","74","75","75","75","74","74","74","75","75"
"Wilkinson Satellite Facility","75","73","70","70","70","72","72","73","73","71","71","71","73","73"
"Yazoo Satellite Facility","75","75","74","74","74","75","75","74","74","71","71","71","71","74"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,585","2,577","2,575","2,574","2,573","2,568","2,573","2,574","2,578","2,576","2,576","2,565","2,565"
"Bolivar County","250","235","235","235","235","234","234","233","233","235","235","235","235","235"
"Carroll County","250","235","235","235","234","234","234","233","232","235","236","236","235","234"
"George County (opened on May 10th)","250","234","234","233","233","233","231","234","234","233","233","233","231","232"
"Holmes County","250","235","234","233","233","232","234","234","234","235","234","234","233","233"
"Issaquena County","250","238","234","234","234","234","229","230","233","232","232","232","231","236"
"Jefferson County","250","235","235","235","235","235","234","234","233","233","233","233","228","229"
"Kemper County","250","234","234","234","234","235","235","235","235","235","235","235","235","235"
"Leake County","250","235","234","234","234","236","236","236","236","236","235","235","234","233"
"Marion County","250","234","232","232","232","231","234","234","234","234","233","233","233","230"
"Stone County","250","235","235","235","235","234","232","235","235","235","235","235","235","234"
"Winston County","250","235","235","235","235","235","235","235","235","235","235","235","235","234"
"PRIVATE PRISONS","3,750","3,379","3,378","3,377","3,377","3,379","3,385","3,384","3,379","3,390","3,390","3,389","3,384","3,383"
"East MS","1,000","682","681","681","681","681","683","682","682","684","684","683","680","679"
"Marshall County","1,000","992","992","992","992","990","996","996","991","995","995","995","994","993"
"Walnut Grove","750","714","715","714","714","714","713","713","713","717","717","717","717","716"
"Wilkinson County","1,000","991","990","990","990","994","993","993","993","994","994","994","993","995"
"RESITITUTION CENTERS","24","12","12","12","12","11","12","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","3","4","10","10","10","10","10","10","10"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","5","5","5","6","6"
"E-CODE","","","","","","","","","","","","","",""
"TOTALS","21,228","20,323","20,289","20,283","20,275","20,294","20,300","20,311","20,298","20,256","20,246","20,238","20,257","20,281"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","1-May-03","2-May-03","3-May-03","4-May-03","5-May-03","6-May-03","7-May-03","8-May-03","9-May-03","10-May-03","11-May-03","12-May-03","13-May-03"
