"Location","Capacity","1-Nov-16","2-Nov-16","3-Nov-16","4-Nov-16","5-Nov-16","6-Nov-16","7-Nov-16","8-Nov-16","9-Nov-16","10-Nov-16"
"Mississippi State Penitentiary","3590","3281","3275","3288","3293","3293","3292","3308","3293","3301","3278"
"Central Mississippi Correctional Facility","3,858","3,343","3,291","3,285","3,232","3,232","3,233","3,262","3,288","3,282","3,311"
"Youthful Offender Unit","58","36","36","36","35","35","35","34","34","34","32"
"CMCF TVC","","22","20","7","13","13","13","13","13","13","25"
"South Mississippi Correctional Institution","3,082","2,962","2,963","2,958","2,955","2,955","2,955","2,955","2,956","2,955","2,948"
"County Jails","1,781","1,247","1,271","1,294","1,299","1,299","1,301","1,316","1,294","1,281","1,252"
"COMMUNITY WORK CENTERS","1,348","976","968","955","970","964","961","967","961","951","948"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","64","64","64","64","64","64","64","64","64","64"
"George Satellite Facility","102","83","83","83","83","83","82","82","82","82","82"
"Harrison Satellite Facility","102","53","52","51","48","48","48","51","51","51","50"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","69","69","66","76","75","75","74","74","72","71"
"Leflore TVC Support","20","13","14","14","14","14","14","14","13","14","14"
"Madison Satellite Facility","102","76","77","77","76","76","76","77","75","73","71"
"Noxubee Satellite Facility","92","72","72","71","70","68","68","68","67","67","67"
"Pike Satellite Facility","93","87","87","86","85","85","85","85","85","85","89"
"Quitman Satellite Facility","93","64","64","61","61","61","61","60","59","59","59"
"Rankin Satellite Facility","182","151","151","149","147","147","147","151","151","149","148"
"Rankin RID","28","5","5","5","5","5","5","5","5","5","5"
"Flowood TVC","50","26","25","24","24","24","23","23","23","23","23"
"Simpson TVC","82","64","58","57","70","69","68","66","65","62","59"
"Simpson TVC Support","20","14","14","14","14","14","14","14","14","14","14"
"Washington Satellite Facility","102","67","66","66","66","65","65","66","66","65","65"
"Wilkinson Satellite Facility","102","68","67","67","67","66","66","67","67","66","67"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,153","4,183","4,193","4,184","4,183","4,181","4,182","4,203","4,216","4,223"
"Alcorn County","300","297","295","294","293","293","293","293","293","293","300"
"Bolivar County","369","293","292","292","292","292","292","294","293","293","294"
"Carroll County","280","263","269","267","266","266","266","266","266","266","269"
"Chickasaw County","300","301","298","298","304","304","304","303","310","310","310"
"George County","280","279","280","278","276","276","276","276","276","278","279"
"Holmes County","280","276","274","279","275","275","274","274","279","279","279"
"Issaquena County","274","271","270","274","273","273","272","273","274","274","274"
"Jefferson County","280","275","275","273","271","271","271","271","279","280","279"
"Kemper County","355","317","344","345","346","346","346","344","343","348","344"
"Leake County","280","197","197","196","196","196","196","195","192","192","193"
"Marion County","280","276","276","278","278","278","278","278","278","279","280"
"Stone County","280","315","321","322","323","323","323","325","327","328","328"
"Washington County","300","225","224","227","226","226","226","226","226","225","225"
"Winston County","280","270","270","273","270","270","270","269","273","280","279"
"Yazoo County","300","298","298","297","295","294","294","295","294","291","290"
"PRIVATE PRISONS","5,972","3,062","3,062","3,062","3,055","3,056","3,055","3,055","3,057","3,059","3,057"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,166","1,166","1,165","1,160","1,161","1,161","1,162","1,166","1,165","1,162"
"Marshall County","1,000","998","998","1,000","999","999","998","997","995","994","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","898","898","897","896","896","896","896","896","900","896"
"RESTITUTION CENTERS","16","16","15","15","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","2","2","2","2","2","2","2"
"TOTALS","24,143","19,098","19,084","19,093","19,049","19,043","19,039","19,105","19,112","19,105","19,087"
"","","1-Nov-16","2-Nov-16","3-Nov-16","4-Nov-16","5-Nov-16","6-Nov-16","7-Nov-16","8-Nov-16","9-Nov-16","10-Nov-16"
