"Location","Capacity","21-Jun-19","22-Jun-19","23-Jun-19","24-Jun-19","25-Jun-19","26-Jun-19","27-Jun-19","28-Jun-19","29-Jun-19","30-Jun-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,221","3,220","3,220","3,228","3,217","3,238","3,225","3,223","3,223","3,223","3,224"
"Central Mississippi Correctional Facility","4,131","3,844","3,845","3,844","3,803","3,764","3,757","3,760","3,752","3,754","3,755","3797"
"Youthful Offender Unit","58","30","30","30","30","28","28","28","28","28","28","28"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,642","2,642","2,642","2,648","2,647","2,656","2,649","2,654","2,654","2,655","2651"
"County Jails","1,793","1,305","1,305","1,305","1,331","1,309","1,297","1,330","1,321","1,321","1,321","1322"
"COMMUNITY WORK CENTERS","1,372","1,070","1,070","1,066","1,080","1,070","1,085","1,079","1,065","1,063","1,060","1073"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","81","81","81","82","82","82","82","81","81","81","79"
"Delta TVC","324","310","310","308","314","308","318","315","314","312","310","313"
"Forrest Satellite Facility","96","67","67","67","68","65","70","70","70","70","70","71"
"George Satellite Facility","102","35","35","35","36","36","36","35","35","35","35","44"
"Harrison Satellite Facility","102","48","49","49","51","51","51","51","51","51","51","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","78","78","78","79","78","78","78","76","76","76","72"
"Noxubee Satellite Facility","58","51","51","51","52","51","52","52","52","52","52","52"
"Pike Satellite Facility","93","83","83","83","83","83","83","83","80","80","80","83"
"Quitman Satellite Facility","93","73","73","73","74","74","75","74","73","73","73","67"
"Rankin Satellite Facility","178","147","147","147","149","151","149","149","144","144","144","148"
"Rankin RID","28","11","11","11","11","11","11","11","11","11","11","11"
"Flowood TVC","50","29","28","26","24","23","23","23","23","23","22","27"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","57","57","57","57","56","55","55","55","57"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,284","4,283","4,279","4,277","4,302","4,307","4,299","4,316","4,313","4,302","4293"
"Alcorn County","300","296","296","295","296","300","300","300","299","299","299","299"
"Bolivar County","369","288","288","288","287","291","291","291","294","294","294","292"
"Carroll County","280","273","273","273","272","275","275","275","273","273","273","276"
"Chickasaw County","310","310","310","309","309","309","309","309","310","310","310","308"
"George County","342","340","339","339","338","341","339","339","329","329","328","336"
"Holmes County","280","274","274","274","278","278","278","278","278","278","278","278"
"Issaquena County","297","303","303","303","302","302","300","299","319","318","316","307"
"Jefferson County","280","277","277","277","277","280","280","280","280","280","279","279"
"Kemper County","355","350","350","350","349","348","348","344","351","351","350","349"
"Leake County","280","274","274","273","274","276","283","282","281","280","279","276"
"Marion County","280","280","280","280","280","279","279","279","279","279","279","279"
"Stone County","326","279","279","279","280","280","280","280","280","279","279","279"
"Washington County","300","163","163","163","163","170","169","169","169","169","166","161"
"Winston County","280","275","275","274","274","276","276","275","275","275","274","274"
"Yazoo County","300","302","302","302","298","297","300","299","299","299","298","298"
"PRIVATE PRISONS","5,472","3,157","3,157","3,157","3,152","3,167","3,162","3,158","3,163","3,162","3,160","3169"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,244","1,244","1,244","1,241","1,256","1,252","1,253","1,254","1,253","1,251","1250"
"Marshall County","1,000","998","998","998","998","998","997","997","1,000","1,000","1,000","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","915","915","915","913","913","913","908","909","909","909","922"
"RESTITUTION CENTERS","10","6","7","7","7","8","8","8","8","8","8","8"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","5","5","5","5","6","6","6","5"
"Pascagoula","4","2","3","3","3","3","3","3","2","2","2","3"
"TRANSITIONAL HOUSING","122","22","21","21","30","30","31","30","29","29","29","25"
"Madison","40","3","3","3","3","3","3","3","1","1","1","4"
"Noxubee","34","16","16","16","25","25","25","25","25","25","25","19"
"Rankin/Flowood","8","2","2","2","2","2","2","2","2","2","2","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","0","0","0","0","1","0","1","1","1","1"
"TOTALS","24,179","19,581","19,580","19,571","19,586","19,542","19,569","19,566","19,559","19,555","19,541","19590"
"","","21-Jun-19","22-Jun-19","23-Jun-19","24-Jun-19","25-Jun-19","26-Jun-19","27-Jun-19","28-Jun-19","29-Jun-19","30-Jun-19","Avg Population"
