"Location","Capacity","28-Aug-16","29-Aug-16","","30-Aug-16 31-Aug-16 Avg Population",""
"Mississippi State Penitentiary","3,590","3,369","3,360","3,361","3,358","3,358"
"Central Mississippi Correctional Facility","3,818","3,525","3,554","3,571","3,572","3,431"
"Youthful Offender Unit","58","33","33","33","33","33"
"CMCF TVC","","6","4","8","8","8"
"South Mississippi Correctional Institution","3,082","2,979","2,964","2,967","2,965","2,980"
"County Jails","1,781","1,484","1,481","1,433","1,429","1,526"
"COMMUNITY WORK CENTERS","1,348","1,017","1,011","1,005","1,006","1,044"
"Alcorn Satellite Facility","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0"
"Forrest Satellite Facility","96","66","66","66","66","70"
"George Satellite Facility","102","79","81","80","83","82"
"Harrison Satellite Facility","102","59","59","58","59","62"
"Jackson Satellite Facility","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0"
"Leflore TVC","82","62","58","58","58","64"
"Leflore TVC Support","20","17","17","17","17","18"
"Madison Satellite Facility","102","67","67","67","67","75"
"Noxubee Satellite Facility","92","83","82","81","83","83"
"Pike Satellite Facility","93","83","84","84","84","86"
"Quitman Satellite Facility","93","77","77","77","76","83"
"Rankin Satellite Facility","182","154","153","155","155","155"
"Rankin RID","28","10","10","8","8","10"
"Flowood TVC","50","25","24","24","24","23"
"Simpson TVC","82","68","68","67","63","64"
"Simpson TVC Support","20","14","14","14","14","15"
"Washington Satellite Facility","102","82","81","79","80","85"
"Wilkinson Satellite Facility","102","71","70","70","69","70"
"Yazoo Satellite Facility","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,674","3,663","3,675","3,678","3,563"
"Alcorn County","300","239","238","239","240","239"
"Bolivar County","369","291","291","293","293","292"
"Carroll County","280","238","238","240","239","239"
"Chickasaw County","300","238","236","240","240","239"
"George County","280","237","237","239","239","208"
"Holmes County","280","239","237","237","240","208"
"Issaquena County","274","268","268","269","267","269"
"Jefferson County","280","269","266","267","268","269"
"Kemper County","355","259","257","258","256","258"
"Leake County","280","197","197","199","199","198"
"Marion County","280","240","240","241","241","212"
"Stone County","280","271","271","271","270","269"
"Washington County","300","210","210","209","209","215"
"Winston County","280","239","238","234","238","209"
"Yazoo County","300","239","239","239","239","239"
"PRIVATE PRISONS","5,972","3,325","3,319","3,319","3,318","3,537"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,154","1,151","1,151","1,151","1,166"
"Marshall County","1,000","1,000","999","999","998","997"
"Walnut Grove","1,500","280","277","277","277","482"
"Wilkinson County","1,000","891","892","892","892","892"
"RESTITUTION CENTERS","16","12","12","12","11","11"
"Greenwood","6","5","5","5","5","5"
"Hinds","6","4","4","4","4","4"
"Pascagoula","4","3","3","3","2","2"
"TOTALS","24,103","19,424","19,401","19,384","19,378","19,492"
