"Location","Capacity","1-Jun-04","2-Jun-04","3-Jun-04","4-Jun-04","5-Jun-04","6-Jun-04","7-Jun-04","8-Jun-04","9-Jun-04","10-Jun-04","11-Jun-04","12-Jun-04","13-Jun-04"
"MS STATE PENITENTIARY    (See Note Below)","5,024","4,984","5,001","4,964","4,963","4,962","4,962","4,955","4,881","4,893","4,859","4,851","4,850","4,850"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,172","3,165","3,165","3,171","3,170","3,171","3,188","3,184","3,178","3,168","3,165","3,165","3,165"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,176","2,181","2,179","2,177","2,176","2,176","2,187","2,180","2,186","2,202","2,196","2,195","2,194"
"COUNTY JAILS","2,224","2,181","2,160","2,169","2,164","2,164","2,164","2,191","2,205","2,192","2,183","2,199","2,199","2,199"
"COMMUNITY WORK CENTERS","1,816","1,756","1,755","1,758","1,670","1,668","1,667","1,754","1,743","1,747","1,753","1,682","1,682","1,681"
"Alcorn Satellite Facility","92","92","92","92","80","80","80","90","91","91","91","85","85","85"
"Bolivar Satellite Facility","102","101","101","101","98","98","97","101","101","100","100","93","93","93"
"Forrest Satellite Facility","96","95","94","93","92","92","92","95","95","95","95","89","89","89"
"George Satellite Facility","102","101","100","99","98","98","98","99","96","96","102","99","99","99"
"Harrison Satellite Facility","102","100","100","100","91","91","91","99","97","97","97","94","94","94"
"Jackson Satellite Facility","102","102","102","102","98","98","98","102","101","100","99","98","98","98"
"Jefferson Satellite Facility","102","97","99","99","95","95","95","99","99","99","98","97","97","97"
"Leflore Satellite Facility","102","102","102","102","92","92","92","102","102","102","102","94","94","94"
"Madison Satellite Facility","102","101","100","101","98","97","97","99","99","101","101","100","100","100"
"Noxubee Satellite Facility","92","90","90","90","84","84","85","92","91","91","92","90","90","90"
"Pike Satellite Facility","93","70","70","70","72","72","72","72","71","70","71","69","69","68"
"Quitman Satellite Facility","93","86","86","91","83","83","83","90","89","91","92","87","87","87"
"Rankin Satellite Facility","228","215","216","215","207","207","206","213","215","215","215","207","207","207"
"Simpson Satellite Facility","102","101","100","101","92","92","92","101","100","99","99","89","89","89"
"Washington Satellite Facility","102","102","102","102","97","96","96","100","98","98","98","93","93","93"
"Wilkinson Satellite Facility","102","100","100","98","95","95","95","98","96","100","99","97","97","97"
"Yazoo Satellite Facility","102","101","101","102","98","98","98","102","102","102","102","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,739","2,744","2,742","2,739","2,738","2,737","2,739","2,749","2,749","2,746","2,744","2,744","2,744"
"Bolivar County","250","250","249","250","248","248","248","248","250","251","250","249","249","249"
"Carroll County","250","249","250","250","250","250","250","250","248","248","249","248","248","248"
"George County","250","249","247","245","250","250","250","250","250","249","248","249","249","249"
"Holmes County","250","250","250","249","245","245","245","245","250","250","249","249","249","249"
"Issaquena County","250","247","250","250","250","250","250","250","250","250","250","250","250","250"
"Jefferson County","250","249","250","250","249","249","248","249","251","251","250","249","249","249"
"Kemper County","250","249","250","250","250","250","250","250","250","250","250","250","250","250"
"Leake County","250","249","249","250","249","249","249","250","250","250","250","250","250","250"
"Marion County","250","248","249","249","249","249","249","249","250","250","250","250","250","250"
"Stone County","250","249","250","250","250","249","249","249","250","250","250","250","250","250"
"Winston County","250","250","250","249","249","249","249","249","250","250","250","250","250","250"
"PRIVATE PRISONS","4,950","4,222","4,220","4,256","4,249","4,245","4,245","4,247","4,299","4,300","4,344","4,367","4,367","4,367"
"Delta       (Reopened 04-01-04)","950","782","782","824","822","822","822","821","869","869","900","919","919","919"
"East MS","1,000","726","726","725","724","723","723","723","729","728","728","728","728","728"
"Marshall County","1,000","992","994","994","994","993","993","992","995","995","994","995","995","995"
"Walnut Grove                        (See Note Below)","1,000","727","723","719","716","715","715","716","712","714","729","728","728","728"
"Wilkinson County","1,000","995","995","994","993","992","992","995","994","994","993","997","997","997"
"RESITITUTION CENTERS","24","16","16","16","15","15","15","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","6","4","4","4","3","3","3","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","5","5","4","97","99","0","5","4","3","4","66","66","65"
"TOTALS","22,241","21,256","21,252","21,258","21,250","21,242","21,142","21,287","21,266","21,269","21,280","21,291","21,289","21,286"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","1-Jun-04","2-Jun-04","3-Jun-04","4-Jun-04","5-Jun-04","6-Jun-04","7-Jun-04","8-Jun-04","9-Jun-04","10-Jun-04","11-Jun-04","12-Jun-04","13-Jun-04"
