"Location","Capacity","14-Jul-03","15-Jul-03","16-Jul-03","17-Jul-03","18-Jul-03","19-Jul-03","20-Jul-03","21-Jul-03","22-Jul-03","23-Jul-03","24-Jul-03","25-Jul-03","26-Jul-03"
"MS STATE PENITENTIARY","5,768","5,625","5,662","5,667","5,657","5,673","5,671","5,670","5,654","5,677","5,691","5,689","5,686","5,685"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,152","3,145","3,144","3,155","3,136","3,137","3,138","3,148","3,149","3,155","3,150","3,182","3,181"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,144","2,140","2,132","2,148","2,143","2,142","2,140","2,150","2,146","2,145","2,161","2,152","2,152"
"COUNTY JAILS","2,176","2,057","2,067","2,070","2,073","2,077","2,074","2,074","2,062","2,044","2,016","1,991","1,974","1,974"
"COMMUNITY WORK CENTERS","1,816","1,400","1,399","1,403","1,405","1,356","1,356","1,357","1,390","1,390","1,394","1,395","1,345","1,345"
"Alcorn Satellite Facility","92","85","85","85","87","84","84","84","84","84","83","86","84","84"
"Bolivar Satellite Facility","102","68","68","68","68","67","67","67","68","68","68","68","64","64"
"Forrest Satellite Facility","96","75","73","76","76","75","75","75","75","75","75","75","72","72"
"George Satellite Facility","102","95","95","95","95","95","95","95","95","95","94","93","87","87"
"Harrison Satellite Facility","102","73","73","73","73","71","71","71","73","73","73","73","69","69"
"Jackson Satellite Facility","102","74","74","74","74","70","70","70","73","73","73","73","69","69"
"Jefferson Satellite Facility","102","74","74","72","72","66","66","66","71","71","77","77","77","77"
"Leflore Satellite Facility","102","93","93","92","91","89","89","89","89","89","89","89","84","84"
"Madison Satellite Facility","102","90","89","89","93","87","87","87","94","95","95","95","88","88"
"Noxubee Satellite Facility","92","69","69","71","69","68","68","68","69","69","69","69","66","66"
"Pike Satellite Facility","93","55","55","55","56","55","55","55","55","54","53","53","51","51"
"Quitman Satellite Facility","93","67","67","67","67","64","64","64","66","65","64","64","62","62"
"Rankin Satellite Facility","228","166","166","167","166","157","157","157","163","167","167","167","163","163"
"Simpson Satellite Facility","102","77","78","78","78","74","74","74","78","78","78","77","79","79"
"Washington Satellite Facility","102","88","89","89","89","89","89","89","89","87","86","86","83","83"
"Wilkinson Satellite Facility","102","63","63","63","63","62","62","62","62","62","62","62","61","61"
"Yazoo Satellite Facility","102","88","88","89","88","83","83","84","86","85","88","88","86","86"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,575","2,575","2,586","2,583","2,587","2,586","2,586","2,583","2,583","2,583","2,581","2,583","2,583"
"Bolivar County","250","233","233","234","237","237","237","237","236","236","236","236","236","236"
"Carroll County","250","234","234","235","235","235","235","235","235","235","234","232","234","234"
"George County (opened on May 10th)","250","233","233","235","235","237","236","236","236","236","236","235","234","234"
"Holmes County","250","232","232","236","235","236","236","236","236","236","236","236","236","236"
"Issaquena County","250","235","235","234","235","236","236","236","234","234","234","234","235","235"
"Jefferson County","250","235","235","235","235","234","234","234","234","235","235","235","235","235"
"Kemper County","250","235","235","235","235","234","234","234","235","235","235","235","235","235"
"Leake County","250","236","236","235","234","234","234","234","234","234","235","235","235","235"
"Marion County","250","234","234","235","234","233","233","233","233","233","233","235","235","235"
"Stone County","250","233","233","237","233","236","236","236","235","234","234","234","234","234"
"Winston County","250","235","235","235","235","235","235","235","235","235","235","234","234","234"
"PRIVATE PRISONS","3,750","3,434","3,432","3,429","3,426","3,436","3,435","3,435","3,456","3,455","3,461","3,454","3,449","3,448"
"East MS","1,000","727","727","725","724","724","724","724","728","728","728","727","727","727"
"Marshall County","1,000","991","990","988","983","994","993","993","995","995","994","994","994","994"
"Walnut Grove","750","725","724","724","729","731","731","731","748","747","747","742","737","736"
"Wilkinson County","1,000","991","991","992","990","987","987","987","985","985","992","991","991","991"
"RESITITUTION CENTERS","24","16","16","16","16","13","13","13","16","16","16","16","16","16"
"Greenwood","6","5","5","5","5","3","3","3","5","5","5","5","5","5"
"Hinds","12","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","3","3","3","3","2","2","2","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","5","5","5","6","6","6","6","5","5"
"E-CODE","","5","6","5","5","54","53","50","8","5","4","6","51","51"
"TOTALS","21,737","20,414","20,448","20,458","20,474","20,480","20,472","20,468","20,473","20,471","20,471","20,449","20,443","20,440"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","14-Jul-03","15-Jul-03","16-Jul-03","17-Jul-03","18-Jul-03","19-Jul-03","20-Jul-03","21-Jul-03","22-Jul-03","23-Jul-03","24-Jul-03","25-Jul-03","26-Jul-03"
