"Location","Capacity 1-Oct-18","","2-Oct-18","3-Oct-18","4-Oct-18","5-Oct-18","6-Oct-18","7-Oct-18","8-Oct-18","9-Oct-18","10-Oct-18","11-Oct-18","12-Oct-18","13-Oct-18","14-Oct-18","15-Oct-18","16-Oct-18","17-Oct-18"
"Mississippi State Penitentiary","3,560","3,277","3,281","3,293","3,278","3,274","3,273","3,273","3,267","3,267","3,264","3,286","3,291","3,289","3,289","3,280","3,280","3,278"
"Central Mississippi Correctional Facility","4,131","3,785","3,797","3,776","3,780","3,804","3,803","3,801","3,823","3,823","3,867","3,848","3,869","3,867","3,867","3,858","3,816","3,819"
"Youthful Offender Unit","58","38","38","38","38","32","32","32","32","32","32","32","32","32","32","32","32","32"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,061","3,045","3,059","3,063","3,063","3,061","3,061","3,062","3,062","3,060","3,058","3,056","3,054","3,054","3,055","3,048","3,050"
"County Jails","1,781","1,284","1,279","1,302","1,316","1,371","1,371","1,371","1,366","1,407","1,356","1,377","1,349","1,349","1,349","1,344","1,327","1,329"
"COMMUNITY WORK CENTERS","1,512","1,038","1,044","1,055","1,050","1,033","1,033","1,033","1,040","1,040","1,041","1,036","1,024","1,022","1,022","1,036","1,035","1,044"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","79","79","79","79","77","77","77","79","79","79","81","81","81","81","81","81","81"
"Delta TVC","300","279","277","289","286","286","286","286","284","284","285","285","282","280","280","281","272","281"
"Forrest Satellite Facility","96","65","56","56","56","56","56","56","56","56","56","56","56","56","56","56","55","55"
"George Satellite Facility","102","70","70","70","69","67","67","67","68","68","68","69","69","69","69","70","70","70"
"Harrison Satellite Facility","102","53","53","53","53","52","52","52","53","53","53","53","52","52","52","52","52","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","66","77","77","77","74","74","74","75","75","75","72","75","75","75","75","74","74"
"Noxubee Satellite Facility","58","45","44","44","44","42","42","42","44","44","44","42","42","42","42","45","42","42"
"Pike Satellite Facility","93","72","74","74","74","75","75","75","75","75","75","70","68","68","68","71","71","71"
"Quitman Satellite Facility","93","53","53","53","52","52","52","52","50","50","50","51","50","50","50","49","49","50"
"Rankin Satellite Facility","178","158","157","157","156","150","150","150","154","154","154","159","153","153","153","159","159","158"
"Rankin RID","28","21","21","21","20","20","20","20","20","20","20","20","19","19","19","20","20","20"
"Flowood TVC","50","25","31","31","29","29","29","29","29","29","29","28","28","28","28","28","43","43"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","52","52","51","55","53","53","53","53","53","53","50","49","49","49","49","47","47"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,681","3,667","3,668","3,675","3,684","3,684","3,684","3,682","3,682","3,678","3,667","3,668","3,667","3,667","3,665","3,678","3,687"
"Alcorn County","300","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","239"
"Bolivar County","369","293","292","291","291","294","294","294","294","294","294","291","289","289","289","294","293","293"
"Carroll County","280","268","268","268","268","270","270","270","269","269","268","267","267","266","266","265","264","267"
"Chickasaw County","310","239","239","239","240","240","240","240","240","240","240","239","239","239","239","238","240","240"
"George County","342","198","197","197","197","197","197","197","284","284","283","283","195","195","195","195","198","198"
"Holmes County","280","200","198","198","200","200","200","200","200","200","200","199","199","199","199","199","200","200"
"Issaquena County","274","265","261","261","266","270","270","270","270","270","268","266","267","267","267","267","269","269"
"Jefferson County","280","269","268","270","269","269","269","269","269","269","268","267","267","267","267","267","269","279"
"Kemper County","355","259","258","260","260","259","259","259","258","258","256","256","256","256","256","255","256","254"
"Leake County","280","267","265","264","264","263","263","263","268","268","267","267","267","267","267","267","269","269"
"Marion County","280","271","271","271","271","270","270","270","269","269","268","267","270","270","270","270","270","270"
"Stone County","326","200","200","200","200","200","200","200","112","112","112","112","200","200","200","200","198","198"
"Washington County","300","200","200","200","200","200","200","200","200","200","206","205","205","205","205","205","205","204"
"Winston County","280","270","268","267","267","270","270","270","269","269","268","268","267","267","267","266","268","268"
"Yazoo County","300","242","242","242","242","242","242","242","240","240","240","240","240","240","240","237","239","239"
"PRIVATE PRISONS","5,472","3,236","3,234","3,231","3,227","3,230","3,226","3,226","3,283","3,283","3,217","3,216","3,219","3,218","3,218","3,220","3,217","3,215"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,299","1,297","1,296","1,294","1,294","1,293","1,293","1,292","1,292","1,289","1,290","1,290","1,290","1,290","1,295","1,292","1,290"
"Marshall County","1,000","1,000","1,000","999","998","1,001","1,000","1,000","999","999","998","997","1,000","999","999","996","994","994"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","937","937","936","935","935","933","933","992","992","930","929","929","929","929","929","931","931"
"RESTITUTION CENTERS","10","6","6","6","6","5","5","5","7","7","7","7","6","6","6","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","2","2","2","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","2","2","2","3","3","3"
"TRANSITIONAL HOUSING","122","36","35","35","35","35","35","35","33","33","38","38","40","40","40","40","44","43"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","5","5"
"Noxubee","34","25","24","24","23","23","23","23","23","23","28","27","27","27","27","27","30","29"
"Rankin/Flowood","8","8","8","8","9","9","9","9","7","7","7","8","8","8","8","8","8","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"TOTALS","24,284","19,442","19,426","19,463","19,468","19,531","19,523","19,521","19,595","19,636","19,560","19,565","19,554","19,544","19,544","19,537","19,484","19,504"

10/15/2018 - Capacity  change from 24,334 to 24,326; CMCF from 4,129"
