"Location","Capacity","21-Apr-02","22-Apr-02","23-Apr-02","24-Apr-02","25-Apr-02","26-Apr-02","27-Apr-02","28-Apr-02","29-Apr-02","30-Apr-02","1-May-02"
"MS STATE PENITENTIARY","5,551","5,336","5,334","5,352","5,351","5,338","5,324","5,323","5,322","5,319","5,332","0"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,988","2,984","3,025","3,004","3,000","2,990","2,989","2,990","2,987","3,017","0"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,054","2,057","2,052","2,053","2,074","2,059","2,058","2,057","2,057","2,053","0"
"COUNTY JAILS","2,137","1,611","1,610","1,592","1,603","1,579","1,606","1,606","1,606","1,606","1,583","0"
"COMMUNITY WORK CENTERS","1,328","1,289","1,299","1,300","1,298","1,283","1,286","1,286","1,286","1,288","1,286","0"
"Alcorn Satellite Facility","75","75","75","75","75","75","75","75","75","75","75","0"
"Bolivar Satellite Facility","75","75","75","74","74","71","74","74","74","74","74","0"
"Forrest Satellite Facility","75","73","75","75","75","75","75","75","75","75","75","0"
"George Satellite Facility","75","72","73","75","75","72","72","72","72","72","72","0"
"Harrison Satellite Facility","75","75","75","75","75","75","75","75","75","75","75","0"
"Jackson Satellite Facility","75","75","75","75","75","74","74","74","74","74","74","0"
"Jefferson Satellite Facility","75","75","75","75","75","75","73","73","73","74","74","0"
"Leflore Satellite Facility","75","72","74","74","74","72","74","74","74","74","74","0"
"Madison Satellite Facility","75","75","75","75","75","72","75","75","75","75","74","0"
"Noxubee Satellite Facility","75","74","75","75","75","74","73","73","73","74","74","0"
"Pike Satellite Facility","75","73","74","74","74","73","73","73","73","73","72","0"
"Quitman Satellite Facility","75","64","63","63","63","62","62","62","62","62","61","0"
"Rankin Satellite Facility","128","117","117","118","118","117","117","117","117","117","117","0"
"Simpson Satellite Facility","75","74","74","74","74","73","73","73","73","73","74","0"
"Washington Satellite Facility","75","74","74","75","75","74","74","74","74","74","74","0"
"Wilikinson Satellite Facility","75","71","75","75","75","74","74","74","74","72","72","0"
"Yazoo Satellite Facility","75","75","75","73","71","75","73","73","73","75","75","0"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,990","1,986","1,983","1,994","1,991","1,987","1,986","1,985","1,986","1,978","0"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","220","220","220","220","216","215","215","215","215","214","0"
"Holmes County","250","215","215","215","218","217","217","217","217","217","217","0"
"Issaquena County","250","214","213","214","218","215","214","214","214","214","214","0"
"Jefferson County","250","226","224","222","222","230","228","228","228","228","227","0"
"Kemper County","250","244","244","244","244","243","243","243","243","243","242","0"
"Leake County","250","217","217","217","219","219","219","219","218","218","217","0"
"Marion County","250","217","217","216","217","216","216","216","216","217","215","0"
"Stone County","250","218","217","216","218","218","218","218","218","218","217","0"
"Winston County","250","219","219","219","218","217","217","216","216","216","215","0"
"PRIVATE PRISONS","3,900","3,593","3,595","3,592","3,600","3,583","3,588","3,588","3,588","3,587","3,581","0"
"Delta","1,000","857","857","857","861","860","859","859","859","858","858","0"
"East MS","500","500","500","500","500","499","499","499","499","499","499","0"
"Marshall County","1,000","890","889","887","886","885","883","883","883","884","883","0"
"Walnut Grove","500","491","495","495","499","486","494","494","494","494","490","0"
"Wilkinson County","900","855","854","853","854","853","853","853","853","852","851","0"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","16","16","16","16","0"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","0"
"Hinds","12","9","9","9","9","9","9","9","9","9","9","0"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","0"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","0"
"TOTALS","20,709","18,883","18,887","18,918","18,925","18,870","18,862","18,858","18,856","18,852","18,852","0"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","21-Apr-02","22-Apr-02","23-Apr-02","24-Apr-02","25-Apr-02","26-Apr-02","27-Apr-02","28-Apr-02","29-Apr-02","30-Apr-02","1-May-02"
