"Location","Capacity","20-Nov-18","21-Nov-18","22-Nov-18","23-Nov-18","24-Nov-18","25-Nov-18","26-Nov-18","27-Nov-18","28-Nov-18","29-Nov-18","30-Nov-18","Avg Population"
"Mississippi State Penitentiary","3,560","3,274","3,271","3,269","3,269","3,264","3,264","3,251","3,255","3,258","3,272","3,263","3,267"
"Central Mississippi Correctional Facility","4,131","3,902","3,902","3,891","3,889","3,888","3,887","3,894","3,905","3,875","3,865","3,867","3,866"
"Youthful Offender Unit","58","39","39","39","38","38","38","38","38","37","37","37","40"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,043","3,054","3,052","3,051","3,048","3,048","3,048","3,054","3,048","3,044","3,045","3,048"
"County Jails","1,781","1,232","1,249","1,249","1,249","1,249","1,249","1,251","1,227","1,199","1,210","1,250","1274"
"COMMUNITY WORK CENTERS","1,512","1,001","995","994","991","991","991","987","980","989","992","986","1022"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","72","72","72","72","72","72","72","77","77","77","77","74"
"Delta TVC","300","262","258","257","254","254","254","252","248","258","256","252","271"
"Forrest Satellite Facility","96","58","58","58","58","58","58","58","57","57","57","57","59"
"George Satellite Facility","102","71","71","71","71","71","71","71","71","74","74","74","72"
"Harrison Satellite Facility","102","51","51","51","51","51","51","51","51","50","50","49","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","70","70","70","70","70","70","69","68","68","70","70","70"
"Noxubee Satellite Facility","58","37","37","37","37","37","37","37","37","37","35","35","37"
"Pike Satellite Facility","93","66","66","66","66","66","66","68","68","68","68","68","66"
"Quitman Satellite Facility","93","56","55","55","55","55","55","55","55","54","53","53","59"
"Rankin Satellite Facility","178","157","157","157","157","157","157","155","155","154","155","154","158"
"Rankin RID","28","18","18","18","18","18","18","18","17","17","20","20","20"
"Flowood TVC","50","26","25","25","25","25","25","25","20","20","20","20","29"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","57","57","57","57","56","56","55","57","57","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,702","3,701","3,701","3,699","3,694","3,693","3,685","3,683","3,703","3,696","3,708","3,709"
"Alcorn County","300","240","240","240","240","240","240","239","239","238","238","237","239"
"Bolivar County","369","290","292","292","292","292","292","289","289","294","294","294","291"
"Carroll County","280","265","265","265","263","263","263","262","261","267","266","266","265"
"Chickasaw County","310","240","240","240","240","240","240","239","239","239","240","241","240"
"George County","342","201","201","201","201","201","201","201","201","200","200","201","199"
"Holmes County","280","198","196","196","196","196","196","196","198","197","194","198","198"
"Issaquena County","274","270","270","270","270","269","269","269","269","267","267","266","269"
"Jefferson County","280","268","267","267","267","266","266","267","265","267","265","265","268"
"Kemper County","355","259","259","259","259","259","259","258","257","260","260","259","258"
"Leake County","280","266","266","266","266","265","265","265","265","266","266","269","267"
"Marion County","280","270","270","270","270","270","269","269","269","268","268","268","268"
"Stone County","326","265","265","265","265","264","264","264","264","264","263","265","261"
"Washington County","300","171","171","171","171","170","170","169","169","169","169","169","180"
"Winston County","280","263","263","263","263","263","263","262","262","267","266","270","266"
"Yazoo County","300","236","236","236","236","236","236","236","236","240","240","240","238"
"PRIVATE PRISONS","5,472","3,176","3,186","3,186","3,184","3,184","3,183","3,181","3,182","3,193","3,191","3,194","3,179"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,257","1,263","1,263","1,262","1,262","1,261","1,261","1,260","1,257","1,256","1,259","1259"
"Marshall County","1,000","996","1,000","1,000","999","999","999","997","997","999","999","1,000","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","923","923","923","923","923","923","923","925","937","936","935","923"
"RESTITUTION CENTERS","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4"
"TRANSITIONAL HOUSING","122","41","40","40","40","40","40","40","43","44","44","43","40"
"Madison","40","3","3","3","3","3","3","3","3","3","3","2","3"
"Noxubee","34","30","29","29","29","29","29","29","32","33","33","33","31"
"Rankin/Flowood","8","8","8","8","8","8","8","8","8","8","8","8","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,284","19,420","19,447","19,431","19,420","19,406","19,403","19,385","19,377","19,356","19,361","19,403","19,455"
